Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,2077.489990234375,2089.18994140625,2024.5,2045.1099853515625,2045.1099853515625,150300,,,,,,,10,21,60,53,-60,-53,2052.933308919271,,,,,,,,0
2022-01-04,2058.18994140625,2098.389892578125,2046.8699951171875,2080.25,2080.25,148100,,,,,,,10,21,60,53,-60,-53,2075.169962565104,,,,,,,,0
2022-01-05,2075.0,2096.89990234375,2031.9200439453125,2034.030029296875,2034.030029296875,196800,,,,,,,10,21,60,53,-60,-53,2054.2833251953125,,,,,,,,0
2022-01-06,2046.8399658203125,2075.800048828125,2040.3499755859375,2062.489990234375,2062.489990234375,135500,,,,,,,10,21,60,53,-60,-53,2059.546671549479,,,,,,,,0
2022-01-07,2044.3399658203125,2049.2099609375,2006.300048828125,2014.77001953125,2014.77001953125,130500,,,,,,,10,21,60,53,-60,-53,2023.4266764322917,,,,,,,,0
2022-01-10,1997.6700439453125,2015.010009765625,1960.030029296875,2012.6600341796875,2012.6600341796875,147000,,,,,,,10,21,60,53,-60,-53,1995.9000244140625,,,,,,,,0
2022-01-11,2012.6600341796875,2025.239990234375,1975.02001953125,2000.97998046875,2000.97998046875,139000,,,,,,,10,21,60,53,-60,-53,2000.413330078125,,,,,,,,0
2022-01-12,2010.219970703125,2055.090087890625,2002.760009765625,2052.8798828125,2052.8798828125,195900,,,,,,,10,21,60,53,-60,-53,2036.9099934895833,,,,,,,,0
2022-01-13,2058.0400390625,2077.070068359375,2042.5999755859375,2048.39990234375,2048.39990234375,115000,,61.87494851915284,45.659900874475305,,,,10,21,60,53,-60,-53,2056.0233154296875,,,,,,,,0
2022-01-14,2030.0,2057.7099609375,2020.1199951171875,2033.47998046875,2033.47998046875,123200,,72.82073743150843,61.36071416139409,,,,10,21,60,53,-60,-53,2037.1033121744792,2039.1709920247395,,,,,,,0
2022-01-18,2008.449951171875,2012.760009765625,1953.5999755859375,1967.56005859375,1967.56005859375,178900,,49.85555880092327,61.51708158386152,,,,10,21,60,53,-60,-53,1977.9733479817708,2028.0441476532906,,,,,,,0
2022-01-19,1981.0899658203125,1991.969970703125,1945.18994140625,1945.8900146484375,1945.8900146484375,120500,,24.86451649965312,49.18027091069495,,,,10,21,60,53,-60,-53,1961.0166422526042,2015.8573284895294,,,,,,,0
2022-01-20,1957.4000244140625,1988.6800537109375,1930.219970703125,1932.7099609375,1932.7099609375,151400,,4.510963174626331,26.410346158400912,,,,10,21,60,53,-60,-53,1950.5366617838542,2003.9808436339522,,,,,,,0
2022-01-21,1939.260009765625,1964.5,1932.72998046875,1942.1700439453125,1942.1700439453125,171800,,3.8665943068291635,11.080691327036211,,,,10,21,60,53,-60,-53,1946.4666748046875,1993.5237220286313,,,,,,,0
2022-01-24,1920.6600341796875,1979.8299560546875,1891.280029296875,1972.1300048828125,1972.1300048828125,285200,40.46810328884013,25.874366076597443,11.417307852684317,,,,10,21,60,53,-60,-53,1947.7466634114583,1985.2006204618726,,,,,,,0
2022-01-25,1960.5699462890625,1964.0899658203125,1915.1500244140625,1930.93994140625,1930.93994140625,202500,36.26586421855984,38.43855171671539,22.726504033380667,,,,10,21,60,53,-60,-53,1936.7266438802083,1976.3871701742974,,,,,,,0
2022-01-26,1952.43994140625,1952.43994140625,1876.5699462890625,1881.699951171875,1881.699951171875,243000,31.989405744846806,36.83939192207128,33.71743657179471,,,,10,21,60,53,-60,-53,1903.5699462890625,1963.1476749224364,,,,,,,0
2022-01-27,1904.68994140625,1927.5,1891.2900390625,1907.72998046875,1907.72998046875,185400,36.26785278743353,24.713434743618862,33.33045946080185,,,,10,21,60,53,-60,-53,1908.8400065104167,1953.2735533929783,,,,,,,0
2022-01-28,1912.9200439453125,1952.5400390625,1893.02001953125,1951.1600341796875,1951.1600341796875,166100,42.74017327017928,35.66245340704281,32.405093357577655,,,,10,21,60,53,-60,-53,1932.2400309244792,1949.449276580524,40.58153993492306,-28.27105737180271,,,,,0
2022-01-31,1944.300048828125,1996.3699951171875,1944.300048828125,1986.3499755859375,1986.3499755859375,243700,47.4012844536676,64.6825148214989,41.68613432405353,,,,10,21,60,53,-60,-53,1975.67333984375,1954.2172880829287,37.10417844872274,38.55100720524538,,,,,0
2022-02-01,1983.06005859375,2014.8800048828125,1974.510009765625,2011.5699462890625,2011.5699462890625,192600,50.510583433050236,87.1593479997847,62.501438742775484,,,,10,21,60,53,-60,-53,2000.3199869791667,1962.599596973154,37.216216913684576,67.56980895989079,,,,,0
2022-02-02,2032.4599609375,2071.070068359375,2024.5899658203125,2064.179931640625,2064.179931640625,198000,56.312280010512794,95.13676459407456,82.32620913845273,,,,10,21,60,53,-60,-53,2053.279988606771,1979.0869409065388,43.93927705669324,112.56906147166639,,,,,0
2022-02-03,2040.93994140625,2078.72998046875,2025.52001953125,2030.1700439453125,2030.1700439453125,223800,52.06319703901865,89.20865984226653,90.50159081204193,,,,10,21,60,53,-60,-53,2044.8066813151042,1991.035984617187,45.72680790055214,78.39412541086634,,,,,0
2022-02-04,2024.2099609375,2041.0999755859375,1975.3599853515625,2018.699951171875,2018.699951171875,175800,50.6744362624018,75.12131341259222,86.4889126163111,,,,10,21,60,53,-60,-53,2011.719970703125,1994.7967093600848,40.48979943554996,27.864238366139492,,,,,0
2022-02-07,2023.8900146484375,2045.530029296875,1989.77001953125,1996.5,1996.5,182700,48.00538836053143,50.09869037542192,71.47622121009354,,,,10,21,60,53,-60,-53,2010.6000162760417,1997.6700378902588,35.47892288104688,24.296074656558577,,,,,0
2022-02-08,1991.8800048828125,2047.5999755859375,1980.030029296875,2017.010009765625,2017.010009765625,157100,50.59444615819933,38.91217269798808,54.71072549533406,,,,10,21,60,53,-60,-53,2014.8800048828125,2000.7991227979958,31.58837000900503,29.717439426393586,,,,,0
2022-02-09,2035.8800048828125,2047.43994140625,1995.0,2005.31005859375,2005.31005859375,142200,49.092677650656455,30.121811908337474,39.71089166058248,,,,10,21,60,53,-60,-53,2015.9166666666667,2003.5477671377541,28.093920830806407,29.351307241647053,,,,,0
2022-02-10,1944.8299560546875,1952.3699951171875,1904.8399658203125,1939.5400390625,1939.5400390625,355500,41.614826153172885,31.190806746234028,33.40826378418652,,,,10,21,60,53,-60,-53,1932.25,1990.5845367490715,33.59221463412733,-115.76995321570277,,,,,0
