Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,172.27999877929688,172.5,162.88999938964844,164.35000610351562,162.04493713378906,1232500,,,,,,,10,21,60,53,-60,-53,166.5800018310547,,,,,,,,0
2022-01-04,164.0,164.5,156.3699951171875,158.1999969482422,155.98118591308594,1945700,,,,,,,10,21,60,53,-60,-53,159.68999735514322,,,,,,,,0
2022-01-05,158.4199981689453,159.8300018310547,157.1699981689453,157.32000732421875,155.113525390625,1193900,,,,,,,10,21,60,53,-60,-53,158.1066691080729,,,,,,,,0
2022-01-06,156.4199981689453,159.88999938964844,155.5500030517578,158.33999633789062,156.1192169189453,945400,,,,,,,10,21,60,53,-60,-53,157.92666625976562,,,,,,,,0
2022-01-07,158.75999450683594,158.88999938964844,155.61000061035156,155.8699951171875,153.68385314941406,729800,,,,,,,10,21,60,53,-60,-53,156.78999837239584,,,,,,,,0
2022-01-10,156.36000061035156,159.88999938964844,155.80999755859375,159.60000610351562,157.36155700683594,860000,,,,,,,10,21,60,53,-60,-53,158.43333435058594,,,,,,,,0
2022-01-11,159.27999877929688,160.00999450683594,155.47999572753906,157.8800048828125,155.66567993164062,776700,,,,,,,10,21,60,53,-60,-53,157.78999837239584,,,,,,,,0
2022-01-12,150.9199981689453,152.1300048828125,146.39999389648438,147.13999938964844,145.07630920410156,2598300,,,,,,,10,21,60,53,-60,-53,148.5566660563151,,,,,,,,0
2022-01-13,147.2100067138672,147.47999572753906,143.50999450683594,145.00999450683594,142.97618103027344,1433100,,22.502825527884653,30.144127154543344,,,,10,21,60,53,-60,-53,145.3333282470703,,,,,,,,0
2022-01-14,145.13999938964844,146.3699951171875,140.82000732421875,142.3000030517578,140.30419921875,1324500,,7.413486941035196,21.49088345279702,,,,10,21,60,53,-60,-53,143.16333516438803,155.23699951171875,,,,,,,0
2022-01-18,140.08999633789062,141.2100067138672,137.66000366210938,138.8300018310547,137.48187255859375,1365200,,7.346045147039974,12.420785871986608,,,,10,21,60,53,-60,-53,139.23333740234375,152.32724276455966,,,,,,,0
2022-01-19,139.10000610351562,140.5500030517578,137.83999633789062,138.97999572753906,137.63040161132812,904500,,7.356497597211249,7.372009895095473,,,,10,21,60,53,-60,-53,139.12333170572916,149.92653166295412,,,,,,,0
2022-01-20,140.3300018310547,142.58999633789062,136.83999633789062,137.1699981689453,135.83798217773438,1687100,,5.819560289499091,6.840701011250104,,,,10,21,60,53,-60,-53,138.86666361490884,147.91564656330954,,,,,,,0
2022-01-21,138.33999633789062,139.25,136.92999267578125,137.72000122070312,136.3826446533203,1156500,,7.152612636094607,6.776223507601649,,,,10,21,60,53,-60,-53,137.96666463216147,146.10674075764626,,,,,,,0
2022-01-24,136.60000610351562,138.82000732421875,133.02000427246094,138.3000030517578,136.95700073242188,1422200,15.822615278728144,22.502672749467248,11.824948558353649,,,,10,21,60,53,-60,-53,136.71333821614584,144.39884938646438,,,,,,,0
2022-01-25,137.3000030517578,138.58999633789062,134.08999633789062,137.17999267578125,135.84788513183594,1023300,15.337199552843666,35.958528822919625,21.871271402827162,,,,10,21,60,53,-60,-53,136.6199951171875,142.98451224659584,,,,,,,0
2022-01-26,136.3800048828125,138.33999633789062,134.60000610351562,135.39999389648438,134.0851593017578,1532100,14.572062990945552,41.17027727862912,33.21049295033867,,,,10,21,60,53,-60,-53,136.11333211263022,141.735206767693,,,,,,,0
2022-01-27,135.3000030517578,136.64999389648438,133.3800048828125,135.0800018310547,133.76828002929688,1125200,14.432669103444345,33.80139304549318,36.97673304901397,,,,10,21,60,53,-60,-53,135.0366668701172,140.51729042267922,,,,,,,0
2022-01-28,133.80999755859375,134.86000061035156,131.4600067138672,134.85000610351562,133.54051208496094,1884600,14.326589775881315,34.66495342195655,36.54554124869295,,,,10,21,60,53,-60,-53,133.72333780924478,139.2820263111457,8.387104374990969,-44.18440702432062,,,,,0
2022-01-31,134.94000244140625,135.9600067138672,132.74000549316406,135.02000427246094,133.7088623046875,1485500,14.824906976759648,43.01849225687901,37.16161290810957,,,,10,21,60,53,-60,-53,134.5733388264974,138.42590131393692,7.562642213617977,-33.96134471364379,,,,,0
2022-02-01,135.77000427246094,135.77000427246094,132.52000427246094,135.24000549316406,133.92672729492188,1276500,15.509814001512435,50.31053609024841,42.66466058969465,,,,10,21,60,53,-60,-53,134.51000467936197,137.71392010765055,6.770146434467177,-31.54944489804314,,,,,0
2022-02-02,133.35000610351562,136.44000244140625,132.6699981689453,135.91000366210938,134.59022521972656,2606600,17.680782131877645,63.53793396670352,52.28898743794364,,,,10,21,60,53,-60,-53,135.0066680908203,137.22169246822688,5.94194242409252,-24.851855047999198,,,,,0
2022-02-03,138.2899932861328,141.77999877929688,135.60000610351562,136.30999755859375,134.986328125,2320000,19.018599704017806,62.55998705268333,58.80281903654509,,,,10,21,60,53,-60,-53,137.89666748046875,137.3444151977254,4.961998762029035,7.419755750705175,,,,,0
2022-02-04,136.16000366210938,137.94000244140625,133.6699981689453,134.0500030517578,132.74827575683594,1243100,17.307165132948942,49.753570126833694,58.61716371540685,,,,10,21,60,53,-60,-53,135.22000122070312,136.95815811099408,4.375845694440293,-26.481081397962427,,,,,0
2022-02-07,133.57000732421875,133.80999755859375,130.24000549316406,132.2100067138672,130.92616271972656,1248400,16.041494109295083,26.86327465236772,46.392277277294916,,,,10,21,60,53,-60,-53,132.086669921875,136.0724329856997,4.304921579782911,-61.72412961857308,,,,,0
2022-02-08,132.4499969482422,134.7100067138672,131.72999572753906,134.52000427246094,133.21372985839844,1009400,23.595749535999072,23.560717240487705,33.392520673229704,,,,10,21,60,53,-60,-53,133.65333557128906,135.6325970921705,3.8820742963462793,-33.98975856359873,,,,,0
2022-02-09,135.39999389648438,137.52999877929688,135.33999633789062,136.7899932861328,135.46165466308594,958900,30.23838483146188,36.97283431510608,29.132275402653836,,,,10,21,60,53,-60,-53,136.55332946777344,135.80000297864376,3.3132110586705332,15.158034019761649,,,,,0
2022-02-10,135.6199951171875,136.94000244140625,133.2899932861328,133.7100067138672,132.41159057617188,1306000,26.829967346866706,46.304131340683035,35.61256096542561,,,,10,21,60,53,-60,-53,134.64666748046875,135.59030561533922,2.882379617979612,-21.825441936569213,,,,,0
2022-02-11,133.36000061035156,134.92999267578125,131.9199981689453,132.3699951171875,131.0845947265625,1087200,25.484083351780367,43.68066212686307,42.31920926088406,,,,10,21,60,53,-60,-53,133.07332865397134,135.13267344054506,2.7327369213603587,-50.238883723174105,,,,,0
2022-02-14,131.6199951171875,133.00999450683594,129.75,130.2899932861328,129.0247802734375,1220400,23.51245394835642,27.074583060188896,39.01979217591167,,,,10,21,60,53,-60,-53,131.01666259765625,134.38430783274708,2.8481747965840816,-78.82580893864079,,,,,0
2022-02-15,131.49000549316406,132.32000732421875,129.6999969482422,131.11000061035156,129.8368377685547,1280100,25.94493645612504,18.055495265335832,29.603580150795935,,,,10,21,60,53,-60,-53,131.0433349609375,133.7768582196908,2.827329062433032,-64.45478396492932,,,,,0
2022-02-16,130.63999938964844,132.44000244140625,129.6699981689453,131.72000122070312,130.44091796875,1105000,27.784796793779975,17.715531302195327,20.948536542573354,,,,10,21,60,53,-60,-53,131.27666727701822,133.3222780482958,2.6851984640411315,-50.78732661468423,,,,,0
2022-02-17,131.17999267578125,131.39999389648438,129.0500030517578,129.1199951171875,127.86615753173828,2109700,24.940563938471996,15.798716142457058,17.18991423666274,,,,10,21,60,53,-60,-53,129.8566640218099,132.69216640711656,2.712526449725772,-69.68908722452738,,,,,0
2022-02-18,129.25999450683594,131.7899932861328,128.38999938964844,131.3800048828125,130.1042022705078,2243500,31.50417249434495,31.36908168388818,21.627776376180194,-5.432485402135512,-6.423431139481159,0.9909457373456467,10,21,60,53,-60,-53,130.5199991861979,132.29722691240408,2.5424721363585734,-46.6010410574015,,,,,0
2022-02-22,130.77000427246094,132.52000427246094,129.35000610351562,130.5500030517578,129.2822723388672,1098900,30.451016771915203,39.40313811204377,28.856978646129676,-5.186322649597116,-6.17600944150435,0.9896867919072339,10,21,60,53,-60,-53,130.80667114257812,132.02621677243573,2.3019400442674884,-35.31935690200781,,,,,0
2022-02-23,127.69000244140625,132.0399932861328,127.37000274658203,129.08999633789062,127.83644104003906,1354200,28.637505785448642,50.13899830108744,40.30373936567314,-5.050824474217734,-5.950972448047027,0.9001479738292932,10,21,60,53,-60,-53,129.4999974568685,131.56690416960532,2.259206711261913,-60.992108496417686,,,,,0
