Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,292.7900085449219,294.92999267578125,282.6600036621094,284.0,282.3357238769531,576100,,,,,,,10,21,60,53,-60,-53,287.19666544596356,,,,,,,,0
2022-01-04,285.3800048828125,288.54998779296875,282.739990234375,285.6099853515625,283.936279296875,584800,,,,,,,10,21,60,53,-60,-53,285.63332112630206,,,,,,,,0
2022-01-05,288.9800109863281,288.9800109863281,278.010009765625,279.2699890136719,277.6334228515625,962100,,,,,,,10,21,60,53,-60,-53,282.086669921875,,,,,,,,0
2022-01-06,278.92999267578125,281.4200134277344,276.20001220703125,279.8500061035156,278.2100524902344,1036200,,,,,,,10,21,60,53,-60,-53,279.15667724609375,,,,,,,,0
2022-01-07,279.1600036621094,281.0199890136719,266.6400146484375,267.45001220703125,265.8827209472656,1170000,,,,,,,10,21,60,53,-60,-53,271.7033386230469,,,,,,,,0
2022-01-10,263.0,263.0,257.760009765625,260.7799987792969,259.2518005371094,908800,,,,,,,10,21,60,53,-60,-53,260.5133361816406,,,,,,,,0
2022-01-11,261.95001220703125,263.5799865722656,255.1699981689453,263.19000244140625,261.6476745605469,974200,,,,,,,10,21,60,53,-60,-53,260.64666239420575,,,,,,,,0
2022-01-12,265.239990234375,267.4700012207031,260.7200012207031,261.80999755859375,260.2757568359375,844700,,,,,,,10,21,60,53,-60,-53,263.3333333333333,,,,,,,,0
2022-01-13,261.80999755859375,263.04998779296875,254.5,254.9199981689453,253.42613220214844,1041700,,16.86657384473133,16.171803658974095,,,,10,21,60,53,-60,-53,257.489995320638,,,,,,,,0
2022-01-14,251.97999572753906,253.22999572753906,247.3300018310547,249.5,248.0378875732422,747000,,12.551164804800536,16.326942678949848,,,,10,21,60,53,-60,-53,250.0199991861979,269.7779998779297,,,,,,,0
2022-01-18,245.50999450683594,247.75,238.02999877929688,240.66000366210938,239.2497100830078,1716200,,7.097237701983427,12.171658783838433,,,,10,21,60,53,-60,-53,242.14666748046875,264.7541212602095,,,,,,,0
2022-01-19,242.4499969482422,242.4499969482422,233.5500030517578,233.9199981689453,232.5491943359375,1984200,,6.932932165885444,8.860444890889804,,,,10,21,60,53,-60,-53,236.63999938964844,259.6424627382893,,,,,,,0
2022-01-20,235.25,237.4600067138672,228.60000610351562,228.64999389648438,227.31007385253906,1901900,,3.3897766108326817,5.806648826233854,,,,10,21,60,53,-60,-53,231.57000223795572,254.5383790109559,,,,,,,0
2022-01-21,229.02000427246094,232.49000549316406,225.55999755859375,225.66000366210938,224.33761596679688,2232800,,0.53243813250055,3.6183823030728948,,,,10,21,60,53,-60,-53,227.90333557128906,249.69564384010738,,,,,,,0
