Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,129.07000732421875,129.50999450683594,126.43000030517578,128.33999633789062,128.33999633789062,1765700,,,,,,,10,21,60,53,-60,-53,128.09333038330078,,,,,,,,0
2022-01-04,128.3699951171875,129.52999877929688,126.94000244140625,127.88999938964844,127.88999938964844,2020300,,,,,,,10,21,60,53,-60,-53,128.12000020345053,,,,,,,,0
2022-01-05,127.55000305175781,128.36000061035156,123.91999816894531,123.91999816894531,123.91999816894531,2201700,,,,,,,10,21,60,53,-60,-53,125.39999898274739,,,,,,,,0
2022-01-06,124.3499984741211,125.4000015258789,122.97000122070312,123.2300033569336,123.2300033569336,2602100,,,,,,,10,21,60,53,-60,-53,123.86666870117188,,,,,,,,0
2022-01-07,122.16000366210938,123.80999755859375,121.0199966430664,122.30000305175781,122.30000305175781,2172000,,,,,,,10,21,60,53,-60,-53,122.37666575113933,,,,,,,,0
2022-01-10,120.52999877929688,121.22000122070312,117.72000122070312,120.12000274658203,120.12000274658203,2652600,,,,,,,10,21,60,53,-60,-53,119.6866683959961,,,,,,,,0
2022-01-11,120.5999984741211,122.19000244140625,118.54000091552734,121.94000244140625,121.94000244140625,2389400,,,,,,,10,21,60,53,-60,-53,120.89000193277995,,,,,,,,0
2022-01-12,121.19000244140625,123.7699966430664,121.19000244140625,122.26000213623047,122.26000213623047,2006900,,,,,,,10,21,60,53,-60,-53,122.4066670735677,,,,,,,,0
2022-01-13,122.56999969482422,122.9000015258789,120.05000305175781,120.45999908447266,120.45999908447266,1696000,,47.92268086173262,37.54341417274153,,,,10,21,60,53,-60,-53,121.1366678873698,,,,,,,,0
2022-01-14,119.44000244140625,120.20999908447266,116.69999694824219,118.26000213623047,118.26000213623047,2112800,,42.057170894638524,43.226399377573024,,,,10,21,60,53,-60,-53,118.38999938964844,123.03666687011719,,,,,,,0
2022-01-18,115.0,116.5199966430664,114.16999816894531,115.83000183105469,115.83000183105469,2601200,,28.116209113579462,39.36535362331687,,,,10,21,60,53,-60,-53,115.5066655476888,121.66757572058475,,,,,,,0
2022-01-19,116.25,118.1500015258789,115.97000122070312,116.16000366210938,116.16000366210938,2245300,,20.028690908668775,30.067356972295585,,,,10,21,60,53,-60,-53,116.76000213623047,120.77528961433852,,,,,,,0
2022-01-20,117.19999694824219,119.55999755859375,115.33999633789062,115.55999755859375,115.55999755859375,1825500,,17.98100976826308,22.04196993017044,,,,10,21,60,53,-60,-53,116.8199971516927,120.0561455302211,,,,,,,0
2022-01-21,115.5199966430664,115.55000305175781,112.2300033569336,112.6500015258789,112.6500015258789,3144900,,13.971486503253288,17.32706239339505,,,,10,21,60,53,-60,-53,113.47666931152344,118.85987712682153,,,,,,,0
2022-01-24,110.30000305175781,110.75,105.13999938964844,110.5999984741211,110.5999984741211,4692000,10.890657793066469,19.683102818897662,17.211866363471344,,,,10,21,60,53,-60,-53,108.82999928792317,117.03626297429456,,,,,,,0
2022-01-25,107.94000244140625,111.12000274658203,106.52999877929688,109.48999786376953,109.48999786376953,3211900,10.345387774568042,24.431214217009995,19.36193451305365,,,,10,21,60,53,-60,-53,109.04666646321614,115.58360906318939,,,,,,,0
2022-01-26,111.05000305175781,112.16000366210938,107.37000274658203,108.62999725341797,108.62999725341797,3144300,9.930538319641967,30.744329891816378,24.952882309241346,,,,10,21,60,53,-60,-53,109.3866678873698,114.45689248576764,,,,,,,0
2022-01-27,100.0,106.04000091552734,99.62000274658203,101.95999908447266,101.95999908447266,6876000,7.43898978787202,23.019385271041987,26.064976459956117,,,,10,21,60,53,-60,-53,102.54000091552734,112.29018492754213,,,,,,,0
2022-01-28,102.37000274658203,105.0199966430664,96.38999938964844,104.87000274658203,104.87000274658203,3828600,17.19969105029069,30.888240153360215,28.217318438739525,,,,10,21,60,53,-60,-53,102.0933329264323,110.43621183643126,6.134871513205546,-90.66072959083813,,,,,0
2022-01-31,105.31999969482422,109.41000366210938,105.0,109.19999694824219,109.19999694824219,3398300,29.168662717632948,49.897460691200706,34.601695371867635,,,,10,21,60,53,-60,-53,107.87000020345052,109.96962790316203,5.401190819842996,-25.915614657887016,,,,,0
2022-02-01,109.58999633789062,110.54000091552734,107.0199966430664,108.37000274658203,108.37000274658203,3731900,28.323492636211352,70.3233888371232,50.36969656056137,,,,10,21,60,53,-60,-53,108.6433334350586,109.72848345441595,4.616456128845607,-15.670751027350065,,,,,0
2022-02-02,111.79000091552734,112.98999786376953,109.7699966430664,112.83999633789062,112.83999633789062,3385300,38.635868089905415,85.43118312546137,68.55067755126176,,,,10,21,60,53,-60,-53,111.86666361490886,110.11724348359648,4.095176856566838,28.479358239959556,,,,,0
2022-02-03,110.80000305175781,113.91000366210938,110.58999633789062,111.58999633789062,111.58999633789062,2655300,37.03136910649382,87.27378508776674,81.0094523501171,,,,10,21,60,53,-60,-53,112.02999877929688,110.46501717372382,3.63514135638615,28.700976608492752,,,,,0
2022-02-04,110.5999984741211,113.20999908447266,110.26000213623047,112.18000030517578,112.18000030517578,2303700,38.333127237549796,88.81263759342119,87.1725352688831,,,,10,21,60,53,-60,-53,111.88333384195964,110.72289293158488,3.1851958207477153,24.28821702401853,,,,,0
2022-02-07,111.5999984741211,113.33999633789062,110.61000061035156,111.12999725341797,111.12999725341797,1833500,36.8722102707843,75.66438456283629,83.91693574800807,,,,10,21,60,53,-60,-53,111.69333140055339,110.89933628957915,2.7504320553343558,19.24534267102543,,,,,0
2022-02-08,110.3499984741211,111.80999755859375,108.83000183105469,111.41999816894531,111.41999816894531,3798300,37.57978132633703,63.73978763313641,76.07226992979797,,,,10,21,60,53,-60,-53,110.68666585286458,110.86066893744923,2.2819904242889555,-5.083371742276915,,,,,0
2022-02-09,113.04000091552734,114.12000274658203,111.95999908447266,112.58999633789062,112.58999633789062,3025500,40.47842216689489,60.571055754099596,66.65840931669076,,,,10,21,60,53,-60,-53,112.88999938964844,111.22963811057636,2.168966943340432,51.033858435695365,,,,,0
2022-02-10,110.16000366210938,112.7699966430664,110.05999755859375,110.63999938964844,110.63999938964844,2338200,37.36414274089761,52.09233298641221,58.80105879121607,,,,10,21,60,53,-60,-53,111.1566645304362,111.21637018691452,1.7854648911836835,-2.2293225244633557,,,,,0
2022-02-11,110.80000305175781,112.0,108.81999969482422,109.0,109.0,2797300,34.93009964270906,36.22968922466462,49.63102598839214,,,,10,21,60,53,-60,-53,109.93999989827473,110.98430286170728,1.6507081770471124,-42.17595728320095,,,,,0
2022-02-14,108.33999633789062,109.4800033569336,106.41999816894531,107.7300033569336,107.7300033569336,2405100,33.13022917438448,18.208241121682896,35.51008777758657,,,,10,21,60,53,-60,-53,107.87666829427083,110.41927839490064,1.8128721631530584,-93.50209214265287,,,,,0
2022-02-15,108.55000305175781,110.97000122070312,108.55000305175781,110.93000030517578,110.93000030517578,3034700,41.33310611598271,26.326898662290763,26.92160966954609,,,,10,21,60,53,-60,-53,110.1500015258789,110.37031896416941,1.5233167586325946,-9.642005929582039,,,,,0
2022-02-16,110.20999908447266,111.11000061035156,108.5,110.66000366210938,110.66000366210938,2823700,40.87747444839975,47.45207395470383,30.662404579559162,,,,10,21,60,53,-60,-53,110.09000142415364,110.319352138712,1.2880502051645528,-11.870692288171293,,,,,0
2022-02-17,109.63999938964844,109.80000305175781,106.69999694824219,106.87999725341797,106.87999725341797,2269000,35.051813499061964,44.52896202500168,39.43597821399876,,,,10,21,60,53,-60,-53,107.79333241780598,109.86007582582,1.4296307875008196,-96.37655755054332,,,,,0
2022-02-18,106.66000366210938,107.2699966430664,104.91000366210938,105.62000274658203,105.62000274658203,2525600,33.34587239897379,28.82235611809514,40.26779736593355,-3.6355993571781084,-4.475656032204572,0.8400566750264638,10,21,60,53,-60,-53,105.93333435058594,109.1461228303229,1.7538412769982992,-122.12387828829634,,,,,0
2022-02-22,104.98999786376953,107.2699966430664,104.80999755859375,105.94000244140625,105.94000244140625,2074600,34.2214674865752,12.543963004120622,28.631760382405815,-3.5963942227941317,-4.2998036703224845,0.7034094475283528,10,21,60,53,-60,-53,106.0066655476888,108.57531241529851,1.9019877480185565,-90.03376845392992,,,,,0
2022-02-23,106.45999908447266,107.5999984741211,105.06999969482422,105.33000183105469,105.33000183105469,2235000,33.322832008966536,12.547404199580484,17.971241107265417,-3.5733544172188516,-4.154513819701758,0.5811594024829061,10,21,60,53,-60,-53,106.0,108.10707379433515,1.939276120076119,-72.4350621527255,,,,,0
2022-02-24,103.26000213623047,110.04000091552734,102.56999969482422,109.63999938964844,109.63999938964844,3112000,44.426876139663044,40.27861231032352,21.78999317134154,-3.1707638307724153,-3.957763821915889,0.7869999911434737,10,21,60,53,-60,-53,107.41666666666667,107.98154522566816,1.6893856544261856,-22.291281153852395,,,,,0
2022-02-25,109.58000183105469,113.11000061035156,108.55000305175781,113.02999877929688,113.02999877929688,2157300,51.297034096931085,67.38007652961699,40.068697679840334,-2.5487824931484226,-3.6759675561623957,1.127185063013973,10,21,60,53,-60,-53,111.56333414713542,108.63277957502584,1.915052730368622,102.01823777964564,,,,,0
2022-02-28,111.06999969482422,113.13999938964844,110.29000091552734,112.37000274658203,112.37000274658203,3072400,50.001027448742164,95.53382028438985,67.73083637477679,-2.085078479179259,-3.357789740765768,1.272711261586509,10,21,60,53,-60,-53,111.93333435058594,109.2328804433095,2.0578529443518616,87.48451194203193,-17.083837242138138,-17.083837242138138,,,0
2022-03-01,112.3499984741211,112.97000122070312,110.55000305175781,111.61000061035156,111.61000061035156,2001300,48.482040524768,92.49377161131883,85.13588947510856,-1.7586429864619362,-3.0379603899050016,1.2793174034430654,10,21,60,53,-60,-53,111.71000162760417,109.68326611318126,2.052195229819325,65.83959410792652,-9.545343483041352,-9.545343483041352,,,0
2022-03-02,112.51000213623047,112.81999969482422,110.83000183105469,111.37999725341797,111.37999725341797,2486500,48.006725832417466,87.19647532067641,91.74135573879504,-1.5011950136728416,-2.7306073146585694,1.2294123009857278,10,21,60,53,-60,-53,111.67666625976562,110.04570250346933,1.9756076891787744,55.03669462413223,-3.6742491096619343,-3.6742491096619343,,,0
