Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,21.270000457763672,21.8799991607666,21.059999465942383,21.770000457763672,21.303030014038086,110449000,,,,,,,10,21,60,53,-60,-53,21.56999969482422,,,,,,,,0
2022-01-04,22.520000457763672,24.559999465942383,22.420000076293945,24.309999465942383,23.78854751586914,311645200,,,,,,,10,21,60,53,-60,-53,23.763333002726238,,,,,,,,0
2022-01-05,24.059999465942383,24.950000762939453,23.469999313354492,23.65999984741211,23.152490615844727,253540000,,,,,,,10,21,60,53,-60,-53,24.02666664123535,,,,,,,,0
2022-01-06,24.09000015258789,24.6200008392334,23.360000610351562,24.459999084472656,23.935327529907227,155058800,,,,,,,10,21,60,53,-60,-53,24.14666684468587,,,,,,,,0
2022-01-07,24.670000076293945,24.90999984741211,24.040000915527344,24.440000534057617,23.915756225585938,127017500,,,,,,,10,21,60,53,-60,-53,24.46333376566569,,,,,,,,0
2022-01-10,24.100000381469727,24.440000534057617,23.350000381469727,23.850000381469727,23.33841323852539,122800700,,,,,,,10,21,60,53,-60,-53,23.880000432332356,,,,,,,,0
2022-01-11,23.780000686645508,24.350000381469727,23.280000686645508,24.350000381469727,23.827686309814453,106011600,,,,,,,10,21,60,53,-60,-53,23.99333381652832,,,,,,,,0
2022-01-12,24.610000610351562,24.84000015258789,24.010000228881836,24.469999313354492,23.945114135742188,104050000,,,,,,,10,21,60,53,-60,-53,24.43999989827474,,,,,,,,0
2022-01-13,24.639999389648438,25.8700008392334,24.3700008392334,25.020000457763672,24.48331642150879,185780500,,68.08645925982249,67.26022962286885,,,,10,21,60,53,-60,-53,25.08666737874349,,,,,,,,0
2022-01-14,24.469999313354492,25.280000686645508,24.299999237060547,25.190000534057617,24.649669647216797,146012200,,71.3109020674239,67.97686035860686,,,,10,21,60,53,-60,-53,24.923333485921223,24.029333496093752,,,,,,,0
2022-01-18,24.8700008392334,25.1299991607666,24.299999237060547,24.3799991607666,23.857044219970703,110518100,,61.13253298338274,66.84329810354303,,,,10,21,60,53,-60,-53,24.60333251953125,24.13369695490057,,,,,,,0
