Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,107.0,107.18000030517578,102.94999694824219,104.66999816894531,103.44621276855469,981100,,,,,,,10,21,60,53,-60,-53,104.93333180745442,,,,,,,,0
2022-01-04,105.20999908447266,107.68000030517578,105.12999725341797,107.30999755859375,106.05533599853516,955500,,,,,,,10,21,60,53,-60,-53,106.7066650390625,,,,,,,,0
2022-01-05,107.62000274658203,108.41000366210938,103.8499984741211,104.12000274658203,102.90263366699219,707800,,,,,,,10,21,60,53,-60,-53,105.46000162760417,,,,,,,,0
2022-01-06,104.83000183105469,105.02999877929688,102.56999969482422,104.83999633789062,103.61421966552734,726800,,,,,,,10,21,60,53,-60,-53,104.14666493733723,,,,,,,,0
2022-01-07,104.54000091552734,104.63999938964844,101.05999755859375,101.31999969482422,100.1353759765625,854600,,,,,,,10,21,60,53,-60,-53,102.33999888102214,,,,,,,,0
2022-01-10,100.0,100.45999908447266,98.5999984741211,100.37000274658203,99.19647979736328,832700,,,,,,,10,21,60,53,-60,-53,99.81000010172527,,,,,,,,0
2022-01-11,100.69000244140625,102.9800033569336,99.69000244140625,102.9000015258789,101.6968994140625,908700,,,,,,,10,21,60,53,-60,-53,101.85666910807292,,,,,,,,0
2022-01-12,103.93000030517578,105.11000061035156,103.44999694824219,104.80000305175781,103.5746841430664,848300,,,,,,,10,21,60,53,-60,-53,104.45333353678386,,,,,,,,0
2022-01-13,105.12999725341797,106.38999938964844,103.55000305175781,103.86000061035156,102.64568328857422,557400,,68.86448335520575,47.680042616385265,,,,10,21,60,53,-60,-53,104.60000101725261,,,,,,,,0
2022-01-14,102.16000366210938,103.37999725341797,100.56999969482422,101.4800033569336,100.29350280761719,547600,,66.57705059730833,62.60426835595545,,,,10,21,60,53,-60,-53,101.81000010172527,103.61166661580403,,,,,,,0
2022-01-18,100.4000015258789,100.68000030517578,97.87000274658203,98.37000274658203,97.21986389160156,699000,,36.787188134008595,57.40957402884089,,,,10,21,60,53,-60,-53,98.97333526611328,102.76833364313298,,,,,,,0
2022-01-19,99.05999755859375,99.41000366210938,96.87000274658203,96.94999694824219,95.81645965576172,526200,,14.55978524681091,39.30800799270928,,,,10,21,60,53,-60,-53,97.7433344523112,101.85469742661992,,,,,,,0
2022-01-20,98.1500015258789,99.88999938964844,96.27999877929688,96.55000305175781,95.42115020751953,978100,,3.126495893641662,18.157823091487057,,,,10,21,60,53,-60,-53,97.57333374023438,101.07626766545891,,,,,,,0
