Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,41.61000061035156,41.61000061035156,40.83000183105469,41.2400016784668,40.096492767333984,3168800,,,,,,,10,21,60,53,-60,-53,41.22666803995768,,,,,,,,0
2022-01-04,41.27000045776367,41.529998779296875,41.02000045776367,41.08000183105469,39.94093322753906,3451000,,,,,,,10,21,60,53,-60,-53,41.210000356038414,,,,,,,,0
2022-01-05,40.9900016784668,41.34000015258789,40.75,40.79999923706055,39.66869354248047,3626600,,,,,,,10,21,60,53,-60,-53,40.96333312988281,,,,,,,,0
2022-01-06,40.81999969482422,41.220001220703125,40.70000076293945,40.939998626708984,39.804813385009766,2275500,,,,,,,10,21,60,53,-60,-53,40.95333353678385,,,,,,,,0
2022-01-07,41.189998626708984,41.68000030517578,40.9900016784668,41.40999984741211,40.26177978515625,4266900,,,,,,,10,21,60,53,-60,-53,41.36000061035156,,,,,,,,0
2022-01-10,41.27000045776367,41.61000061035156,41.060001373291016,41.52000045776367,40.36873245239258,4782200,,,,,,,10,21,60,53,-60,-53,41.39666748046875,,,,,,,,0
2022-01-11,41.54999923706055,41.72999954223633,41.0,41.36000061035156,40.21316909790039,4580900,,,,,,,10,21,60,53,-60,-53,41.36333338419596,,,,,,,,0
2022-01-12,41.27000045776367,41.56999969482422,41.040000915527344,41.40999984741211,40.26177978515625,3404700,,,,,,,10,21,60,53,-60,-53,41.34000015258789,,,,,,,,0
2022-01-13,41.33000183105469,41.70000076293945,41.119998931884766,41.59000015258789,40.43678665161133,2929000,,71.363623873235,72.33047111100599,,,,10,21,60,53,-60,-53,41.46999994913737,,,,,,,,0
2022-01-14,41.540000915527344,41.70000076293945,40.970001220703125,41.56999969482422,40.41734313964844,4173100,,76.32016086431217,73.30384380200833,,,,10,21,60,53,-60,-53,41.413333892822266,41.269667053222655,,,,,,,0
