Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,206.67999267578125,209.17999267578125,194.57000732421875,197.36000061035156,196.41156005859375,2561700,,,,,,,10,21,60,53,-60,-53,200.37000020345053,,,,,,,,0
2022-01-04,199.72000122070312,204.77000427246094,197.55999755859375,202.6199951171875,201.6462860107422,1515500,,,,,,,10,21,60,53,-60,-53,201.6499989827474,,,,,,,,0
2022-01-05,203.2100067138672,203.5,197.97000122070312,197.97000122070312,197.01866149902344,1018300,,,,,,,10,21,60,53,-60,-53,199.8133341471354,,,,,,,,0
2022-01-06,200.47000122070312,202.91000366210938,198.1699981689453,202.6300048828125,201.65625,936200,,,,,,,10,21,60,53,-60,-53,201.2366689046224,,,,,,,,0
2022-01-07,203.6699981689453,205.0,201.32000732421875,204.05999755859375,203.07937622070312,1034700,,,,,,,10,21,60,53,-60,-53,203.46000162760416,,,,,,,,0
2022-01-10,205.02000427246094,206.1999969482422,198.4499969482422,202.47000122070312,201.49700927734375,998500,,,,,,,10,21,60,53,-60,-53,202.37333170572916,,,,,,,,0
2022-01-11,202.47000122070312,205.57000732421875,199.1199951171875,205.25999450683594,204.2736053466797,888500,,,,,,,10,21,60,53,-60,-53,203.31666564941406,,,,,,,,0
2022-01-12,205.66000366210938,209.3000030517578,205.1999969482422,208.08999633789062,207.08999633789062,1239400,,,,,,,10,21,60,53,-60,-53,207.52999877929688,,,,,,,,0
2022-01-13,207.6199951171875,208.97999572753906,199.83999633789062,200.52000427246094,199.556396484375,1118100,,65.59505334357604,71.29814076761473,,,,10,21,60,53,-60,-53,203.11333211263022,,,,,,,,0
2022-01-14,198.9199981689453,199.91000366210938,189.30999755859375,192.05999755859375,191.1370391845703,2056300,,40.65456615774818,61.47604120584416,,,,10,21,60,53,-60,-53,193.75999959309897,201.6623331705729,,,,,,,0
2022-01-18,191.64999389648438,192.14999389648438,179.4600067138672,179.94000244140625,179.07530212402344,2765300,,11.481279137578218,39.24363287963414,,,,10,21,60,53,-60,-53,183.8500010172526,198.42372732451466,,,,,,,0
2022-01-19,180.63999938964844,182.36000061035156,173.55999755859375,174.02999877929688,173.1936798095703,3147600,,5.560165333995603,19.232003543107332,,,,10,21,60,53,-60,-53,176.6499989827474,194.4648676260115,,,,,,,0
2022-01-20,175.05999755859375,178.30999755859375,171.5,171.97999572753906,171.15353393554688,2257400,,1.401431040241537,6.147625170605118,,,,10,21,60,53,-60,-53,173.92999776204428,190.73125492347202,,,,,,,0
2022-01-21,171.89999389648438,172.44000244140625,166.02000427246094,167.6699981689453,166.86424255371094,2630400,,2.4881343534613456,3.149910242566161,,,,10,21,60,53,-60,-53,168.71000162760416,186.7273906878597,,,,,,,0
2022-01-24,164.7100067138672,175.61000061035156,164.7100067138672,174.86000061035156,174.01971435546875,3385100,34.11465167417971,14.379712546217457,6.089759313306779,,,,10,21,60,53,-60,-53,171.72666931152344,183.9999868012531,,,,,,,0
2022-01-25,172.8000030517578,173.14999389648438,167.1199951171875,169.6999969482422,168.88449096679688,2595500,31.632584187919484,23.376791660861297,13.414879520180031,,,,10,21,60,53,-60,-53,169.98999532063803,181.45271562295946,,,,,,,0
2022-01-26,172.1699981689453,175.22999572753906,164.8699951171875,167.30999755859375,166.7221221923828,1692700,30.52479317428041,28.126430895064516,21.960978367381088,,,,10,21,60,53,-60,-53,169.13666280110678,179.21343329171353,,,,,,,0
2022-01-27,169.36000061035156,169.9499969482422,162.19000244140625,164.02000427246094,163.4436798095703,2189900,29.01826745770582,20.3419602909926,23.948394282306136,,,,10,21,60,53,-60,-53,165.38666788736978,176.6994759454692,,,,,,,0
2022-01-28,164.63999938964844,169.19000244140625,162.30999755859375,169.00999450683594,168.4161376953125,1221700,34.31354819760957,27.857863897180703,25.442085027745936,,,,10,21,60,53,-60,-53,166.83666483561197,174.9062375618588,12.830476381668749,-41.929192578674375,,,,,0
2022-01-31,167.38999938964844,173.72999572753906,165.74000549316406,173.58999633789062,172.98004150390625,1346900,38.824522970656226,50.626436723337015,32.94208697050343,,,,10,21,60,53,-60,-53,171.0199991861979,174.1996487662841,11.07578059956283,-19.138753857292887,,,,,0
2022-02-01,173.6199951171875,177.3000030517578,172.27000427246094,176.77000427246094,176.14889526367188,1463800,41.812462532302575,78.2451094651899,52.24313669523587,,,,10,21,60,53,-60,-53,175.44667053222656,174.42637999645547,9.247509678873424,7.35542555925098,,,,,0
2022-02-02,176.89999389648438,178.74000549316406,175.27000427246094,178.10000610351562,177.47421264648438,1418000,43.064976751712116,93.34954779001247,74.07369799284646,,,,10,21,60,53,-60,-53,177.37000528971353,174.96158459522965,8.004038954438961,20.06004475318213,,,,,0
2022-02-03,177.5800018310547,179.6699981689453,174.58999633789062,174.9199981689453,174.30538940429688,1205500,40.80340810749344,88.42119403041319,86.67195042853852,,,,10,21,60,53,-60,-53,176.3933308919271,175.22190210372008,6.7617461969422425,11.549568746376455,,,,,0
2022-02-04,175.2899932861328,177.5,172.6199951171875,175.91000366210938,175.2919158935547,1114100,41.827635433282495,80.5930355308217,87.45459245041577,,,,10,21,60,53,-60,-53,175.34333292643228,175.2439804351223,5.550401886827287,1.193336907077887,,,,,0
2022-02-07,176.72000122070312,178.02999877929688,174.77999877929688,175.07000732421875,174.45486450195312,837600,41.1766442947172,61.16136065478904,76.72519673867463,,,,10,21,60,53,-60,-53,175.96000162760416,175.37416610648265,4.647753456698964,8.403135358182212,,,,,0
2022-02-08,176.3800048828125,177.91000366210938,175.72999572753906,177.10000610351562,176.47772216796875,1266300,43.46656378632134,58.1306865907299,66.62836092544687,,,,10,21,60,53,-60,-53,176.91333516438803,175.6540150261018,4.031674671533012,20.823772433460118,,,,,0
2022-02-09,178.47999572753906,180.24000549316406,177.86000061035156,179.77999877929688,179.14830017089844,807600,46.43141630850339,65.11577086970942,61.469272705076115,,,,10,21,60,53,-60,-53,179.2933349609375,176.3157095597083,3.8400293496595923,51.69449032975338,,,,,0
2022-02-10,177.64999389648438,181.75,175.4499969482422,176.60000610351562,175.9794921875,1488000,43.515224181046904,67.03401712244356,63.42682486096095,,,,10,21,60,53,-60,-53,177.93333435058594,176.6098231580497,3.3824805938189835,26.08561292669407,,,,,0
2022-02-11,176.00999450683594,177.0,170.67999267578125,172.41000366210938,171.80419921875,1365400,39.95446681712717,51.06124519959227,61.0703443972484,,,,10,21,60,53,-60,-53,173.36333211263022,176.0195520588825,3.2504332033523125,-54.47930127206467,,,,,0
2022-02-14,172.83999633789062,174.60000610351562,170.57000732421875,171.77000427246094,171.1664581298828,1147300,39.423814860784354,23.31799774096342,47.137753354333064,,,,10,21,60,53,-60,-53,172.31333923339844,175.34569518152176,3.2107827933106785,-62.96192430998266,,,,,0
2022-02-15,174.7899932861328,176.8000030517578,171.27000427246094,173.4199981689453,172.81065368652344,1354200,41.57812096791372,17.284409633065007,30.55455085787355,,,,10,21,60,53,-60,-53,173.8300018310547,175.07011457234594,2.8524791474889652,-28.983273313506395,,,,,0
2022-02-16,171.89999389648438,175.69000244140625,171.75999450683594,175.1300048828125,174.5146484375,1181200,43.808488174981946,25.670813930000605,22.091073768009664,,,,10,21,60,53,-60,-53,174.1933339436849,174.9106999125894,2.464276751382697,-19.407072643172803,,,,,0
2022-02-17,173.1199951171875,174.85000610351562,172.27999877929688,172.6199951171875,172.01345825195312,1380400,41.31519723278576,32.72021999166906,25.225147851578214,,,,10,21,60,53,-60,-53,173.25,174.60875447393678,2.2632727009379856,-40.02329527424793,,,,,0
2022-02-18,172.5800018310547,172.7100067138672,167.9600067138672,168.58999633789062,167.99761962890625,1021000,37.61371934088824,26.598452554527853,28.32982882539916,-6.1496458632513225,-7.923740789217782,1.7740949259664598,10,21,60,53,-60,-53,169.75333658854166,173.72595122204677,2.5740621432229185,-102.88833789980185,,,,,0
2022-02-22,168.61000061035156,172.99000549316406,168.1300048828125,171.5800018310547,170.9771270751953,2111600,41.78126036560004,26.652806965584347,28.65715983726041,-5.802970035862643,-7.499586638546754,1.6966166026841112,10,21,60,53,-60,-53,170.9000040690104,173.21214264876744,2.526439677138212,-61.011776128533945,,,,,0
2022-02-23,173.33999633789062,173.33999633789062,161.42999267578125,161.8699951171875,161.30123901367188,1329200,33.86863343220095,17.054113129174624,23.43512421642893,-6.239814637893858,-7.247632238416175,1.0078176005223174,10,21,60,53,-60,-53,165.54666137695312,171.81841878116484,3.207406536606121,-130.35988905952863,,,,,0
2022-02-24,157.36000061035156,166.77999877929688,155.6699981689453,166.08999633789062,165.50640869140625,1886600,39.2530808495045,32.78771645232919,25.49821218236271,-6.174324531988759,-7.032970697130692,0.8586461651419324,10,21,60,53,-60,-53,162.84666442871094,170.1871907170823,3.9588828551088926,-123.61275570284515,,,,,0
2022-02-25,167.33999633789062,171.89999389648438,166.82000732421875,171.36000061035156,170.7578887939453,1746800,45.24841524241426,48.73585048821813,32.8592266899073,-5.632252746003701,-6.752827106905293,1.1205743609015926,10,21,60,53,-60,-53,170.02666727701822,170.15800463707066,3.262965492371356,-2.6833946065218157,,,,,0
2022-02-28,168.22000122070312,174.5399932861328,167.67999267578125,173.25999450683594,172.65121459960938,2443700,47.26901797211304,78.77957777719257,53.43438157257995,-4.991800947623432,-6.400621875048921,1.4088209274254897,10,21,60,53,-60,-53,171.82666015625,170.46139654964873,2.917928785867705,31.192527457914775,-24.243859627346716,-24.243859627346716,,,0
2022-03-01,171.5,171.60000610351562,162.8800048828125,164.27999877929688,163.70277404785156,1474700,39.794026035014504,75.87977897195661,67.79840241245576,-5.149488788153434,-6.150395257669824,1.0009064695163898,10,21,60,53,-60,-53,166.25333658854166,169.69629473853834,3.013388670254792,-76.17024169461178,-28.964439815279903,-28.964439815279903,,,0
2022-03-02,166.83999633789062,171.69000244140625,166.83999633789062,169.80999755859375,169.2133331298828,1521100,45.50874107078526,71.25950675904423,75.30628783606447,-4.773210255882248,-5.874958257312309,1.1017480014300611,10,21,60,53,-60,-53,169.44666544596353,169.65090759443382,2.5026347572030634,-5.440723298580627,-26.825920131943604,-26.825920131943604,,,0
2022-03-03,171.24000549316406,171.72000122070312,168.3000030517578,169.86000061035156,169.26316833496094,892300,45.55906062230606,60.14152367727235,69.09360313609106,-4.42002073210071,-5.583970752269989,1.1639500201692794,10,21,60,53,-60,-53,169.96000162760416,169.7071065095557,2.0935911864476804,8.052992697762832,-23.655109874697565,-23.655109874697565,-25.922332362316943,2.267222487619378,0
2022-03-04,166.50999450683594,167.25999450683594,161.99000549316406,164.88999938964844,164.3106231689453,1113400,41.46086275358286,52.6347062106882,61.34524554900158,-4.489402020452161,-5.365057005906424,0.875654985454263,10,21,60,53,-60,-53,164.7133331298828,168.79914771325153,2.455813622251505,-110.91543609955266,-31.587866804229847,-31.587866804229847,-27.758334156537725,-3.8295326476921225,0
2022-03-07,164.75,166.92999267578125,158.2100067138672,158.47000122070312,157.91319274902344,2029500,36.84965508229042,28.298268560853824,47.02483281627144,-5.004735909185257,-5.29299278656219,0.2882568773769334,10,21,60,53,-60,-53,161.20333353678384,167.4180905902574,3.1392578824736974,-131.97932518107132,-40.714363020306344,-40.714363020306344,-30.695814957794333,-10.01854806251201,0
2022-03-08,159.67999267578125,165.02999877929688,155.94000244140625,156.47999572753906,155.93017578125,1853600,35.53054139667649,9.484671668715993,30.13921548008599,-5.510200380904479,-5.3364343054306485,-0.17376607547383038,10,21,60,53,-60,-53,159.1499989827474,165.91480120707376,3.798447762810545,-118.72923970959043,-47.80662453751399,-47.80662453751399,-35.94099105918693,-11.865633478327062,0
2022-03-09,161.33999633789062,167.02000427246094,160.94000244140625,164.8000030517578,164.220947265625,1431100,44.47921226426003,20.49783373336956,19.426924654313108,-5.179720959596921,-5.305091636263903,0.1253706766669822,10,21,60,53,-60,-53,164.25333658854166,165.612716730977,3.3549809227423286,-27.012178285338045,-45.91622033277072,-45.91622033277072,-41.50626867370522,-4.409951659065499,0
2022-03-10,161.63999938964844,164.69000244140625,160.1699981689453,163.7899932861328,163.21449279785156,1039100,43.686459241940135,42.97176606344101,24.31809048850884,-4.942340756575646,-5.232541460326251,0.2902007037506049,10,21,60,53,-60,-53,162.88333129882812,165.11646483422268,3.1510086704972795,-47.24695632234135,-46.03719633182259,-46.03719633182259,-45.118601055603406,-0.918595276219186,0
2022-03-11,165.25999450683594,166.97999572753906,160.2100067138672,160.38999938964844,159.82644653320312,1021500,41.03507139982269,55.218569311303604,39.562723036038044,-4.971260728781942,-5.1802853140173895,0.2090245852354471,10,21,60,53,-60,-53,162.52666727701822,164.6455925510946,2.9633571438752995,-47.66947690742819,-46.18558547505946,-46.18558547505946,-46.48640666929169,0.30082119423222764,0
2022-03-14,163.0,163.4199981689453,156.52000427246094,157.61000061035156,157.05621337890625,1538400,38.95335104124386,41.526953775292036,46.57242971667887,-5.159032567134972,-5.176034764640906,0.017002197505934014,10,21,60,53,-60,-53,159.18333435058594,163.65245469645666,3.2371322715108306,-92.03867231916556,-50.354047915432744,-50.354047915432744,-47.12326251377138,-3.2307854016613646,0
2022-03-15,159.67999267578125,161.85000610351562,158.27999877929688,160.99000549316406,160.42433166503906,1736400,42.755740059841195,32.602014680079485,43.11584592222503,-4.977724842234096,-5.136372780159544,0.15864793792544774,10,21,60,53,-60,-53,160.3733367919922,163.05625144109948,3.136365431073823,-57.02810483595801,-50.960780362753226,-50.960780362753226,-48.384402521267006,-2.57637784148622,0
2022-03-16,163.8300018310547,169.64999389648438,163.57000732421875,169.3800048828125,168.78485107421875,2055000,50.92663847225472,51.86244863769565,41.99713903102238,-4.109660720790117,-4.931030368285659,0.8213696474955414,10,21,60,53,-60,-53,167.53333536783853,163.8702667005066,3.232129655848026,75.55531609948876,-39.45931704800395,-39.45931704800395,-46.739932700312345,7.280615652308391,0
2022-03-17,166.6699981689453,169.3300018310547,165.9600067138672,168.92999267578125,168.33642578125,884900,50.51018748577791,78.34384128249253,54.269434866755866,-3.41861817240445,-4.628547929109417,1.209929756704967,10,21,60,53,-60,-53,168.07333374023438,164.63446070772983,3.269719360694666,70.11555943390286,-29.49796464055788,-29.49796464055788,-42.56802749168695,13.07006285112907,0
2022-03-18,168.5,171.5,166.2899932861328,170.50999450683594,169.91087341308594,1494300,51.99450832822116,95.28374444880079,75.16334478966297,-2.7122044266345995,-4.245279228614454,1.5330748019798541,10,21,60,53,-60,-53,169.4333292643229,165.50698226347401,3.389106204359071,77.23466039116394,-19.794998728583167,-19.794998728583167,-34.92826519497456,15.13326646639139,0
2022-03-21,170.3699951171875,171.10000610351562,165.8000030517578,167.8300018310547,167.24029541015625,639700,49.293874917623256,86.715519654687,86.7810351286601,-2.3416266406762816,-3.8645487110268193,1.5229220703505377,10,21,60,53,-60,-53,168.24333699544272,166.00450130565014,3.1799661108015274,46.936258894664135,-13.728520762833412,-13.728520762833412,-25.620200294994603,11.891679532161191,0
2022-03-22,169.4499969482422,174.2100067138672,168.57000732421875,170.52999877929688,169.93081665039062,1557500,51.99891417060469,77.01455171923416,86.33793860757396,-1.8092183436619678,-3.453482637553849,1.6442642938918812,10,21,60,53,-60,-53,171.10333760579428,166.9315624511309,3.3602950278673185,82.76604921227376,-4.956287128732759,-4.956287128732759,-16.994442815176804,12.038155686444044,0
2022-03-23,168.30999755859375,169.25999450683594,163.52999877929688,164.6300048828125,164.05154418945312,1090600,46.199034065031604,49.31739347559331,71.0158216165048,-1.8421262469325654,-3.1312113594295923,1.2890851124970268,10,21,60,53,-60,-53,165.8066660563151,166.72703583389168,2.9166722550871844,-21.03698317997612,-6.418168587936701,-6.418168587936701,-11.224493802021508,4.806325214084807,0
2022-03-24,164.3300018310547,167.08999633789062,163.89999389648438,166.2100067138672,165.62599182128906,888800,47.87573421416069,33.60227361740269,53.31140627074336,-1.720875868420194,-2.8491442612277127,1.1282683928075188,10,21,60,53,-60,-53,165.73333231608072,166.54636246701696,2.534191872514286,-21.38828186227269,-7.7790879765127,-7.7790879765127,-8.22051611400389,0.44142813749119103,0
2022-03-25,166.4199981689453,167.6699981689453,164.25,166.74000549316406,166.1541290283203,727700,48.45602437296426,21.8165279613292,34.91206501810837,-1.563988907209648,-2.5921131904241,1.028124283214452,10,21,60,53,-60,-53,166.22000122070312,166.48702405859626,2.121979320764986,-8.389112161466105,-7.834544720599373,-7.834544720599373,-6.7470221034453814,-1.0875226171539918,0
2022-03-28,166.02000427246094,166.8800048828125,162.8000030517578,166.82000732421875,166.23385620117188,724700,48.54913680306646,30.127395821948284,28.515399133560027,-1.4168666244994768,-2.357063877239175,0.9401972527396985,10,21,60,53,-60,-53,165.50000508626303,166.30756606362658,1.8829941674192705,-28.591378254076055,-9.721529587279072,-9.721529587279072,-7.938332718081959,-1.7831968691971127,0
2022-03-29,171.5399932861328,173.99000549316406,168.1999969482422,169.33999633789062,168.74497985839844,1237400,51.519955585555046,41.24448877354602,31.062804185607803,-1.0844284859635707,-2.102536798984054,1.0181083130204835,10,21,60,53,-60,-53,170.50999959309897,167.07164488716703,2.1657869926033926,105.83850020568751,0.7839276666269814,0.7839276666269814,-6.137808654441038,6.921736321068019,0
2022-03-30,169.1199951171875,169.41000366210938,164.97000122070312,166.02000427246094,165.43666076660156,721800,47.618868469401306,40.81764774154922,37.39651077901448,-1.076455767418821,-1.8973205926710075,0.8208648252521864,10,21,60,53,-60,-53,166.8000030517578,167.02225546254718,1.812417068637206,-8.175175373457957,-0.030536246108012977,-0.030536246108012977,-4.200670721839867,4.170134475731854,0
2022-03-31,166.38999938964844,167.35000610351562,162.10000610351562,162.10000610351562,161.53042602539062,1163300,43.43670904332054,29.073554892538525,37.045230469211226,-1.3706484399572503,-1.791986162128256,0.42133772217100574,10,21,60,53,-60,-53,163.85000610351562,166.44548285181418,1.95479155584836,-88.51674374294572,-8.074736927638714,-8.074736927638714,-4.260718773599702,-3.8140181540390117,0
2022-04-01,165.08999633789062,165.08999633789062,161.05999755859375,161.92999267578125,161.36102294921875,929100,43.25925634603338,11.834731201324045,27.241977945137233,-1.5990836740450334,-1.7534056645116114,0.15432199046657802,10,21,60,53,-60,-53,162.69332885742188,165.76327303465195,2.1575465779177616,-94.85910860204494,-15.964225261675644,-15.964225261675644,-5.821392692198845,-10.142832569476798,0
2022-04-04,161.82000732421875,162.72000122070312,160.92999267578125,161.32000732421875,160.753173828125,1204600,42.58701722863644,3.2382743600986204,14.715520151320364,-1.808493772397469,-1.764423286088783,-0.04407048630868604,10,21,60,53,-60,-53,161.65666707356772,165.01661740536392,2.3761654422592957,-94.2681367225986,-23.082762667214094,-23.082762667214094,-11.788065275659115,-11.29469739155498,0
2022-04-05,161.8800048828125,164.5,159.63999938964844,159.82000732421875,159.25845336914062,1343100,40.90370784146504,3.852426034790334,6.308477198737634,-2.0716100172901406,-1.8258606323290545,-0.24574938496108611,10,21,60,53,-60,-53,161.32000223795572,164.34450555674425,2.4940450561737024,-80.84599517830804,-28.33396562276809,-28.33396562276809,-18.863922619824134,-9.470043002943957,0
2022-04-06,158.1699981689453,158.89999389648438,156.02000427246094,156.5,155.95010375976562,2131500,37.38178954909819,3.0217611595519513,3.3708205181469366,-2.5189910211489916,-1.9644867100930419,-0.5545043110559498,10,21,60,53,-60,-53,157.13999938964844,163.034595344545,3.112327037759679,-126.26342247845591,-37.23664351873971,-37.23664351873971,-26.154399267599384,-11.082244251140327,0
2022-04-07,157.25999450683594,157.86000061035156,153.83999633789062,156.91000366210938,156.35867309570312,1677200,38.0907233858988,11.12263692735307,5.998941373898421,-2.808089908435363,-2.133207349761506,-0.6748825586738572,10,21,60,53,-60,-53,156.20333353678384,161.7925477431339,3.5626701593215646,-104.5884866575168,-43.35953834953763,-43.35953834953763,-33.003227539564875,-10.356310809972754,0
