Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,72.2699966430664,72.69000244140625,71.61000061035156,72.58000183105469,70.78202056884766,6622500,,,,,,,10,21,60,53,-60,-53,72.2933349609375,,,,,,,,0
2022-01-04,72.61000061035156,73.4000015258789,72.18000030517578,72.20999908447266,70.42118072509766,6784100,,,,,,,10,21,60,53,-60,-53,72.59666697184245,,,,,,,,0
2022-01-05,72.44000244140625,73.05000305175781,71.97000122070312,72.18000030517578,70.39192962646484,7799500,,,,,,,10,21,60,53,-60,-53,72.4000015258789,,,,,,,,0
2022-01-06,71.68000030517578,72.08999633789062,71.33999633789062,71.58999633789062,69.81653594970703,7368200,,,,,,,10,21,60,53,-60,-53,71.67332967122395,,,,,,,,0
2022-01-07,71.37999725341797,71.75,70.83000183105469,71.26000213623047,69.49472045898438,7119600,,,,,,,10,21,60,53,-60,-53,71.28000132242839,,,,,,,,0
2022-01-10,71.98999786376953,72.25,71.41999816894531,72.08999633789062,70.30415344238281,10362300,,,,,,,10,21,60,53,-60,-53,71.91999816894531,,,,,,,,0
2022-01-11,72.1500015258789,72.56999969482422,71.47000122070312,72.37000274658203,70.57721710205078,8932000,,,,,,,10,21,60,53,-60,-53,72.1366678873698,,,,,,,,0
2022-01-12,71.95999908447266,72.5199966430664,71.66000366210938,72.25,70.46019744873047,7206200,,,,,,,10,21,60,53,-60,-53,72.1433334350586,,,,,,,,0
2022-01-13,71.98999786376953,72.45999908447266,71.44999694824219,71.87999725341797,70.09935760498047,6711300,,70.44106713924465,60.717414105575266,,,,10,21,60,53,-60,-53,71.92999776204427,,,,,,,,0
2022-01-14,72.06999969482422,72.13999938964844,71.16000366210938,71.7699966430664,69.99208068847656,8344800,,61.73862140691195,66.2827397667064,,,,10,21,60,53,-60,-53,71.68999989827473,72.0063331604004,,,,,,,0
2022-01-18,71.41999816894531,71.5199966430664,70.06999969482422,70.43000030517578,68.6852798461914,8986600,,39.335566090800555,57.1717515456524,,,,10,21,60,53,-60,-53,70.67333221435547,71.7639693520286,,,,,,,0
2022-01-19,70.27999877929688,70.6500015258789,69.01000213623047,69.06999969482422,67.35897064208984,8217700,,19.790464837103304,40.28821744493862,,,,10,21,60,53,-60,-53,69.57666778564453,71.36627815814059,,,,,,,0
2022-01-20,69.06999969482422,69.30999755859375,67.7699966430664,67.80999755859375,66.13018035888672,8639700,,5.654085594841143,21.593372174248344,,,,10,21,60,53,-60,-53,68.29666392008464,70.80816647849406,,,,,,,0
