Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,69.30000305175781,70.11000061035156,69.18000030517578,69.51000213623047,68.35860443115234,1048300,,,,,,,10,21,60,53,-60,-53,69.60000101725261,,,,,,,,0
2022-01-04,70.0,71.16000366210938,69.9800033569336,70.83000183105469,69.65673828125,1573400,,,,,,,10,21,60,53,-60,-53,70.65666961669922,,,,,,,,0
2022-01-05,71.16000366210938,71.8499984741211,70.27999877929688,70.36000061035156,69.19452667236328,1360100,,,,,,,10,21,60,53,-60,-53,70.82999928792317,,,,,,,,0
2022-01-06,71.16000366210938,71.69999694824219,70.33999633789062,71.5,70.31563568115234,1835700,,,,,,,10,21,60,53,-60,-53,71.17999776204427,,,,,,,,0
2022-01-07,71.69000244140625,72.08000183105469,71.25,72.05999755859375,70.8663558959961,1575500,,,,,,,10,21,60,53,-60,-53,71.79666646321614,,,,,,,,0
2022-01-10,72.44999694824219,72.77999877929688,71.31999969482422,71.83999633789062,70.6500015258789,1409100,,,,,,,10,21,60,53,-60,-53,71.97999827067058,,,,,,,,0
2022-01-11,72.06999969482422,72.44000244140625,70.93000030517578,72.4000015258789,71.20073699951172,1325100,,,,,,,10,21,60,53,-60,-53,71.92333475748698,,,,,,,,0
2022-01-12,72.5199966430664,73.11000061035156,72.19000244140625,72.31999969482422,71.12206268310547,1122600,,,,,,,10,21,60,53,-60,-53,72.54000091552734,,,,,,,,0
2022-01-13,72.66999816894531,73.37999725341797,72.13999938964844,72.41000366210938,71.2105712890625,2483400,,72.22954691127835,76.65956359636631,,,,10,21,60,53,-60,-53,72.6433334350586,,,,,,,,0
2022-01-14,71.81999969482422,72.62999725341797,71.62999725341797,72.44999694824219,71.2499008178711,1894700,,64.64309581943687,70.36962474974452,,,,10,21,60,53,-60,-53,72.23666381835938,71.53866653442383,,,,,,,0
2022-01-18,72.31999969482422,72.69000244140625,71.06999969482422,71.31999969482422,70.13862609863281,1867400,,46.12249812638444,60.99838028569988,,,,10,21,60,53,-60,-53,71.69333394368489,71.5667878815622,,,,,,,0
2022-01-19,71.58000183105469,71.87999725341797,70.37000274658203,70.45999908447266,69.2928695678711,1589500,,26.983011954961963,45.91620196692775,,,,10,21,60,53,-60,-53,70.90333302815755,71.44615972639772,,,,,,,0
