Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,192.8800048828125,193.47000122070312,190.92999267578125,193.2100067138672,190.65567016601562,798600,,,,,,,10,21,60,53,-60,-53,192.5366668701172,,,,,,,,0
2022-01-04,193.3800048828125,196.17999267578125,193.08999633789062,194.86000061035156,192.28384399414062,721600,,,,,,,10,21,60,53,-60,-53,194.70999654134116,,,,,,,,0
2022-01-05,195.6999969482422,198.1699981689453,195.69000244140625,197.0,194.39553833007812,963400,,,,,,,10,21,60,53,-60,-53,196.95333353678384,,,,,,,,0
2022-01-06,197.5800018310547,198.63999938964844,196.13999938964844,196.57000732421875,193.97122192382812,710600,,,,,,,10,21,60,53,-60,-53,197.11666870117188,,,,,,,,0
2022-01-07,196.4499969482422,197.1999969482422,195.32000732421875,195.85000610351562,193.2607421875,998300,,,,,,,10,21,60,53,-60,-53,196.1233367919922,,,,,,,,0
2022-01-10,196.2100067138672,197.69000244140625,193.44000244140625,194.63999938964844,192.06674194335938,846200,,,,,,,10,21,60,53,-60,-53,195.2566680908203,,,,,,,,0
2022-01-11,194.1699981689453,194.39999389648438,191.8699951171875,194.02999877929688,191.46481323242188,725900,,,,,,,10,21,60,53,-60,-53,193.4333292643229,,,,,,,,0
2022-01-12,194.0,196.25,193.0800018310547,195.83999633789062,193.25086975097656,784700,,,,,,,10,21,60,53,-60,-53,195.0566660563151,,,,,,,,0
2022-01-13,195.83999633789062,197.3000030517578,195.25,196.74000549316406,194.13897705078125,708500,,58.07453090249382,46.26054655752375,,,,10,21,60,53,-60,-53,196.43000284830728,,,,,,,,0
2022-01-14,196.6999969482422,199.91000366210938,195.42999267578125,199.52999877929688,196.89210510253906,765900,,79.19722319798376,58.92108596048603,,,,10,21,60,53,-60,-53,198.28999837239584,195.59066670735677,,,,,,,0
2022-01-18,198.1300048828125,199.05999755859375,195.36000061035156,198.32000732421875,195.69810485839844,1424300,,86.39152407288209,74.55442605778656,,,,10,21,60,53,-60,-53,197.5800018310547,195.95236400257457,,,,,,,0
2022-01-19,199.14999389648438,201.44000244140625,198.86000061035156,199.63999938964844,197.0006561279297,1389400,,84.65546262846895,83.4147366331116,,,,10,21,60,53,-60,-53,199.9800008138021,196.68466160461594,,,,,,,0
2022-01-20,199.63999938964844,200.49000549316406,198.35000610351562,199.16000366210938,196.52699279785156,884500,,73.95308113873037,81.66668928002714,,,,10,21,60,53,-60,-53,199.33333841959634,197.16623920733966,,,,,,,0
2022-01-21,201.02999877929688,202.88999938964844,199.9499969482422,200.35000610351562,197.70127868652344,1011400,,69.3012134126604,75.96991905995323,,,,10,21,60,53,-60,-53,201.0633341471354,197.87480192366615,,,,,,,0
2022-01-24,200.1199951171875,202.0,195.91000366210938,199.9199981689453,197.27694702148438,1879100,69.86381811578622,63.33084065593917,68.86171173577664,,,,10,21,60,53,-60,-53,199.27666727701822,198.12968653336654,,,,,,,0
2022-01-25,198.44000244140625,198.9600067138672,194.27999877929688,194.77000427246094,192.1950225830078,1552400,52.59368284349992,44.17240353714496,58.93481920191483,,,,10,21,60,53,-60,-53,196.00333658854166,197.74307745248927,,,,,,,0
2022-01-26,194.47999572753906,195.89999389648438,192.9199981689453,194.1300048828125,191.56349182128906,1251600,50.909460418155625,26.128447236136115,44.5438971430734,,,,10,21,60,53,-60,-53,194.31666564941406,197.12009348829378,,,,,,,0
2022-01-27,195.6699981689453,197.72000122070312,192.25,194.3699951171875,191.80030822753906,1182000,51.53619272871445,12.584120890435274,27.628323887905438,,,,10,21,60,53,-60,-53,194.77999877929688,196.6946217230216,,,,,,,0
