Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,35.650001525878906,35.689998626708984,35.040000915527344,35.36000061035156,34.653770446777344,2834500,,,,,,,10,21,60,53,-60,-53,35.36333338419596,,,,,,,,0
2022-01-04,35.36000061035156,35.58000183105469,34.90999984741211,34.97999954223633,34.28135681152344,2722300,,,,,,,10,21,60,53,-60,-53,35.15666707356771,,,,,,,,0
2022-01-05,34.880001068115234,35.11000061035156,34.2400016784668,34.2599983215332,33.57573699951172,2484000,,,,,,,10,21,60,53,-60,-53,34.53666687011719,,,,,,,,0
2022-01-06,34.209999084472656,34.95000076293945,34.18000030517578,34.439998626708984,33.75214385986328,3091900,,,,,,,10,21,60,53,-60,-53,34.52333323160807,,,,,,,,0
2022-01-07,34.459999084472656,34.59000015258789,33.97999954223633,34.2400016784668,33.5561408996582,2066700,,,,,,,10,21,60,53,-60,-53,34.27000045776367,,,,,,,,0
2022-01-10,34.13999938964844,34.54999923706055,33.849998474121094,34.5099983215332,33.820743560791016,3897000,,,,,,,10,21,60,53,-60,-53,34.303332010904946,,,,,,,,0
2022-01-11,35.66999816894531,36.029998779296875,34.81999969482422,35.36000061035156,34.653770446777344,4985200,,,,,,,10,21,60,53,-60,-53,35.403333028157554,,,,,,,,0
2022-01-12,35.400001525878906,35.599998474121094,34.68000030517578,34.880001068115234,34.18335723876953,2940100,,,,,,,10,21,60,53,-60,-53,35.0533332824707,,,,,,,,0
2022-01-13,34.91999816894531,35.09000015258789,34.599998474121094,34.869998931884766,34.17355728149414,4729400,,54.43432247136352,48.95425518488245,,,,10,21,60,53,-60,-53,34.85333251953125,,,,,,,,0
2022-01-14,34.540000915527344,34.84000015258789,34.2400016784668,34.63999938964844,33.94814682006836,3074400,,43.42513103541601,49.80472542555588,,,,10,21,60,53,-60,-53,34.573333740234375,34.80366655985514,,,,,,,0
2022-01-18,34.290000915527344,34.36000061035156,33.88999938964844,34.04999923706055,33.36993408203125,4009100,,30.16806827466776,42.67584059381576,,,,10,21,60,53,-60,-53,34.09999974568685,34.67572713909727,,,,,,,0
2022-01-19,34.27000045776367,34.52000045776367,33.560001373291016,33.56999969482422,32.89952087402344,3475300,,14.735104682367249,29.442767997483667,,,,10,21,60,53,-60,-53,33.88333384195963,34.53165563052679,,,,,,,0
2022-01-20,33.75,33.9900016784668,33.279998779296875,33.310001373291016,32.64471435546875,4510400,,3.2081152112691136,16.037096056101365,,,,10,21,60,53,-60,-53,33.52666727701823,34.348930475343415,,,,,,,0
2022-01-21,33.2400016784668,33.529998779296875,32.54999923706055,32.869998931884766,32.213497161865234,6082100,,5.373831777067632,7.772350556901324,,,,10,21,60,53,-60,-53,32.98333231608073,34.100639900932016,,,,,,,0
2022-01-24,32.529998779296875,32.619998931884766,31.399999618530273,32.290000915527344,31.645084381103516,6438600,22.927683542839,14.71901858570106,7.7669885246792605,,,,10,21,60,53,-60,-53,32.103333155314125,33.73749321991058,,,,,,,0
2022-01-25,31.93000030517578,31.950000762939453,30.809999465942383,31.520000457763672,30.890464782714844,5682100,20.00235952325891,20.545647687159,13.546166016642557,,,,10,21,60,53,-60,-53,31.426666895548504,33.31734297911748,,,,,,,0
