Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,354.67999267578125,356.5899963378906,353.0299987792969,354.3599853515625,347.4461975097656,1205700,,,,,,,10,21,60,53,-60,-53,354.6599934895833,,,,,,,,0
2022-01-04,355.5299987792969,363.5400085449219,355.2099914550781,361.989990234375,354.9273376464844,1361100,,,,,,,10,21,60,53,-60,-53,360.2466634114583,,,,,,,,0
2022-01-05,363.0,364.0,357.8699951171875,358.1400146484375,351.1524658203125,1682200,,,,,,,10,21,60,53,-60,-53,360.0033365885417,,,,,,,,0
2022-01-06,360.0,361.239990234375,357.54998779296875,358.0,351.01519775390625,1368800,,,,,,,10,21,60,53,-60,-53,358.92999267578125,,,,,,,,0
2022-01-07,359.0799865722656,362.989990234375,358.1499938964844,360.1400146484375,353.11346435546875,1634600,,,,,,,10,21,60,53,-60,-53,360.4266662597656,,,,,,,,0
2022-01-10,363.0,369.4599914550781,361.4100036621094,363.25,356.1627502441406,2389900,,,,,,,10,21,60,53,-60,-53,364.7066650390625,,,,,,,,0
2022-01-11,364.010009765625,365.0400085449219,361.2699890136719,364.1400146484375,357.0354309082031,1128000,,,,,,,10,21,60,53,-60,-53,363.48333740234375,,,,,,,,0
2022-01-12,363.3800048828125,366.1600036621094,359.45001220703125,361.29998779296875,354.25079345703125,1477100,,,,,,,10,21,60,53,-60,-53,362.30333455403644,,,,,,,,0
2022-01-13,362.05999755859375,367.3599853515625,360.1199951171875,365.17999267578125,358.0550842285156,1244000,,49.658461477016566,52.08674836494029,,,,10,21,60,53,-60,-53,364.21999104817706,,,,,,,,0
2022-01-14,365.17999267578125,372.989990234375,363.9700012207031,372.6199951171875,365.3499450683594,2165000,,63.636969831865805,53.680600609141855,,,,10,21,60,53,-60,-53,369.85999552408856,361.8839975992838,,,,,,,0
2022-01-18,370.45001220703125,377.3599853515625,368.8599853515625,376.5400085449219,369.1934509277344,2471600,,84.948815973737,66.08141576087313,,,,10,21,60,53,-60,-53,374.2533264160156,364.13296647505325,,,,,,,0
2022-01-19,375.5,381.45001220703125,374.17999267578125,377.3299865722656,369.968017578125,3336700,,91.32055773363773,79.96878117974684,,,,10,21,60,53,-60,-53,377.65333048502606,366.59121447686647,,,,,,,0
