Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,298.1499938964844,307.1099853515625,297.8500061035156,301.2099914550781,301.0055847167969,39154700,,,,,,,10,21,60,53,-60,-53,302.05666097005206,,,,,,,,0
2022-01-04,302.7699890136719,304.67999267578125,283.489990234375,292.8999938964844,292.7012023925781,52715400,,,,,,,10,21,60,53,-60,-53,293.6899922688802,,,,,,,,0
2022-01-05,289.489990234375,294.1600036621094,275.3299865722656,276.0400085449219,275.8526611328125,49806400,,,,,,,10,21,60,53,-60,-53,281.8433329264323,,,,,,,,0
2022-01-06,276.3999938964844,284.3800048828125,270.6499938964844,281.7799987792969,281.5887756347656,45418600,,,,,,,10,21,60,53,-60,-53,278.93666585286456,,,,,,,,0
2022-01-07,281.4100036621094,284.2200012207031,270.57000732421875,272.4700012207031,272.28509521484375,40993900,,,,,,,10,21,60,53,-60,-53,275.7533365885417,,,,,,,,0
2022-01-10,265.80999755859375,274.69000244140625,256.44000244140625,274.0,273.8140563964844,59468100,,,,,,,10,21,60,53,-60,-53,268.3766682942708,,,,,,,,0
2022-01-11,273.2300109863281,280.6499938964844,268.3900146484375,278.1700134277344,277.9812316894531,40408900,,,,,,,10,21,60,53,-60,-53,275.73667399088544,,,,,,,,0
2022-01-12,280.6700134277344,285.95001220703125,276.0799865722656,279.989990234375,279.79998779296875,38341300,,,,,,,10,21,60,53,-60,-53,280.67332967122394,,,,,,,,0
2022-01-13,283.7900085449219,284.79998779296875,264.9800109863281,265.75,265.5696716308594,54017100,,56.32024015499288,49.10933116378882,,,,10,21,60,53,-60,-53,271.8433329264323,,,,,,,,0
2022-01-14,263.0,271.9700012207031,262.1000061035156,269.4200134277344,269.2371826171875,39583200,,51.77903667485708,55.345696787995706,,,,10,21,60,53,-60,-53,267.8300069173177,279.6740000406901,,,,,,,0
2022-01-18,262.6000061035156,266.3800048828125,257.70001220703125,259.0299987792969,258.8542175292969,42427000,,26.747212804618894,44.94882987815629,,,,10,21,60,53,-60,-53,261.0366719563802,276.2853949344519,,,,,,,0
2022-01-19,260.7900085449219,265.42999267578125,250.52000427246094,250.6699981689453,250.49989318847656,48831500,,16.37212741567033,31.632792298382103,,,,10,21,60,53,-60,-53,255.53999837239584,272.51350465044175,,,,,,,0
2022-01-20,253.0399932861328,255.7899932861328,240.77999877929688,241.5,241.3361053466797,43518100,,2.2556310425047115,15.124990420931313,,,,10,21,60,53,-60,-53,246.02333068847656,267.69710938462987,,,,,,,0
2022-01-21,235.07000732421875,248.22999572753906,232.6300048828125,233.74000549316406,233.58139038085938,71895800,,1.626844513403829,6.751534323859626,,,,10,21,60,53,-60,-53,238.20000203450522,262.3339989573345,,,,,,,0
2022-01-24,223.3000030517578,233.8000030517578,208.8800048828125,233.72000122070312,233.5614013671875,91398200,16.70448619045382,15.885724822567985,6.589400126158843,,,,10,21,60,53,-60,-53,225.46666971842447,255.63084818662355,,,,,,,0
2022-01-25,225.4600067138672,229.42999267578125,220.0,223.24000549316406,223.08851623535156,66461600,15.030695259790052,23.8050049307287,13.77252475556684,,,,10,21,60,53,-60,-53,224.22333272298178,249.92039082959778,,,,,,,0
2022-01-26,232.39999389648438,240.57000732421875,223.0,227.72000122070312,227.56546020507812,75595900,18.77737265258257,36.25182393181805,25.314184561704916,,,,10,21,60,53,-60,-53,230.43000284830728,246.3766839239086,,,,,,,0
2022-01-27,235.67999267578125,239.9499969482422,216.75,219.44000244140625,219.2910919189453,57335300,17.262342358137932,30.797188202607916,30.28467235505156,,,,10,21,60,53,-60,-53,225.37999979654947,242.55910499166148,,,,,,,0
2022-01-28,220.1199951171875,228.5800018310547,212.9600067138672,228.39999389648438,228.2449951171875,54377400,24.373233495697075,42.864926574501546,36.63797956964251,,,,10,21,60,53,-60,-53,223.3133341471354,239.05987392902037,19.460756062588594,-53.94288461435524,,,,,0
2022-01-31,231.82000732421875,245.08999633789062,230.52000427246094,244.86000061035156,244.69383239746094,56468000,35.36344619485292,62.57231213717059,45.41147563809336,,,,10,21,60,53,-60,-53,240.15666707356772,239.25929086439263,16.085596089240685,3.7191708830541,,,,,0
2022-02-01,251.0399932861328,251.4499969482422,238.89999389648438,246.3800048828125,246.21279907226562,51892500,36.28427036498326,82.56953823583028,62.66892564916748,,,,10,21,60,53,-60,-53,245.57666524251303,240.40790438768724,14.100716955710704,24.437343013883538,,,,,0
2022-02-02,257.94000244140625,258.1700134277344,245.52999877929688,252.4199981689453,252.2487030029297,54341900,39.94544782794372,91.13115964134805,78.75767000478298,,,,10,21,60,53,-60,-53,252.04000345865884,242.52283149150026,13.267345139610319,47.8225390586727,,,,,0
2022-02-03,244.5800018310547,250.77000427246094,237.8000030517578,239.47999572753906,239.3174591064453,41017800,35.26962974801236,77.58962110828695,83.76343966182175,,,,10,21,60,53,-60,-53,242.68333435058594,242.55201382951583,10.878977027148462,0.8047357194363554,,,,,0
2022-02-04,239.72000122070312,246.35000610351562,236.32000732421875,243.19000244140625,243.02496337890625,35482900,37.52752627331031,63.92128720025152,77.5473559832955,,,,10,21,60,53,-60,-53,241.95333862304688,242.44316379197602,8.990040325654041,-3.6323542586075375,,,,,0
2022-02-07,243.72000122070312,251.82000732421875,242.02000427246094,247.27999877929688,247.1121826171875,37686800,40.011773829454064,51.54748284589832,64.35279705147892,,,,10,21,60,53,-60,-53,247.04000345865884,243.27895282228198,8.039314927603645,31.188815384115138,,,,,0
2022-02-08,243.58999633789062,252.3000030517578,239.8000030517578,251.0800018310547,250.9096221923828,41035900,42.307251676338794,54.51144545572111,56.66007183395697,,,,10,21,60,53,-60,-53,247.72666931152344,244.0876285475986,7.239265079662044,33.512064405067335,,,,,0
2022-02-09,256.2200012207031,267.25,253.52999877929688,267.04998779296875,266.8687438964844,52428200,50.82386200395425,72.35497077629027,59.471299692636556,,,,10,21,60,53,-60,-53,262.60999552408856,247.45533163423315,8.678428499697201,116.41634496678881,,,,,0
2022-02-10,259.95001220703125,269.25,256.0,258.239990234375,258.0647277832031,51320000,46.72597604786354,77.82339571182345,68.2299373146116,,,,10,21,60,53,-60,-53,261.163330078125,249.94769498766803,9.13973878892625,81.80857498207635,,,,,0
2022-02-11,259.1600036621094,261.5199890136719,237.72999572753906,239.49000549316406,239.3274688720703,60547200,39.43785886155695,57.16751010062248,69.11529219624539,,,,10,21,60,53,-60,-53,246.24666341145834,249.2747801556299,8.028534780789036,-25.144619176900168,,,,,0
2022-02-14,239.33999633789062,248.75,237.5500030517578,242.6699981689453,242.50531005859375,44042400,41.11538272230671,29.43353234495477,54.808146052466874,,,,10,21,60,53,-60,-53,242.99000040690103,248.1320929285883,7.503727097315986,-45.684786195796306,,,,,0
2022-02-15,249.49000549316406,265.45001220703125,247.83999633789062,264.95001220703125,264.77020263671875,69986900,51.294682177607974,36.05685357102825,40.88596533886848,,,,10,21,60,53,-60,-53,259.41334025065106,250.183228805327,7.817615160590183,78.71208167468174,,,,,0
2022-02-16,262.5899963378906,265.82000732421875,255.52000427246094,265.1099853515625,264.9300842285156,73267600,51.35969942647406,63.175596589026554,42.88866083500317,,,,10,21,60,53,-60,-53,262.1499989827474,252.3590052012216,8.176411273487563,79.83122386283392,,,,,0
2022-02-17,256.29998779296875,257.8500061035156,241.64999389648438,245.07000732421875,244.90370178222656,81059500,43.52188851126728,66.65867728909076,55.2970424830485,,,,10,21,60,53,-60,-53,248.19000244140625,251.601004699437,7.309973270677233,-31.10820547696965,,,,,0
