Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,29.209999084472656,31.110000610351562,29.149999618530273,31.059999465942383,30.865461349487305,15094100,,,,,,,10,21,60,53,-60,-53,30.43999989827474,,,,,,,,0
2022-01-04,31.610000610351562,33.720001220703125,31.40999984741211,33.380001068115234,33.170936584472656,26692400,,,,,,,10,21,60,53,-60,-53,32.83666737874349,,,,,,,,0
2022-01-05,33.189998626708984,33.81999969482422,31.770000457763672,31.809999465942383,31.61076545715332,21157300,,,,,,,10,21,60,53,-60,-53,32.46666653951009,,,,,,,,0
2022-01-06,33.22999954223633,33.47999954223633,31.920000076293945,32.7599983215332,32.554813385009766,18528200,,,,,,,10,21,60,53,-60,-53,32.71999931335449,,,,,,,,0
2022-01-07,33.029998779296875,33.41999816894531,32.689998626708984,33.209999084472656,33.00199890136719,14884500,,,,,,,10,21,60,53,-60,-53,33.10666529337565,,,,,,,,0
2022-01-10,33.09000015258789,33.31999969482422,31.93000030517578,32.380001068115234,32.17719650268555,17609700,,,,,,,10,21,60,53,-60,-53,32.54333368937174,,,,,,,,0
2022-01-11,33.02000045776367,34.86000061035156,32.66999816894531,34.70000076293945,34.482666015625,20876100,,,,,,,10,21,60,53,-60,-53,34.076666514078774,,,,,,,,0
2022-01-12,34.91999816894531,35.41999816894531,34.119998931884766,34.75,34.5323486328125,15501800,,,,,,,10,21,60,53,-60,-53,34.76333236694336,,,,,,,,0
2022-01-13,34.7400016784668,35.2400016784668,34.02000045776367,34.150001525878906,33.93611145019531,13529500,,79.7631951688835,75.24741265933392,,,,10,21,60,53,-60,-53,34.470001220703125,,,,,,,,0
2022-01-14,34.27000045776367,35.619998931884766,34.13999938964844,35.5099983215332,35.28759002685547,19566000,,80.49550879330326,77.4115915721534,,,,10,21,60,53,-60,-53,35.08999888102213,33.25133310953776,,,,,,,0
2022-01-18,36.09000015258789,36.93000030517578,34.959999084472656,36.029998779296875,35.8043327331543,24397200,,79.83418528369437,80.03096308196037,,,,10,21,60,53,-60,-53,35.97333272298177,33.74624213016394,,,,,,,0
2022-01-19,36.66999816894531,37.0,35.54999923706055,35.83000183105469,35.6055908203125,18393300,,78.87682573300118,79.73550660333292,,,,10,21,60,53,-60,-53,36.12666702270508,34.179046656080516,,,,,,,0
2022-01-20,35.099998474121094,36.41999816894531,34.84000015258789,34.95000076293945,34.731101989746094,16099300,,56.93986446181461,71.88362515950338,,,,10,21,60,53,-60,-53,35.403333028157554,34.40164417827634,,,,,,,0
2022-01-21,34.68000030517578,34.68000030517578,33.099998474121094,33.75,33.538612365722656,18434100,,36.204359481396644,57.3403498920708,,,,10,21,60,53,-60,-53,33.84333292643229,34.300133041577425,,,,,,,0
2022-01-24,32.599998474121094,34.189998626708984,31.3700008392334,34.0099983215332,33.7969856262207,23734700,60.91784038320929,31.588794044144084,41.57767266245176,,,,10,21,60,53,-60,-53,33.18999926249186,34.09829053628914,,,,,,,0
2022-01-25,33.75,37.11000061035156,33.220001220703125,36.77000045776367,36.53969955444336,28095600,67.96565988056436,52.54498852139084,40.11271401564384,,,,10,21,60,53,-60,-53,35.70000076293945,34.38951057749829,,,,,,,0
2022-01-26,37.349998474121094,38.279998779296875,36.369998931884766,37.060001373291016,36.827884674072266,25911600,68.60626996655736,74.4375756447954,52.85711940344343,,,,10,21,60,53,-60,-53,37.23666636149088,34.907175265496946,,,,,,,0
2022-01-27,38.040000915527344,38.93000030517578,36.38999938964844,37.2599983215332,37.02663040161133,21095800,69.06570790545302,84.77704596992221,70.58653671203614,,,,10,21,60,53,-60,-53,37.526666005452476,35.383446309125226,,,,,,,0
2022-01-28,37.650001525878906,38.43000030517578,36.619998931884766,37.56999969482422,37.33469009399414,16658200,69.8033863784487,80.75501947278336,79.9898803625003,,,,10,21,60,53,-60,-53,37.539999643961586,35.77554691545911,1.592781067601522,73.85207188411505,,,,,0
2022-01-31,37.689998626708984,38.130001068115234,36.5099983215332,37.66999816894531,37.434059143066406,16469300,70.05148064205777,79.28466897153429,81.60557813807993,,,,10,21,60,53,-60,-53,37.436665852864586,36.07756854044192,1.5502931121144565,58.444746214001604,,,,,0
2022-02-01,37.25,39.54999923706055,37.18000030517578,39.290000915527344,39.04391860961914,20514800,73.80609842722772,83.92264491379228,81.32077778603663,,,,10,21,60,53,-60,-53,38.673333485921226,36.549525803256344,1.6545684885781702,85.57347720673468,,,,,0
2022-02-02,39.09000015258789,39.779998779296875,38.61000061035156,39.619998931884766,39.371849060058594,14752700,74.5072113694007,88.34586723819916,83.85106037450856,,,,10,21,60,53,-60,-53,39.336666107177734,37.0562785857875,1.7683537672712724,85.9702609133116,,,,,0
2022-02-03,39.290000915527344,40.4900016784668,38.970001220703125,40.0,39.74946975708008,22557500,75.32620754084385,91.59753433332263,87.955348828438,,,,10,21,60,53,-60,-53,39.820000966389976,37.55877356407886,1.8579671554603345,81.1362531594687,,,,,0
2022-02-04,40.47999954223633,42.310001373291016,40.380001068115234,40.79999923706055,40.54446029663086,23757400,77.00136640440424,85.64471472352011,88.52937209834728,,,,10,21,60,53,-60,-53,41.163333892822266,38.214148169304934,2.0563705314706975,95.61135921706031,,,,,0
2022-02-07,40.470001220703125,41.5,39.709999084472656,41.0,40.74320983886719,15544000,77.41420681581099,78.70594023329822,85.31606309671365,,,,10,21,60,53,-60,-53,40.73666636149088,38.67278784061147,2.0577356204541,66.86568479657127,,,,,0
2022-02-08,40.84000015258789,40.84000015258789,38.970001220703125,39.349998474121094,39.103538513183594,20307500,66.76607559329392,56.143116139070266,73.49792369862952,,,,10,21,60,53,-60,-53,39.71999994913737,38.863190042161634,1.8393854907307607,31.0542084586933,,,,,0
2022-02-09,39.709999084472656,41.060001373291016,39.619998931884766,40.29999923706055,40.04758834838867,16412000,69.3777227512306,44.761384126897475,59.87014683308863,,,,10,21,60,53,-60,-53,40.326666514078774,39.1292766734193,1.722659008899618,46.338822114475676,,,,,0
2022-02-10,40.06999969482422,41.880001068115234,40.02000045776367,40.68000030517578,40.42521286010742,17756300,70.38039207117075,37.00593708408916,45.97014578335228,,,,10,21,60,53,-60,-53,40.86000061035156,39.443953752861525,1.666911345006967,56.63356009630771,,,,,0
2022-02-11,41.0,43.15999984741211,40.77000045776367,42.97999954223633,42.7108039855957,24477900,75.59010419439024,62.24064056666602,48.0026539258842,,,,10,21,60,53,-60,-53,42.3033332824707,39.96384094006319,1.789198799079793,87.17094838243575,,,,,0
2022-02-14,42.599998474121094,42.77000045776367,40.83000183105469,41.22999954223633,40.97176742553711,21485900,66.06823587791541,66.94651624726693,55.397697966007364,,,,10,21,60,53,-60,-53,41.61000061035156,40.26314269829744,1.7087731832569433,52.546779379538684,,,,,0
2022-02-15,39.7599983215332,40.470001220703125,38.810001373291016,39.849998474121094,39.60041046142578,23600000,59.683571296613124,57.84998713904486,62.34571465099259,,,,10,21,60,53,-60,-53,39.710000356038414,40.16257136334126,1.4803727876289252,-20.380947784902872,,,,,0
2022-02-16,40.41999816894531,41.150001525878906,39.2599983215332,39.650001525878906,39.40166473388672,18292100,58.796767676927374,32.385422646108175,52.39397534413997,,,,10,21,60,53,-60,-53,40.02000045776367,40.13664938050897,1.2324229940137204,-6.310004671659015,,,,,0
