Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,113.25,115.22000122070312,112.9000015258789,113.16000366210938,111.94424438476562,1793200,,,,,,,10,21,60,53,-60,-53,113.76000213623047,,,,,,,,0
2022-01-04,113.80999755859375,114.66000366210938,112.80000305175781,113.16000366210938,111.94424438476562,2273300,,,,,,,10,21,60,53,-60,-53,113.54000345865886,,,,,,,,0
2022-01-05,113.33000183105469,113.7699966430664,109.5999984741211,109.66000366210938,108.48185729980469,2345100,,,,,,,10,21,60,53,-60,-53,111.00999959309895,,,,,,,,0
2022-01-06,110.4000015258789,110.62000274658203,108.30000305175781,109.44000244140625,108.26421356201172,1844400,,,,,,,10,21,60,53,-60,-53,109.45333607991536,,,,,,,,0
2022-01-07,108.66999816894531,108.66999816894531,104.9000015258789,104.98999786376953,103.86202239990234,2999200,,,,,,,10,21,60,53,-60,-53,106.18666585286458,,,,,,,,0
2022-01-10,104.31999969482422,104.41999816894531,100.94000244140625,103.12000274658203,102.01211547851562,4096400,,,,,,,10,21,60,53,-60,-53,102.82666778564453,,,,,,,,0
2022-01-11,102.95999908447266,107.06999969482422,102.5999984741211,106.93000030517578,105.78118133544922,2645100,,,,,,,10,21,60,53,-60,-53,105.53333282470703,,,,,,,,0
2022-01-12,107.61000061035156,108.66999816894531,104.55999755859375,105.44000244140625,104.30718994140625,2260900,,,,,,,10,21,60,53,-60,-53,106.22333272298177,,,,,,,,0
2022-01-13,105.73999786376953,106.33000183105469,104.44999694824219,104.7300033569336,103.60482025146484,1960700,,47.401616907756996,34.968649875020766,,,,10,21,60,53,-60,-53,105.17000071207683,,,,,,,,0
2022-01-14,103.81999969482422,104.13999938964844,100.55999755859375,102.2699966430664,101.1712417602539,3552200,,38.867487420001794,40.87462046639879,,,,10,21,60,53,-60,-53,102.32333119710286,107.60266723632813,,,,,,,0
2022-01-18,100.9800033569336,101.1500015258789,98.79000091552734,99.20999908447266,98.14412689208984,4103200,,24.788618404788835,37.019240910849206,,,,10,21,60,53,-60,-53,99.71666717529297,106.16884904341265,,,,,,,0
2022-01-19,99.95999908447266,100.93000030517578,98.86000061035156,99.02999877929688,97.96605682373047,2118500,,9.255063639299577,24.30372315469673,,,,10,21,60,53,-60,-53,99.6066665649414,104.97572495641788,,,,,,,0
2022-01-20,99.41999816894531,100.86000061035156,97.1500015258789,97.43000030517578,96.38324737548828,2379800,,3.243406393097723,12.42902947906204,,,,10,21,60,53,-60,-53,98.48000081380208,103.794684203215,,,,,,,0
2022-01-21,97.48999786376953,98.68000030517578,95.05000305175781,95.43000030517578,94.40472412109375,3086000,,3.2198712984260864,5.239447110274457,,,,10,21,60,53,-60,-53,96.3866678873698,102.4477721457886,,,,,,,0
2022-01-24,93.5999984741211,98.44999694824219,92.94000244140625,98.25,97.19442749023438,4575900,23.53566803112858,23.969228472834676,10.144168721452823,,,,10,21,60,53,-60,-53,96.54666646321614,101.37484383986634,,,,,,,0
2022-01-25,95.91000366210938,97.94999694824219,94.29000091552734,96.61000061035156,95.57205200195312,3139100,22.147126309511563,38.26333158935119,21.81747712020398,,,,10,21,60,53,-60,-53,96.28333282470703,100.44911456438284,,,,,,,0
2022-01-26,97.27999877929688,99.31999969482422,94.0,94.76000213623047,93.74193572998047,3125200,20.66597104179034,44.529801565621675,35.58745387593584,,,,10,21,60,53,-60,-53,96.02666727701823,99.64503323940745,,,,,,,0
2022-01-27,96.37999725341797,97.81999969482422,94.41999816894531,94.87000274658203,93.85075378417969,2214700,21.00426578783562,33.054335275953996,38.61582281030895,,,,10,21,60,53,-60,-53,95.70333353678386,98.92836056620317,,,,,,,0
2022-01-28,94.3499984741211,95.83000183105469,92.55000305175781,95.7699966430664,94.7410659790039,4187700,23.86482057950639,33.59776894096972,37.060635260848464,,,,10,21,60,53,-60,-53,94.71666717529297,98.16259813149222,4.775964701098694,-48.10101095605563,,,,,0
2022-01-31,95.11000061035156,97.94999694824219,94.9000015258789,97.75,96.6998062133789,2891500,29.880650572435467,51.54098462112713,39.39769627935028,,,,10,21,60,53,-60,-53,96.86666615804036,97.92697413631915,4.100390751495074,-17.239137154463943,,,,,0
2022-02-01,98.26000213623047,99.13999938964844,97.5199966430664,98.54000091552734,97.4813232421875,3762500,32.18312237824338,70.95024888517248,52.0296674824231,,,,10,21,60,53,-60,-53,98.39999898274739,98.01297865385155,3.4252324928406686,7.532731081365199,,,,,0
2022-02-02,98.9800033569336,99.41000366210938,96.62000274658203,97.33000183105469,96.28431701660156,2966300,30.529565288290208,78.322439024924,66.93789084374119,,,,10,21,60,53,-60,-53,97.7866694132487,97.97183151919648,2.8361287861328712,-4.352461163567377,,,,,0
2022-02-03,97.0199966430664,97.27999877929688,94.29000091552734,94.37999725341797,93.36601257324219,3057100,26.90065521083307,61.61138951241093,70.29469247416912,,,,10,21,60,53,-60,-53,95.31666564941406,97.48907408832696,2.715452359365603,-53.33447621032651,,,,,0
2022-02-04,93.51000213623047,94.87000274658203,92.0999984741211,94.16000366210938,93.14837646484375,3617800,26.646286144105513,41.51206658873253,60.481965042022466,,,,10,21,60,53,-60,-53,93.71000162760417,96.80197000455918,2.7839098171091314,-74.04378685814787,,,,,0
2022-02-07,94.55000305175781,95.08999633789062,92.97000122070312,93.3499984741211,92.34707641601562,2512900,25.683311371635504,23.985591511280045,42.36968253747448,,,,10,21,60,53,-60,-53,93.80333201090495,96.25676309662205,2.7238227750378528,-60.04872045277136,,,,,0
2022-02-08,93.80000305175781,96.1500015258789,93.13999938964844,95.4800033569336,94.45419311523438,2161600,32.5829370931505,30.50618022266127,32.00127944089127,,,,10,21,60,53,-60,-53,94.92333475748698,96.01432158041568,2.4269435110180066,-29.96874650428302,,,,,0
2022-02-09,96.87999725341797,97.95999908447266,96.55999755859375,97.41999816894531,96.37334442138672,2827100,38.20976558580017,51.37429447106282,35.288688735001365,,,,10,21,60,53,-60,-53,97.3133316040039,96.25050522106808,2.1789222150030643,32.51841286845662,,,,,0
2022-02-10,94.31999969482422,98.01000213623047,94.31999969482422,96.56999969482422,95.53248596191406,2470000,36.76200964598325,70.88584130093055,50.92210533155153,,,,10,21,60,53,-60,-53,96.3000005086263,96.25950436426048,1.7901174748872013,1.508137312547781,,,,,0
2022-02-11,96.48999786376953,97.02999877929688,93.94000244140625,94.2699966430664,93.25718688964844,2187700,33.10664199481716,64.07100503614267,62.11038026937865,,,,10,21,60,53,-60,-53,95.07999928792317,96.04504889583552,1.640105135437228,-39.22714412472021,,,,,0
2022-02-14,94.91000366210938,95.69000244140625,93.33000183105469,94.2699966430664,93.25718688964844,2320400,33.10664199481716,41.543754257873466,58.83353353164887,,,,10,21,60,53,-60,-53,94.43000030517578,95.75140369753375,1.5821593639682712,-55.67932124712162,,,,,0
2022-02-15,95.5999984741211,96.58999633789062,94.94000244140625,96.19000244140625,95.15657043457031,2565200,38.98075311008034,36.70263046224131,47.43912991875246,,,,10,21,60,53,-60,-53,95.9066670735677,95.7796334022672,1.3175910562104962,6.427572030119319,,,,,0
2022-02-16,95.77999877929688,96.52999877929688,94.44999694824219,95.69999694824219,94.67182922363281,2431600,38.06213418700609,44.98508470328759,41.07715647446744,,,,10,21,60,53,-60,-53,95.55999755859375,95.73969961250839,1.1107021467021585,-10.786093250304244,,,,,0
2022-02-17,94.37999725341797,95.62000274658203,91.3499984741211,91.75,90.76426696777344,3101500,31.597816032426767,39.598106059959015,40.42860707516261,,,,10,21,60,53,-60,-53,92.9066670735677,95.22460278724644,1.330199158879718,-116.16985813517233,,,,,0
2022-02-18,91.44000244140625,94.20999908447266,91.26000213623047,93.47000122070312,92.46578979492188,3260000,36.643687220268326,33.04888019202743,39.21069031842466,-3.0238529726642724,-3.601005253409656,0.5771522807453837,10,21,60,53,-60,-53,92.98000081380208,94.81649333752928,1.4222524979428968,-86.08375453179373,,,,,0
2022-02-22,93.31999969482422,95.51000213623047,91.9000015258789,92.23999786376953,91.2490005493164,3364800,34.67384938569173,22.29738465712632,31.6481236363709,-3.009975914826498,-3.4827993856930246,0.47282347086652665,10,21,60,53,-60,-53,93.21666717529297,94.52561585348631,1.4016518034429784,-62.25743440599065,,,,,0
2022-02-23,89.52999877929688,90.30999755859375,86.52999877929688,88.0199966430664,87.07433319091797,5274900,28.92814965622125,24.9166175340836,26.754294127745766,-3.301440130253823,-3.4465275346051842,0.14508740435136103,10,21,60,53,-60,-53,88.28666432698567,93.39126103048619,2.0749145125443493,-164.0098639450626,,,,,0
2022-02-24,86.72000122070312,90.79000091552734,86.1500015258789,90.63999938964844,89.66619110107422,4279900,36.01705161258628,26.899754718820038,24.704585636676637,-3.2831689673398614,-3.4138558211521195,0.13068685381225809,10,21,60,53,-60,-53,89.19333394368489,92.62800156015868,2.322142349622429,-98.60628963400261,,,,,0
2022-02-25,91.0,92.95999908447266,89.7699966430664,92.7300033569336,91.73374938964844,2525100,41.06681798139887,44.203997677849706,32.006789976917766,-3.0647149594917664,-3.344027648820049,0.27931268932828246,10,21,60,53,-60,-53,91.81999969482422,92.48109213009786,2.0201332742862865,-21.816792772652054,,,,,0
2022-02-28,91.19999694824219,91.97000122070312,90.22000122070312,91.38999938964844,90.40813446044922,3177700,38.944563152402964,57.89829796840835,43.000683455026014,-2.965530911308832,-3.2683283013178057,0.30279739000897354,10,21,60,53,-60,-53,91.19333394368489,92.24695427802278,1.844403648841124,-38.083505021615125,-44.37245443216962,-44.37245443216962,,,0
2022-03-01,91.0,91.91999816894531,88.95999908447266,89.55000305175781,88.58790588378906,4002500,36.17973929633194,58.736219551065766,53.61283839910792,-3.0008077220364555,-3.2148241854615356,0.21401646342508007,10,21,60,53,-60,-53,90.1433334350586,91.8644777611202,1.8219928628812114,-62.976621592976336,-46.06374235587932,-46.06374235587932,,,0
2022-03-02,95.16000366210938,97.61000061035156,94.08000183105469,95.0,93.97935485839844,5477000,47.96369421471547,61.04487404008878,59.22646385318762,-2.559491418649472,-3.0837576320991227,0.5242662134496507,10,21,60,53,-60,-53,95.56333414713542,92.53699710403205,2.0409645320125125,98.85316462340217,-32.88947808503555,-32.88947808503555,,,0
2022-03-03,94.93000030517578,94.93000030517578,92.16000366210938,93.52999877929688,92.525146484375,3266600,45.52216712685698,59.9946999017682,59.9252644976409,-2.3018278433607833,-2.9273716743514546,0.6255438309906713,10,21,60,53,-60,-53,93.54000091552734,92.71936143339484,1.8190872502161477,30.075137298847586,-27.16542214104617,-27.16542214104617,-37.62277425353266,10.45735211248649,0
2022-03-04,92.69000244140625,93.04000091552734,88.87000274658203,89.44000244140625,88.47908782958984,4347900,39.49779632985948,45.52640602394498,55.52199332193397,-2.399990529637435,-2.821895445408651,0.4219049157712158,10,21,60,53,-60,-53,90.4500020345052,92.30675063359672,1.8259347681934877,-67.79170981113474,-30.858721020145133,-30.858721020145133,-34.24434090052654,3.3856198803814053,0
