Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,367.1300048828125,371.7300109863281,358.6400146484375,361.1000061035156,361.1000061035156,674800,,,,,,,10,21,60,53,-60,-53,363.82334391276044,,,,,,,,0
2022-01-04,360.1000061035156,361.4599914550781,345.4100036621094,352.989990234375,352.989990234375,895200,,,,,,,10,21,60,53,-60,-53,353.2866617838542,,,,,,,,0
2022-01-05,349.95001220703125,354.8699951171875,339.2799987792969,339.7699890136719,339.7699890136719,968400,,,,,,,10,21,60,53,-60,-53,344.63999430338544,,,,,,,,0
2022-01-06,336.5,348.42999267578125,335.20001220703125,344.9700012207031,344.9700012207031,977100,,,,,,,10,21,60,53,-60,-53,342.8666687011719,,,,,,,,0
2022-01-07,341.6700134277344,345.05999755859375,330.1099853515625,330.3599853515625,330.3599853515625,902200,,,,,,,10,21,60,53,-60,-53,335.17665608723956,,,,,,,,0
2022-01-10,322.7699890136719,330.1499938964844,318.7699890136719,329.6300048828125,329.6300048828125,986900,,,,,,,10,21,60,53,-60,-53,326.18332926432294,,,,,,,,0
2022-01-11,326.5400085449219,342.3299865722656,326.5400085449219,340.3800048828125,340.3800048828125,1068500,,,,,,,10,21,60,53,-60,-53,336.4166666666667,,,,,,,,0
2022-01-12,343.92999267578125,346.7900085449219,335.8900146484375,338.5899963378906,338.5899963378906,781500,,,,,,,10,21,60,53,-60,-53,340.42333984375,,,,,,,,0
2022-01-13,340.4200134277344,342.8699951171875,326.45001220703125,327.510009765625,327.510009765625,803300,,52.62586984984653,43.98931782592967,,,,10,21,60,53,-60,-53,332.27667236328125,,,,,,,,0
2022-01-14,324.57000732421875,330.2900085449219,321.9200134277344,326.1600036621094,326.1600036621094,651300,,41.46337743983109,48.26583800422433,,,,10,21,60,53,-60,-53,326.1233418782552,340.1216674804688,,,,,,,0
2022-01-18,318.2200012207031,320.3999938964844,312.010009765625,313.4800109863281,313.4800109863281,878000,,20.597560377495295,38.22893588905764,,,,10,21,60,53,-60,-53,315.2966715494792,335.6080318566525,,,,,,,0
