Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,188.82000732421875,190.6199951171875,187.4600067138672,190.60000610351562,186.83676147460938,3781500,,,,,,,10,21,60,53,-60,-53,189.56000264485678,,,,,,,,0
2022-01-04,191.0,192.10000610351562,188.1999969482422,190.8000030517578,187.03282165527344,4137500,,,,,,,10,21,60,53,-60,-53,190.36666870117188,,,,,,,,0
2022-01-05,190.41000366210938,191.61000061035156,186.64999389648438,186.82000732421875,183.13140869140625,5047400,,,,,,,10,21,60,53,-60,-53,188.36000061035156,,,,,,,,0
2022-01-06,186.6699981689453,188.52000427246094,185.7899932861328,186.75999450683594,183.0725860595703,4502600,,,,,,,10,21,60,53,-60,-53,187.02333068847656,,,,,,,,0
2022-01-07,181.97000122070312,184.05999755859375,178.89999389648438,179.44000244140625,175.89712524414062,7414200,,,,,,,10,21,60,53,-60,-53,180.79999796549478,,,,,,,,0
2022-01-10,177.89999389648438,183.22999572753906,176.8800048828125,182.9600067138672,179.3476104736328,7195800,,,,,,,10,21,60,53,-60,-53,181.0233357747396,,,,,,,,0
2022-01-11,182.5,186.0800018310547,181.2100067138672,184.63999938964844,180.99444580078125,5239300,,,,,,,10,21,60,53,-60,-53,183.97666931152344,,,,,,,,0
2022-01-12,186.0,187.33999633789062,184.39999389648438,186.02999877929688,182.3569793701172,4240100,,,,,,,10,21,60,53,-60,-53,185.92332967122397,,,,,,,,0
2022-01-13,188.97000122070312,189.6300048828125,183.61000061035156,184.14999389648438,180.5141143798828,5361100,,62.769766981724594,50.69628035938124,,,,10,21,60,53,-60,-53,185.79666646321616,,,,,,,,0
2022-01-14,183.25999450683594,187.1999969482422,183.0,187.00999450683594,183.31764221191406,4731400,,71.69287326555384,63.84723849110248,,,,10,21,60,53,-60,-53,185.73666381835938,185.85666656494138,,,,,,,0
2022-01-18,183.61000061035156,184.36000061035156,181.25999450683594,182.27999877929688,178.6810302734375,7382800,,49.726055898767925,61.39623204868212,,,,10,21,60,53,-60,-53,182.63333129882812,185.27060560746625,,,,,,,0
2022-01-19,183.44000244140625,183.5800018310547,178.19000244140625,178.3000030517578,174.7796173095703,5207300,,31.040063204007552,50.81966412277645,,,,10,21,60,53,-60,-53,180.0233357747396,184.3165565469705,,,,,,,0
2022-01-20,178.77999877929688,180.55999755859375,173.3800048828125,173.4499969482422,170.02537536621094,6057800,,4.700003667572788,28.488707590116096,,,,10,21,60,53,-60,-53,175.79666646321616,182.76748562265152,,,,,,,0
2022-01-21,174.05999755859375,179.5500030517578,173.3300018310547,175.63999938964844,172.17213439941406,11527900,,6.015634193239525,13.918567021606632,,,,10,21,60,53,-60,-53,176.17333475748697,181.5685491017125,,,,,,,0
2022-01-24,175.77999877929688,178.6199951171875,171.1199951171875,178.33999633789062,174.81883239746094,11717600,35.17173336758625,23.872355879196586,11.529331246669642,,,,10,21,60,53,-60,-53,176.02666219075522,180.56093329972026,,,,,,,0
2022-01-25,174.91000366210938,178.00999450683594,173.0399932861328,173.9600067138672,170.5253143310547,8157600,31.56962514754449,31.32645514141501,20.404815071283718,,,,10,21,60,53,-60,-53,175.00333150227866,179.55046024563998,,,,,,,0
2022-01-26,182.27000427246094,183.25,176.17999267578125,178.3300018310547,174.80902099609375,12852700,38.35330488880979,45.58805489719962,33.595621972603745,,,,10,21,60,53,-60,-53,179.25333150227866,179.4964368377561,,,,,,,0
2022-01-27,180.89999389648438,181.02000427246094,173.10000610351562,174.80999755859375,171.35853576660156,6752900,35.316344776802666,37.55096970031733,38.155159912977325,,,,10,21,60,53,-60,-53,176.31000264485678,178.91708516631988,,,,,,,0
2022-01-28,173.80999755859375,177.47000122070312,169.38999938964844,177.2899932861328,174.94041442871094,7322100,38.9822792778419,48.95280045442066,44.03060835064588,,,,10,21,60,53,-60,-53,174.71666463216147,178.15337234192745,3.4784826750144844,-65.86603088853336,,,,,0
2022-01-31,177.67999267578125,179.63999938964844,175.83999633789062,179.49000549316406,177.1112518310547,6980800,42.116323338503484,53.430192403283996,46.64465418600734,,,,10,21,60,53,-60,-53,178.32333374023438,178.1842744143469,2.871314793355028,3.2287026651644664,,,,,0
2022-02-01,179.58999633789062,181.6699981689453,176.6300048828125,181.2899932861328,178.8874053955078,6233700,44.622499635922445,71.90955406392763,58.09751564054411,,,,10,21,60,53,-60,-53,179.86333211263022,178.4895576322166,2.5990347364565918,35.23806899394177,,,,,0
2022-02-02,181.5500030517578,188.25,181.49000549316406,187.83999633789062,185.35060119628906,8993800,52.65556140365428,85.51873978323782,70.28616208348315,,,,10,21,60,53,-60,-53,185.86000061035156,179.82963817369568,3.222912500129189,124.7393971842581,,,,,0
2022-02-03,185.24000549316406,186.5500030517578,174.8800048828125,175.58999633789062,173.26295471191406,11691400,40.74989898789136,72.18613180141001,76.5381418828585,,,,10,21,60,53,-60,-53,179.0066680908203,179.68000724953652,2.7593537107813737,-16.268040256077015,,,,,0
2022-02-04,172.47999572753906,172.77000427246094,167.50999450683594,171.4199981689453,169.14820861816406,11408600,37.63074648487057,49.85077634796156,69.18521597753647,,,,10,21,60,53,-60,-53,170.56666564941406,178.02303604951425,3.6133567452029753,-137.57051823532456,,,,,0
2022-02-07,172.47999572753906,172.5,168.91000366210938,169.9499969482422,167.69769287109375,6418900,36.56812336599653,21.16365865739996,47.73352226892385,,,,10,21,60,53,-60,-53,170.45333353678384,176.6467265017451,4.08245423970448,-101.13839374244604,,,,,0
2022-02-08,170.02999877929688,173.19000244140625,168.5,172.6300048828125,170.34217834472656,4622000,39.90018211927731,18.4346085528163,29.816347852725944,,,,10,21,60,53,-60,-53,171.44000244140625,175.7000493998653,4.114743824932582,-69.02085345947131,,,,,0
