Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,253.25,253.5,246.5,247.77000427246094,243.74281311035156,2450200,,,,,,,10,21,60,53,-60,-53,249.2566680908203,,,,,,,,0
2022-01-04,250.0,254.39999389648438,249.36000061035156,252.02999877929688,247.9335479736328,2647500,,,,,,,10,21,60,53,-60,-53,251.92999776204428,,,,,,,,0
2022-01-05,252.85000610351562,254.7100067138672,251.66000366210938,252.7899932861328,248.68118286132812,3651300,,,,,,,10,21,60,53,-60,-53,253.05333455403647,,,,,,,,0
2022-01-06,254.0,254.6999969482422,251.8800048828125,253.49000549316406,249.3698272705078,2342300,,,,,,,10,21,60,53,-60,-53,253.3566691080729,,,,,,,,0
2022-01-07,252.7899932861328,256.1099853515625,251.57000732421875,254.77999877929688,250.63885498046875,2346800,,,,,,,10,21,60,53,-60,-53,254.15333048502603,,,,,,,,0
2022-01-10,254.52999877929688,254.52999877929688,248.39999389648438,250.27999877929688,246.2119903564453,3341400,,,,,,,10,21,60,53,-60,-53,251.06999715169272,,,,,,,,0
2022-01-11,250.75,251.19000244140625,245.07000732421875,246.4199981689453,242.41473388671875,3087200,,,,,,,10,21,60,53,-60,-53,247.56000264485678,,,,,,,,0
2022-01-12,247.61000061035156,248.9600067138672,246.0399932861328,247.0,242.98532104492188,2480800,,,,,,,10,21,60,53,-60,-53,247.33333333333334,,,,,,,,0
2022-01-13,247.5,248.77000427246094,246.69000244140625,247.6199951171875,243.59523010253906,2615100,,17.60260542498945,25.51938404506046,,,,10,21,60,53,-60,-53,247.6933339436849,,,,,,,,0
2022-01-14,245.27000427246094,248.22999572753906,244.52999877929688,246.27000427246094,242.26718139648438,2525500,,19.32655630924582,18.320171926345107,,,,10,21,60,53,-60,-53,246.34333292643228,250.17499999999995,,,,,,,0
2022-01-18,244.8000030517578,245.5399932861328,236.8000030517578,238.0399932861328,234.17092895507812,5752100,,16.371614708376008,17.766925480870423,,,,10,21,60,53,-60,-53,240.1266632080078,248.3480296741832,,,,,,,0
2022-01-19,240.0,241.6999969482422,237.02999877929688,239.49000549316406,235.59738159179688,4910900,,16.0462688598839,17.248146625835243,,,,10,21,60,53,-60,-53,239.40666707356772,246.72232738316222,,,,,,,0
2022-01-20,237.22000122070312,245.66000366210938,237.0,242.07000732421875,238.1354522705078,4256100,,24.921838783881288,19.113240784047065,,,,10,21,60,53,-60,-53,241.57667032877603,245.78675337327383,,,,,,,0
2022-01-21,244.66000366210938,250.52999877929688,242.24000549316406,246.3300018310547,242.32620239257812,4932400,,45.18618411213728,28.718097251967492,,,,10,21,60,53,-60,-53,246.36666870117188,245.89219252380073,,,,,,,0
2022-01-24,242.9199981689453,245.9199981689453,239.1300048828125,245.10000610351562,241.11619567871094,5093200,46.257361499853054,57.962811782356454,42.69027822612501,,,,10,21,60,53,-60,-53,243.38333638509116,245.43603686221718,,,,,,,0
2022-01-25,242.63999938964844,245.6699981689453,239.19000244140625,244.1199951171875,240.15211486816406,3325400,44.92804004594479,60.828479422578084,54.65915843902394,,,,10,21,60,53,-60,-53,242.9933319091797,244.99190868893763,,,,,,,0
2022-01-26,246.58999633789062,250.14999389648438,242.36000061035156,244.8800048828125,240.8997802734375,3529100,46.21882053131488,57.1054539885547,58.63224839782975,,,,10,21,60,53,-60,-53,245.79666646321616,245.138228284261,,,,,,,0
2022-01-27,247.3300018310547,248.6699981689453,242.72000122070312,244.58999633789062,240.61448669433594,3045500,45.77790632794664,52.919814180933834,56.95124919735554,,,,10,21,60,53,-60,-53,245.32666524251303,245.17248954939774,,,,,,,0
2022-01-28,245.0,246.0800018310547,239.60000610351562,245.92999267578125,241.9326934814453,2659900,48.235147114677766,55.94720492499969,55.324157698162736,,,,10,21,60,53,-60,-53,243.87000020345053,244.93567330468005,2.998281730139044,-23.69519605217577,,,,,0
2022-01-31,245.0,245.38999938964844,242.80999755859375,244.5500030517578,240.57513427734375,3522000,45.92683342119724,52.83526019081389,53.90075976558247,,,,10,21,60,53,-60,-53,244.25,244.81100543110185,2.5551405848595534,-14.637301092187165,,,,,0
