Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,217.52000427246094,222.05999755859375,217.00999450683594,221.42999267578125,220.2587890625,7694500,,,,,,,10,21,60,53,-60,-53,220.16666158040366,,,,,,,,0
2022-01-04,222.0,226.7899932861328,221.80999755859375,222.4600067138672,221.28334045410156,10629300,,,,,,,10,21,60,53,-60,-53,223.6866658528646,,,,,,,,0
2022-01-05,222.63999938964844,225.27000427246094,219.9199981689453,220.0,218.8363494873047,9594600,,,,,,,10,21,60,53,-60,-53,221.7300008138021,,,,,,,,0
2022-01-06,217.8000030517578,221.91000366210938,217.5500030517578,219.75,218.58767700195312,7877500,,,,,,,10,21,60,53,-60,-53,219.7366689046224,,,,,,,,0
2022-01-07,217.30999755859375,220.1999969482422,215.63999938964844,216.9600067138672,215.8124542236328,10702100,,,,,,,10,21,60,53,-60,-53,217.6000010172526,,,,,,,,0
2022-01-10,213.97999572753906,214.1999969482422,206.5,211.97000122070312,210.8488311767578,11978600,,,,,,,10,21,60,53,-60,-53,210.88999938964844,,,,,,,,0
2022-01-11,211.4199981689453,214.9499969482422,208.74000549316406,214.3800048828125,213.24609375,8803100,,,,,,,10,21,60,53,-60,-53,212.69000244140625,,,,,,,,0
2022-01-12,214.47999572753906,217.5800018310547,213.80999755859375,215.7100067138672,214.5690460205078,6923300,,,,,,,10,21,60,53,-60,-53,215.70000203450522,,,,,,,,0
2022-01-13,216.85000610351562,220.47999572753906,214.66000366210938,215.0,213.86280822753906,8867700,,54.18316011632178,41.33739482598761,,,,10,21,60,53,-60,-53,216.7133331298828,,,,,,,,0
2022-01-14,214.1699981689453,218.25,213.7100067138672,214.6699981689453,213.5345458984375,8838100,,59.66940404531449,52.2516797607126,,,,10,21,60,53,-60,-53,215.5433349609375,217.4456670125325,,,,,,,0
