Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2021-12-31,,,,,,,,,,,,,10,21,60,53,-60,-53,,,,,,,,,0
2022-01-03,51.34000015258789,52.04999923706055,50.90999984741211,51.93000030517578,51.108089447021484,2270800.0,,,,,,,10,21,60,53,-60,-53,51.62999979654948,,,,,,,,0
2022-01-04,52.18000030517578,54.0099983215332,52.040000915527344,53.279998779296875,52.43671798706055,2480600.0,,,,,,,10,21,60,53,-60,-53,53.109999338785805,,,,,,,,0
2022-01-05,53.709999084472656,54.58000183105469,52.72999954223633,52.84000015258789,52.003684997558594,2147900.0,,,,,,,10,21,60,53,-60,-53,53.38333384195963,,,,,,,,0
2022-01-06,53.41999816894531,53.810001373291016,52.939998626708984,53.279998779296875,52.43671798706055,2044200.0,,,,,,,10,21,60,53,-60,-53,53.34333292643229,,,,,,,,0
2022-01-07,53.06999969482422,54.33000183105469,52.900001525878906,53.619998931884766,52.771339416503906,2798400.0,,,,,,,10,21,60,53,-60,-53,53.61666742960612,,,,,,,,0
2022-01-10,53.4900016784668,53.650001525878906,52.4900016784668,53.119998931884766,52.27925109863281,2081600.0,,,,,,,10,21,60,53,-60,-53,53.08666737874349,,,,,,,,0
2022-01-11,52.79999923706055,53.11000061035156,51.630001068115234,52.13999938964844,51.314762115478516,1837800.0,,,,,,,10,21,60,53,-60,-53,52.29333368937174,,,,,,,,0
2022-01-12,52.040000915527344,52.70000076293945,51.779998779296875,51.83000183105469,51.00967025756836,1215300.0,,,,,,,10,21,60,53,-60,-53,52.10333379109701,,,,,,,,0
2022-01-13,52.02000045776367,53.310001373291016,52.0099983215332,52.90999984741211,52.07257843017578,1531100.0,,24.034285532173413,30.329724316352895,,,,10,21,60,53,-60,-53,52.743333180745445,,,,,,,,0
2022-01-14,52.7400016784668,53.29999923706055,52.119998931884766,52.93000030517578,52.09225845336914,1565900.0,,39.723721887233815,28.72101351908275,,,,10,21,60,53,-60,-53,52.78333282470703,52.809333419799806,,,,,,,0
2022-01-18,52.84000015258789,52.900001525878906,52.0,52.310001373291016,51.48207473754883,1672000.0,,50.746644459739834,38.16821729304902,,,,10,21,60,53,-60,-53,52.403334299723305,52.73551539796772,,,,,,,0
2022-01-19,52.59000015258789,52.810001373291016,50.709999084472656,50.77000045776367,49.96644973754883,1803100.0,,35.7134425579929,42.06126963498884,,,,10,21,60,53,-60,-53,51.43000030517578,52.49814901746009,,,,,,,0
2022-01-20,51.290000915527344,52.38999938964844,51.16999816894531,51.34000015258789,50.52742385864258,3240700.0,,22.33824445508769,36.266110490940136,,,,10,21,60,53,-60,-53,51.63333257039388,52.34090966344805,,,,,,,0
2022-01-21,51.77000045776367,52.779998779296875,51.38999938964844,52.47999954223633,51.649383544921875,4683100.0,,31.626104688098476,29.89259723372635,,,,10,21,60,53,-60,-53,52.21666590372721,52.318319888953354,,,,,,,0
2022-01-24,51.88999938964844,52.29999923706055,49.93000030517578,51.720001220703125,50.90141296386719,2658100.0,48.959369080879995,50.94664576435773,34.97033163584796,,,,10,21,60,53,-60,-53,51.31666692097982,52.13620116750362,,,,,,,0
2022-01-25,51.18000030517578,52.29999923706055,50.41999816894531,51.939998626708984,51.11792755126953,2139500.0,50.130344902523206,66.1335769381339,49.56877579686337,,,,10,21,60,53,-60,-53,51.553332010904946,52.03022495721295,,,,,,,0
2022-01-26,52.220001220703125,53.279998779296875,50.790000915527344,51.29999923706055,50.48805618286133,2078700.0,46.768829701542714,56.98548598597048,58.02190289615404,,,,10,21,60,53,-60,-53,51.789999643961586,51.98654762753088,,,,,,,0
2022-01-27,51.459999084472656,52.7599983215332,50.939998626708984,51.040000915527344,50.232177734375,3130400.0,45.43589420240425,47.94048443466695,57.01984911959045,,,,10,21,60,53,-60,-53,51.57999928792318,51.91262974760221,,,,,,,0
2022-01-28,50.93000030517578,51.52000045776367,49.08000183105469,51.47999954223633,50.66520690917969,3122900.0,48.13011613588418,43.72423832298531,49.55006958120759,,,,10,21,60,53,-60,-53,50.6933339436849,51.690939601435424,0.5058772777732472,-131.46873119659267,,,,,0
2022-01-31,51.18000030517578,53.22999954223633,51.040000915527344,53.02000045776367,52.18083572387695,5989700.0,56.26908253082684,61.36225503752678,51.008992598393014,,,,10,21,60,53,-60,-53,52.43000030517578,51.82531427484276,0.5238425055113878,76.95519473519512,,,,,0
2022-02-01,52.5,52.959999084472656,51.869998931884766,52.40999984741211,51.58049011230469,2125700.0,52.73903820328882,76.74604270284212,60.610845354451406,,,,10,21,60,53,-60,-53,52.41333262125651,51.93222670146344,0.5160722171989657,62.14968935992683,,,,,0
2022-02-02,52.4900016784668,53.13999938964844,52.130001068115234,52.2400016784668,51.413185119628906,2238200.0,51.764407189121954,83.07996685758161,73.72942153265016,,,,10,21,60,53,-60,-53,52.503334045410156,52.03606440036285,0.507199022262301,61.418315695629566,,,,,0
2022-02-03,52.09000015258789,52.130001068115234,51.150001525878906,51.22999954223633,50.419166564941406,1909300.0,46.290892272813075,69.07918121133547,76.30173025725306,,,,10,21,60,53,-60,-53,51.503334045410156,51.93920433582599,0.49423016192657987,-58.79450830718899,,,,,0
2022-02-04,50.75,50.9900016784668,49.540000915527344,50.029998779296875,49.2381591796875,2280200.0,40.77436040129992,47.07696626969193,66.41203811286967,,,,10,21,60,53,-60,-53,50.186667124430336,51.62056120648133,0.6650781474037455,-143.73188951789191,,,,,0
2022-02-07,50.11000061035156,51.0099983215332,50.099998474121094,50.599998474121094,49.799137115478516,2073700.0,44.17733664462462,31.5102237616445,49.2221237475573,,,,10,21,60,53,-60,-53,50.56999842325846,51.4295497913499,0.7004369148015077,-81.81097159287792,,,,,0
2022-02-08,50.84000015258789,50.91999816894531,50.15999984741211,50.40999984741211,49.612144470214844,1848500.0,43.28456026874402,22.296705396214104,33.62796514251684,,,,10,21,60,53,-60,-53,50.496665954589844,51.25993454830262,0.7118608564217378,-71.48106607513564,,,,,0
2022-02-09,50.959999084472656,52.0099983215332,50.88999938964844,51.93000030517578,51.108089447021484,2002700.0,51.69490901369187,48.62966654117699,34.14553189967853,,,,10,21,60,53,-60,-53,51.609999338785805,51.32358269202683,0.6345073637557805,30.09333572464924,,,,,0
2022-02-10,51.459999084472656,52.439998626708984,50.97999954223633,51.29999923706055,50.48805618286133,2504200.0,48.48562640770632,59.044751903059904,43.323707946817,,,,10,21,60,53,-60,-53,51.57333246866862,51.36899174232534,0.5562952478625978,24.488282331896613,,,,,0
2022-02-11,51.189998626708984,52.22999954223633,50.22999954223633,50.7400016784668,49.93692398071289,3499500.0,45.765861533689936,60.10605699133635,55.92682514519109,,,,10,21,60,53,-60,-53,51.06666692097982,51.31402359298979,0.5001245977075748,-32.97267296240203,,,,,0
2022-02-14,50.90999984741211,51.310001373291016,50.0,50.060001373291016,49.2676887512207,2267600.0,42.63816564316903,30.166427252696078,49.772412049030784,,,,10,21,60,53,-60,-53,50.45666758219401,51.15814068193601,0.536733416259289,-87.12867859440678,,,,,0
2022-02-15,50.27000045776367,51.150001525878906,50.25,50.90999984741211,50.10423278808594,2570800.0,47.47073324159903,22.36824442295662,37.54690955566303,,,,10,21,60,53,-60,-53,50.77000045776367,51.08756973208649,0.4968853904526585,-42.6079843795928,,,,,0
