Date,Open,High,Low,Close,Adj Close,Volume,RSI14,slowk,slowd,macd,macdsignal,macdhist,n1,n2,obLevel1,obLevel2,sLevel1,osLevel2,ap,esa,d,ci,tci,wt1,wt2,wt1 - wt2,wt1 & wt2 crossing
2022-01-03,92.66000366210938,93.79000091552734,92.22000122070312,92.29000091552734,91.83407592773438,755200,,,,,,,10,21,60,53,-60,-53,92.76666768391927,,,,,,,,0
2022-01-04,93.56999969482422,98.11000061035156,93.0,97.69999694824219,97.21733856201172,1338000,,,,,,,10,21,60,53,-60,-53,96.26999918619792,,,,,,,,0
2022-01-05,98.04000091552734,99.16999816894531,96.41999816894531,96.55000305175781,96.07302856445312,1103100,,,,,,,10,21,60,53,-60,-53,97.37999979654948,,,,,,,,0
2022-01-06,96.08000183105469,97.2699966430664,95.45999908447266,96.44000244140625,95.96356964111328,1057900,,,,,,,10,21,60,53,-60,-53,96.38999938964844,,,,,,,,0
2022-01-07,96.31999969482422,96.31999969482422,94.4000015258789,95.0999984741211,94.63018798828125,917800,,,,,,,10,21,60,53,-60,-53,95.27333323160808,,,,,,,,0
2022-01-10,95.0999984741211,95.33000183105469,93.08999633789062,94.41999816894531,93.95354461669922,860300,,,,,,,10,21,60,53,-60,-53,94.27999877929688,,,,,,,,0
2022-01-11,94.41000366210938,94.41000366210938,92.0,92.4000015258789,91.94353485107422,1312900,,,,,,,10,21,60,53,-60,-53,92.9366683959961,,,,,,,,0
2022-01-12,92.87000274658203,93.25,91.5199966430664,91.87000274658203,91.41615295410156,1153200,,,,,,,10,21,60,53,-60,-53,92.21333312988281,,,,,,,,0
2022-01-13,92.22000122070312,93.91999816894531,91.75,93.48999786376953,93.02813720703125,1260600,,17.569183979416632,17.491135162214565,,,,10,21,60,53,-60,-53,93.05333201090495,,,,,,,,0
2022-01-14,92.45999908447266,95.77999877929688,92.16000366210938,95.69999694824219,95.22722625732422,1016300,,48.41691745372004,25.848750455154175,,,,10,21,60,53,-60,-53,94.54666646321614,94.51099980672201,,,,,,,0
2022-01-18,95.41000366210938,95.75,92.55999755859375,93.12999725341797,92.669921875,730600,,58.98570409896181,41.65726851069949,,,,10,21,60,53,-60,-53,93.8133316040039,94.38415104259144,,,,,,,0
2022-01-19,93.79000091552734,93.79000091552734,90.91999816894531,91.91999816894531,91.46590423583984,1304300,,52.16385846521533,53.18882667263239,,,,10,21,60,53,-60,-53,92.20999908447266,93.98885068656985,,,,,,,0
2022-01-20,92.02999877929688,94.27999877929688,91.66000366210938,91.87999725341797,91.42610168457031,977500,,26.040872269911628,45.73014494469626,,,,10,21,60,53,-60,-53,92.6066665649414,93.7375444826374,,,,,,,0
2022-01-21,91.43000030517578,92.08999633789062,89.51000213623047,90.33000183105469,89.88375854492188,986000,,17.802448753060713,32.00239316272923,,,,10,21,60,53,-60,-53,90.6433334350586,93.1749606558049,,,,,,,0
2022-01-24,88.20999908447266,90.94999694824219,86.33999633789062,90.51000213623047,90.0628662109375,970000,45.68380087778824,25.71527350291487,23.18619817529574,,,,10,21,60,53,-60,-53,89.26666514078777,92.46436147125632,,,,,,,0
2022-01-25,88.55999755859375,89.9000015258789,86.95999908447266,89.16000366210938,88.71953582763672,969700,42.67493653154238,30.96973650919919,24.829152921724926,,,,10,21,60,53,-60,-53,88.67333475748698,91.77508388693462,,,,,,,0
2022-01-26,89.86000061035156,91.83000183105469,88.26000213623047,89.33999633789062,88.89864349365234,1056100,43.21197253342922,39.204807056583064,31.963272356232377,,,,10,21,60,53,-60,-53,89.81000010172527,91.41779592598746,,,,,,,0
2022-01-27,90.44000244140625,91.33000183105469,86.58999633789062,87.30999755859375,86.87867736816406,757900,38.79741415385743,30.0564680880146,33.41033721793229,,,,10,21,60,53,-60,-53,88.40999857584636,90.87092368050726,,,,,,,0
2022-01-28,86.6500015258789,87.94000244140625,84.54000091552734,87.87999725341797,87.44585418701172,894400,40.631430849633546,33.48969357083477,34.250322905144145,,,,10,21,60,53,-60,-53,86.78666687011719,90.12833153316362,1.9757673887506884,-112.75499609494084,,,,,0
2022-01-31,87.31999969482422,88.98999786376953,86.47000122070312,88.9000015258789,88.46082305908203,836800,43.87273259500715,40.83122466031951,34.79246210638963,,,,10,21,60,53,-60,-53,88.12000020345052,89.76318038230669,1.915296986951685,-57.194965586734554,,,,,0
2022-02-01,88.81999969482422,90.37000274658203,88.33999633789062,89.81999969482422,89.37627410888672,788400,46.69933771846356,59.35068174405077,44.55719999173502,,,,10,21,60,53,-60,-53,89.50999959309895,89.71714751154164,1.604724429040958,-8.605752476620363,,,,,0
2022-02-02,89.4800033569336,91.37000274658203,88.80999755859375,90.72000122070312,90.2718276977539,572700,49.38476541145094,74.23968579755423,58.140530733974835,,,,10,21,60,53,-60,-53,90.3000005086263,89.82312078373884,1.3996617555585025,22.714046113575282,,,,,0
2022-02-03,90.11000061035156,90.80999755859375,88.66999816894531,88.94000244140625,88.5006332397461,710100,44.598843611612125,75.77759153465179,69.7893196920856,,,,10,21,60,53,-60,-53,89.47333272298177,89.75952295451029,1.1972123875530514,-15.936477910626937,,,,,0
2022-02-04,88.4000015258789,89.12000274658203,87.05000305175781,87.94000244140625,87.50556945800781,755000,42.128735263829725,61.63494415864628,70.55074049695077,,,,10,21,60,53,-60,-53,88.0366694132487,89.44627685609909,1.2358296703343852,-76.04108541748485,,,,,0
2022-02-07,88.06999969482422,89.56999969482422,86.9800033569336,88.52999877929688,88.0926513671875,1049300,44.09602835850978,43.24303582202109,60.21852383843972,,,,10,21,60,53,-60,-53,88.36000061035156,89.24877208414499,1.1727281800542109,-50.52443745616263,,,,,0
2022-02-08,89.29000091552734,90.62999725341797,88.80000305175781,90.33000183105469,89.88375854492188,633800,49.71263003493926,47.205734709740966,50.694571563469445,,,,10,21,60,53,-60,-53,89.92000071207683,89.37081365285987,1.059357067174711,34.56102927798369,,,,,0
2022-02-09,91.20999908447266,93.19000244140625,91.20999908447266,92.66000366210938,92.2022476196289,804800,55.89040066249126,67.69419512658381,52.71432188611529,,,,10,21,60,53,-60,-53,92.35333506266277,89.91309027282404,1.3104275622045325,124.1449666363603,,,,,0
2022-02-10,91.44000244140625,92.36000061035156,89.30000305175781,89.87999725341797,89.43597412109375,1068700,48.270809687507125,71.49131634868058,62.13041539500179,,,,10,21,60,53,-60,-53,90.51333363850911,90.02222543022133,1.1614604069469419,28.189120372384128,,,,,0
2022-02-11,90.06999969482422,90.76000213623047,87.13999938964844,87.81999969482422,87.38616180419922,1270800,43.53456395852602,50.56356375910113,63.249691744788514,,,,10,21,60,53,-60,-53,88.57333374023438,89.75879057749643,1.1658233942769618,-67.78938920374337,,,,,0
2022-02-14,87.91999816894531,88.31999969482422,86.51000213623047,87.4800033569336,87.04783630371094,1164000,42.78834319264899,24.915423383675762,48.99010116381916,,,,10,21,60,53,-60,-53,87.4366683959961,89.33658654449637,1.2992951677721098,-97.48455396567304,,,,,0
