Datetime,Open,High,Low,Close,Volume,Weighted Volume
2021-01-04 05:00:00+00:00,152.44,153.51,148.41,149.73,1799168.0,149.800257
2021-01-05 05:00:00+00:00,149.99,151.1935,148.39,149.85,946944.0,149.802181
2021-01-06 05:00:00+00:00,151.62,157.38,151.495,156.98,1718823.0,156.094627
2021-01-07 05:00:00+00:00,157.95,157.9899,155.21,155.86,1410090.0,156.140996
2021-01-08 05:00:00+00:00,156.41,157.3137,153.33,155.4,1287764.0,155.154109
2021-01-11 05:00:00+00:00,154.59,155.45,153.62,154.13,1471236.0,154.308972
2021-01-12 05:00:00+00:00,154.32,156.725,154.055,156.61,1064944.0,156.134686
2021-01-13 05:00:00+00:00,155.67,157.98,155.38,157.12,1113131.0,157.051544
2021-01-14 05:00:00+00:00,157.43,157.63,155.64,155.82,934876.0,156.245785
2021-01-15 05:00:00+00:00,154.79,156.05,152.81,155.19,1436263.0,154.888395
2021-01-19 05:00:00+00:00,155.03,156.15,155.0,155.36,1434527.0,155.521867
2021-01-20 05:00:00+00:00,155.14,156.35,154.12,155.82,1446104.0,155.707151
2021-01-21 05:00:00+00:00,155.86,158.7499,155.62,157.17,2042473.0,157.69064
2021-01-22 05:00:00+00:00,155.53,156.23,152.43,152.53,1505660.0,153.31206
2021-01-25 05:00:00+00:00,151.34,153.03,150.32,152.69,1358452.0,152.146947
2021-01-26 05:00:00+00:00,153.13,153.22,149.93,150.2,1155387.0,151.134644
2021-01-27 05:00:00+00:00,148.01,149.87,144.36,145.1,1581617.0,146.313231
2021-01-28 05:00:00+00:00,146.47,149.15,146.21,147.13,1464598.0,147.525546
2021-01-29 05:00:00+00:00,146.01,146.67,144.0,145.67,2200473.0,145.408578
2021-02-01 05:00:00+00:00,147.01,148.365,146.18,148.04,1714264.0,147.75765
2021-02-02 05:00:00+00:00,149.67,151.96,148.27,150.64,1574938.0,150.960036
2021-02-03 05:00:00+00:00,152.0,155.95,151.05,155.32,2574203.0,154.201311
2021-02-04 05:00:00+00:00,157.17,162.9,156.56,162.73,3183307.0,161.31482
2021-02-05 05:00:00+00:00,163.53,165.14,162.375,162.55,2233777.0,163.488592
2021-02-08 05:00:00+00:00,161.72,166.28,161.22,166.18,2056222.0,164.334191
2021-02-09 05:00:00+00:00,165.57,166.29,164.2,164.53,1555457.0,164.934812
2021-02-10 05:00:00+00:00,164.71,165.96,164.01,164.28,1520557.0,164.801149
2021-02-11 05:00:00+00:00,163.67,166.52,163.39,165.85,1507635.0,165.735107
2021-02-12 05:00:00+00:00,164.46,166.135,161.8,164.16,1558975.0,163.530383
2021-02-16 05:00:00+00:00,165.55,165.78,162.88,164.56,2007690.0,164.737904
2021-02-17 05:00:00+00:00,163.74,166.85,163.36,166.38,1448214.0,165.762929
2021-02-18 05:00:00+00:00,165.29,165.9,163.34,164.78,1362140.0,164.703247
2021-02-19 05:00:00+00:00,165.82,166.19,164.53,164.7,1276848.0,165.044798
2021-02-22 05:00:00+00:00,164.09,169.14,163.81,168.56,2468227.0,167.345826
2021-02-23 05:00:00+00:00,169.82,171.14,168.06,168.75,2095915.0,169.03508
2021-02-24 05:00:00+00:00,168.9,171.66,168.22,170.66,1839575.0,170.466241
2021-02-25 05:00:00+00:00,170.3,171.11,164.62,164.94,1844878.0,166.495447
2021-02-26 05:00:00+00:00,165.2,165.8,162.58,162.58,1976828.0,163.39464
2021-03-01 05:00:00+00:00,164.06,168.64,164.0,167.36,1403453.0,167.148352
2021-03-02 05:00:00+00:00,166.71,169.79,166.17,167.61,1580128.0,168.132153
2021-03-03 05:00:00+00:00,167.71,170.41,167.2152,167.5,2159336.0,168.562038
2021-03-04 05:00:00+00:00,167.46,168.0,163.98,166.0,2068360.0,166.167596
2021-03-05 05:00:00+00:00,168.39,172.54,166.42,171.67,2177590.0,169.808553
2021-03-08 05:00:00+00:00,172.0,176.4,170.87,173.23,1782827.0,173.647428
2021-03-09 05:00:00+00:00,172.03,173.3,169.46,169.65,1784127.0,170.998972
2021-03-10 05:00:00+00:00,170.26,174.05,169.96,173.48,1799244.0,172.84424
2021-03-11 05:00:00+00:00,171.37,173.135,170.82,171.61,2957735.0,171.873839
2021-03-12 05:00:00+00:00,174.05,175.35,173.33,175.05,1393584.0,174.670281
2021-03-15 04:00:00+00:00,175.03,175.335,172.03,174.2,1350523.0,173.638895
2021-03-16 04:00:00+00:00,173.59,173.59,170.18,172.42,969852.0,172.03402
2021-03-17 04:00:00+00:00,173.9,174.21,171.23,173.45,1178958.0,172.961463
2021-03-18 04:00:00+00:00,173.86,179.01,165.2,168.13,4640864.0,170.734853
2021-03-19 04:00:00+00:00,167.41,168.29,159.12,159.23,6915691.0,160.913455
2021-03-22 04:00:00+00:00,159.09,159.97,156.89,157.05,3351532.0,157.79731
2021-03-23 04:00:00+00:00,156.39,159.38,156.08,157.38,3291895.0,157.428373
2021-03-24 04:00:00+00:00,157.99,159.68,156.59,156.62,2326282.0,157.739439
2021-03-25 04:00:00+00:00,157.1,159.45,155.075,158.91,3000318.0,158.164726
2021-03-26 04:00:00+00:00,160.1,160.1,157.81,159.78,1891000.0,158.882943
2021-03-29 04:00:00+00:00,160.46,162.5,157.9,160.34,2791095.0,160.263861
2021-03-30 04:00:00+00:00,160.47,162.45,160.23,161.51,2700982.0,161.604494
2021-03-31 04:00:00+00:00,161.43,162.5,157.8,157.97,2925457.0,158.4788
2021-04-01 04:00:00+00:00,157.47,159.35,157.16,158.99,1987499.0,158.673459
2021-04-05 04:00:00+00:00,160.71,161.52,159.24,159.91,1329584.0,160.082951
2021-04-06 04:00:00+00:00,159.79,161.33,159.35,161.04,1964269.0,160.534286
2021-04-07 04:00:00+00:00,161.88,161.91,160.095,160.95,1251705.0,160.658374
2021-04-08 04:00:00+00:00,159.59,160.47,158.61,159.91,1595020.0,159.744931
2021-04-09 04:00:00+00:00,160.76,161.2,159.5,160.69,2071230.0,160.392023
2021-04-12 04:00:00+00:00,161.34,162.1,160.47,160.94,987838.0,161.171462
2021-04-13 04:00:00+00:00,160.94,161.205,159.18,160.92,1208195.0,160.639515
2021-04-14 04:00:00+00:00,160.68,165.16,160.0,164.11,1221318.0,163.781242
2021-04-15 04:00:00+00:00,164.06,164.44,161.56,162.1,1490868.0,162.271747
2021-04-16 04:00:00+00:00,162.46,164.17,162.46,162.77,1260749.0,163.003471
2021-04-19 04:00:00+00:00,163.06,163.21,160.59,161.71,972720.0,161.576894
2021-04-20 04:00:00+00:00,161.2,162.18,160.37,161.71,1059758.0,161.190263
2021-04-21 04:00:00+00:00,162.0,165.69,161.9,165.07,1261537.0,164.642765
2021-04-22 04:00:00+00:00,164.25,168.729,163.41,166.92,2808343.0,167.425094
2021-04-23 04:00:00+00:00,167.2,169.43,166.97,169.26,1656178.0,168.901963
2021-04-26 04:00:00+00:00,169.1,170.42,165.97,166.03,1427446.0,167.255955
2021-04-27 04:00:00+00:00,165.76,167.24,165.51,166.6,1182488.0,166.691721
2021-04-28 04:00:00+00:00,167.93,169.86,162.21,164.06,2269545.0,164.18293
2021-04-29 04:00:00+00:00,165.68,170.48,164.955,169.5,2859516.0,169.117184
2021-04-30 04:00:00+00:00,169.03,173.31,168.6,171.59,3262733.0,171.726056
2021-05-03 04:00:00+00:00,173.34,174.41,171.13,172.01,2265412.0,172.510167
2021-05-04 04:00:00+00:00,171.55,173.68,171.3,172.71,2443489.0,172.667134
2021-05-05 04:00:00+00:00,171.83,173.38,169.89,171.34,2141680.0,171.282767
2021-05-06 04:00:00+00:00,172.41,173.62,171.33,173.24,2026931.0,172.714861
2021-05-07 04:00:00+00:00,171.5,176.54,171.03,176.39,3031039.0,175.52966
2021-05-10 04:00:00+00:00,176.85,177.19,173.8,173.83,1238318.0,175.3851
2021-05-11 04:00:00+00:00,172.36,172.68,167.27,167.76,3447557.0,168.895969
2021-05-12 04:00:00+00:00,168.98,169.5,164.76,164.92,2369966.0,166.533364
2021-05-13 04:00:00+00:00,164.53,169.84,164.36,168.79,1766563.0,168.152539
2021-05-14 04:00:00+00:00,168.78,170.68,168.37,170.18,1216458.0,169.739246
2021-05-17 04:00:00+00:00,169.81,170.137,168.1,168.49,937024.0,168.818561
2021-05-18 04:00:00+00:00,167.77,167.93,165.63,165.82,2812748.0,166.611557
2021-05-19 04:00:00+00:00,164.68,166.15,163.18,166.1,2675482.0,165.027036
2021-05-20 04:00:00+00:00,166.22,167.21,165.26,166.16,3352153.0,166.236625
2021-05-21 04:00:00+00:00,166.62,168.79,165.68,166.71,2578311.0,167.024673
2021-05-24 04:00:00+00:00,167.65,168.47,165.94,166.66,2924622.0,166.790808
2021-05-25 04:00:00+00:00,166.38,167.89,165.46,165.67,2643813.0,166.677469
2021-05-26 04:00:00+00:00,167.19,167.21,164.75,166.15,2303023.0,166.406307
2021-05-27 04:00:00+00:00,167.23,169.93,166.89,169.35,4827391.0,168.817973
2021-05-28 04:00:00+00:00,170.39,170.86,168.67,169.99,2194500.0,169.866323
2021-06-01 04:00:00+00:00,171.57,173.48,170.01,171.49,2965297.0,171.852317
2021-06-02 04:00:00+00:00,172.68,173.41,170.9213,171.39,1836613.0,171.700312
2021-06-03 04:00:00+00:00,170.61,173.67,170.28,173.4,1895733.0,172.671439
2021-06-04 04:00:00+00:00,173.32,173.41,171.83,173.01,1420965.0,172.612251
2021-06-07 04:00:00+00:00,173.01,173.335,169.355,169.45,2486193.0,169.95182
2021-06-08 04:00:00+00:00,168.64,170.13,168.19,169.82,3064770.0,169.451403
2021-06-09 04:00:00+00:00,169.3,169.8,167.15,167.3,1617082.0,167.828919
2021-06-10 04:00:00+00:00,168.64,168.85,165.3,165.46,1862618.0,166.268949
2021-06-11 04:00:00+00:00,165.95,167.15,165.7609,167.09,1508168.0,166.703094
2021-06-14 04:00:00+00:00,166.76,167.605,165.38,166.46,1731085.0,166.345566
2021-06-15 04:00:00+00:00,167.28,168.8199,166.38,168.1,1549193.0,167.883259
2021-06-16 04:00:00+00:00,167.78,169.28,167.01,167.5,2011492.0,168.101447
2021-06-17 04:00:00+00:00,167.25,167.4259,160.22,160.27,2472191.0,161.72401
2021-06-18 04:00:00+00:00,157.67,159.41,155.78,156.01,4127269.0,156.940162
2021-06-21 04:00:00+00:00,157.14,159.475,156.98,159.03,2064850.0,158.944657
