Datetime,Open,High,Low,Close,Volume,Weighted Volume
2021-01-04 05:00:00+00:00,55.82,56.1214,53.65,54.04,4853062.0,54.292333
2021-01-05 05:00:00+00:00,54.14,56.17,54.0,55.8,3112791.0,55.36817
2021-01-06 05:00:00+00:00,57.02,59.21,56.55,58.43,6208448.0,58.432133
2021-01-07 05:00:00+00:00,59.0,59.77,58.105,58.51,4437561.0,58.818602
2021-01-08 05:00:00+00:00,58.37,58.86,57.75,58.21,4063547.0,58.265434
2021-01-11 05:00:00+00:00,57.7,58.95,57.25,58.86,3455867.0,58.539307
2021-01-12 05:00:00+00:00,59.1,61.21,59.0,61.04,6235742.0,60.49967
2021-01-13 05:00:00+00:00,60.75,61.31,59.66,60.03,3236261.0,60.102216
2021-01-14 05:00:00+00:00,60.21,60.5,59.42,59.65,3578778.0,59.853243
2021-01-15 05:00:00+00:00,58.62,58.82,57.13,57.31,6692942.0,57.675565
2021-01-19 05:00:00+00:00,57.76,58.2,56.33,57.55,4919337.0,57.154191
2021-01-20 05:00:00+00:00,57.87,58.63,57.23,58.57,3724400.0,58.141721
2021-01-21 05:00:00+00:00,58.51,58.77,57.31,57.56,3442039.0,57.9541
2021-01-22 05:00:00+00:00,56.99,57.785,56.87,57.5,2621785.0,57.461199
2021-01-25 05:00:00+00:00,56.86,57.42,55.66,57.23,3682556.0,56.710508
2021-01-26 05:00:00+00:00,57.89,58.25,55.7,55.74,3060282.0,56.41241
2021-01-27 05:00:00+00:00,54.64,55.08,52.66,54.39,6283536.0,54.329803
2021-01-28 05:00:00+00:00,54.0,54.85,53.0,54.38,5817027.0,54.263715
2021-01-29 05:00:00+00:00,53.85,54.705,51.76,51.9,8895444.0,52.485447
2021-02-01 05:00:00+00:00,52.39,52.84,51.33,52.75,4128319.0,52.285411
2021-02-02 05:00:00+00:00,53.56,54.87,52.87,54.61,5229473.0,54.345489
2021-02-03 05:00:00+00:00,54.33,55.395,54.039,55.35,3984229.0,54.924854
2021-02-04 05:00:00+00:00,55.47,56.37,54.82,56.34,4312347.0,56.009379
2021-02-05 05:00:00+00:00,56.74,57.83,56.44,57.24,3732511.0,57.276823
2021-02-08 05:00:00+00:00,57.83,58.26,57.21,57.35,2543282.0,57.593266
2021-02-09 05:00:00+00:00,57.5,57.5153,56.37,56.6,4209540.0,56.661708
2021-02-10 05:00:00+00:00,57.0,58.38,56.48,57.67,3452996.0,57.726333
2021-02-11 05:00:00+00:00,57.81,57.94,56.69,57.67,2326578.0,57.438028
2021-02-12 05:00:00+00:00,57.56,58.27,57.445,58.15,1975051.0,57.971059
2021-02-16 05:00:00+00:00,58.9,59.355,58.54,58.75,4072724.0,58.843784
2021-02-17 05:00:00+00:00,58.58,58.91,57.61,58.54,3277821.0,58.491035
2021-02-18 05:00:00+00:00,58.3,58.665,57.1,57.56,3112563.0,57.703012
2021-02-19 05:00:00+00:00,57.75,60.53,57.75,60.39,4037102.0,59.836382
2021-02-22 05:00:00+00:00,60.62,62.56,60.2,62.48,5672558.0,62.179763
2021-02-23 05:00:00+00:00,62.94,62.97,61.51,62.12,4147279.0,62.227528
2021-02-24 05:00:00+00:00,62.0,63.98,61.943,63.69,4668567.0,63.466725
2021-02-25 05:00:00+00:00,62.48,62.837,61.125,61.35,3260272.0,61.710654
2021-02-26 05:00:00+00:00,60.85,61.05,58.8,59.31,6399697.0,59.840801
2021-03-01 05:00:00+00:00,61.15,62.27,60.57,61.54,4084252.0,61.661973
2021-03-02 05:00:00+00:00,62.21,64.04,61.8,62.73,7316038.0,63.068606
2021-03-03 05:00:00+00:00,62.5,63.39,62.01,62.25,5390315.0,62.639046
2021-03-04 05:00:00+00:00,62.06,62.62,60.09,61.2,6050394.0,61.423535
2021-03-05 05:00:00+00:00,62.12,63.04,60.75,62.91,3883764.0,62.291691
2021-03-08 05:00:00+00:00,63.24,64.2701,62.51,63.44,4437617.0,63.589379
2021-03-09 05:00:00+00:00,63.67,63.71,61.91,62.26,5823245.0,62.373812
2021-03-10 05:00:00+00:00,62.62,64.46,62.37,64.09,4238456.0,63.801665
2021-03-11 05:00:00+00:00,64.4,65.27,64.22,64.32,3651810.0,64.664873
2021-03-12 05:00:00+00:00,64.68,65.05,63.88,64.34,2690951.0,64.351379
2021-03-15 04:00:00+00:00,64.07,64.29,62.45,62.9,5361393.0,62.963054
2021-03-16 04:00:00+00:00,62.69,63.83,61.86,63.18,6461643.0,63.014073
2021-03-17 04:00:00+00:00,63.48,66.25,63.18,66.01,5138887.0,65.575416
