Datetime,Open,High,Low,Close,Volume,Weighted Volume
2021-01-04 05:00:00+00:00,410.44,411.49,391.17,393.72,432715.0,395.420573
2021-01-05 05:00:00+00:00,392.93,398.75,392.93,394.86,381783.0,395.925184
2021-01-06 05:00:00+00:00,395.9,401.21,394.45,397.17,377897.0,397.5484
2021-01-07 05:00:00+00:00,398.25,400.89,391.4,400.01,319949.0,396.607418
2021-01-08 05:00:00+00:00,403.47,404.16,388.325,396.68,418428.0,395.28685
2021-01-11 05:00:00+00:00,393.74,395.815,391.08,391.71,336639.0,393.018559
2021-01-12 05:00:00+00:00,393.62,402.58,390.84,401.66,350615.0,399.695356
2021-01-13 05:00:00+00:00,401.47,402.16,387.41,388.49,400384.0,392.303652
2021-01-14 05:00:00+00:00,389.57,392.08,382.01,383.4,323143.0,385.570958
2021-01-15 05:00:00+00:00,382.0,390.26,378.37,388.66,852540.0,387.69438
2021-01-19 05:00:00+00:00,391.53,395.43,388.66,394.49,340250.0,392.835288
2021-01-20 05:00:00+00:00,396.06,396.06,388.33,392.96,307883.0,392.383992
2021-01-21 05:00:00+00:00,392.0,395.93,389.72,391.15,316550.0,391.806816
2021-01-22 05:00:00+00:00,389.71,395.84,386.57,393.49,248440.0,393.37881
2021-01-25 05:00:00+00:00,393.45,394.78,386.69,387.94,306466.0,388.852041
2021-01-26 05:00:00+00:00,388.02,389.715,376.505,376.69,346307.0,379.5416
2021-01-27 05:00:00+00:00,373.82,374.57,360.97,370.46,636444.0,369.066882
2021-01-28 05:00:00+00:00,371.19,376.7,368.8101,371.91,659990.0,372.470153
2021-01-29 05:00:00+00:00,369.8,374.0,360.94,364.39,460794.0,365.373687
2021-02-01 05:00:00+00:00,367.19,372.64,366.28,370.32,395511.0,369.526563
2021-02-02 05:00:00+00:00,374.8,378.34,369.98,373.11,419483.0,373.757084
2021-02-03 05:00:00+00:00,368.75,371.95,356.23,366.11,661702.0,363.89209
2021-02-04 05:00:00+00:00,368.42,378.36,366.0,372.0,491456.0,373.326918
2021-02-05 05:00:00+00:00,371.51,373.0836,364.72,367.9,431679.0,367.577389
2021-02-08 05:00:00+00:00,369.44,381.92,369.44,378.81,395296.0,377.840145
2021-02-09 05:00:00+00:00,378.0,379.22,372.85,374.69,325258.0,376.036419
