Datetime,Open,High,Low,Close,Volume,Weighted Volume
2021-01-04 05:00:00+00:00,11.9,12.0,11.53,11.57,8007244.0,11.663064
2021-01-05 05:00:00+00:00,11.57,11.87,11.57,11.78,10969207.0,11.739729
2021-01-06 05:00:00+00:00,11.96,12.25,11.92,12.04,9752389.0,12.094252
2021-01-07 05:00:00+00:00,12.16,12.24,11.945,11.97,10019877.0,12.019434
2021-01-08 05:00:00+00:00,11.98,12.03,11.765,11.88,10151157.0,11.895165
2021-01-11 05:00:00+00:00,11.7,12.08,11.67,11.97,7677936.0,11.966904
2021-01-12 05:00:00+00:00,12.04,12.23,11.95,12.14,7114771.0,12.144296
2021-01-13 05:00:00+00:00,12.17,12.245,12.02,12.17,9528466.0,12.146128
2021-01-14 05:00:00+00:00,12.25,12.56,12.16,12.48,9784749.0,12.455622
2021-01-15 05:00:00+00:00,12.62,12.88,12.36,12.54,12836944.0,12.573373
2021-01-19 05:00:00+00:00,12.59,12.655,12.27,12.31,9202843.0,12.360145
2021-01-20 05:00:00+00:00,12.3,12.42,12.26,12.34,4825597.0,12.324056
2021-01-21 05:00:00+00:00,12.34,12.35,12.155,12.26,7016697.0,12.254093
2021-01-22 05:00:00+00:00,12.09,12.16,11.8,12.14,10126768.0,12.010747
2021-01-25 05:00:00+00:00,12.08,12.3,11.845,12.3,9483456.0,12.170116
2021-01-26 05:00:00+00:00,12.36,12.39,12.015,12.22,5967713.0,12.209164
2021-01-27 05:00:00+00:00,12.09,13.15,12.06,13.07,20717755.0,12.879902
2021-01-28 05:00:00+00:00,13.1,13.11,12.56,12.56,10760857.0,12.710567
2021-01-29 05:00:00+00:00,12.51,12.71,12.18,12.34,11396516.0,12.362527
2021-02-01 05:00:00+00:00,12.43,12.53,12.18,12.38,7227008.0,12.363424
2021-02-02 05:00:00+00:00,12.5,12.55,12.25,12.35,6689401.0,12.404905
2021-02-03 05:00:00+00:00,12.3,12.84,12.27,12.72,7341784.0,12.673703
2021-02-04 05:00:00+00:00,12.77,12.985,12.66,12.96,6223727.0,12.890491
2021-02-05 05:00:00+00:00,13.0,13.2,12.925,13.14,7572087.0,13.111783
2021-02-08 05:00:00+00:00,13.19,13.53,13.08,13.5,9014887.0,13.423913
2021-02-09 05:00:00+00:00,13.57,13.685,13.411,13.6,5810982.0,13.583159
2021-02-10 05:00:00+00:00,13.88,14.14,13.685,13.96,17178587.0,13.912406
2021-02-11 05:00:00+00:00,13.91,14.27,13.85,14.19,12300818.0,14.122686
2021-02-12 05:00:00+00:00,14.22,14.4,14.1232,14.38,7384283.0,14.313849
2021-02-16 05:00:00+00:00,14.44,14.58,14.19,14.3,14379448.0,14.33537
2021-02-17 05:00:00+00:00,14.28,14.29,13.84,14.0,12412542.0,14.006384
2021-02-18 05:00:00+00:00,13.91,14.01,13.84,13.94,7934508.0,13.931844
2021-02-19 05:00:00+00:00,14.09,14.235,14.015,14.13,8411944.0,14.134702
2021-02-22 05:00:00+00:00,14.05,14.69,14.032,14.47,13819612.0,14.434625
2021-02-23 05:00:00+00:00,14.5,14.54,14.175,14.47,13424425.0,14.413863
2021-02-24 05:00:00+00:00,14.54,14.875,14.5,14.84,8254661.0,14.756143
2021-02-25 05:00:00+00:00,14.8,14.89,14.405,14.49,14550070.0,14.61432
2021-02-26 05:00:00+00:00,14.5,14.7654,14.31,14.56,16808846.0,14.575067
2021-03-01 05:00:00+00:00,14.83,14.975,14.55,14.6,14612324.0,14.722058
2021-03-02 05:00:00+00:00,14.56,14.65,14.36,14.5,13984056.0,14.514623
2021-03-03 05:00:00+00:00,15.0,15.0599,14.22,14.56,24620048.0,14.557497
