Datetime,Open,High,Low,Close,Volume,Weighted Volume
2021-01-04 05:00:00+00:00,70.34,71.825,67.6,68.25,3380813.0,68.953438
2021-01-05 05:00:00+00:00,68.25,70.02,68.15,69.57,1929375.0,69.407325
2021-01-06 05:00:00+00:00,70.92,74.96,70.7,74.8,1939646.0,74.079003
2021-01-07 05:00:00+00:00,75.92,77.4,74.9,76.39,1166739.0,76.173408
2021-01-08 05:00:00+00:00,76.62,76.8,75.01,75.98,809470.0,75.841105
2021-01-11 05:00:00+00:00,75.06,76.64,75.0,75.31,915893.0,75.644269
2021-01-12 05:00:00+00:00,75.89,76.59,74.43,76.26,728536.0,76.039771
2021-01-13 05:00:00+00:00,75.85,76.26,74.0,74.77,882322.0,74.805781
2021-01-14 05:00:00+00:00,75.21,77.89,74.62,77.58,1307948.0,77.023371
2021-01-15 05:00:00+00:00,76.78,77.2,74.8,76.16,1021378.0,75.963565
2021-01-19 05:00:00+00:00,77.2,78.37,76.62,78.25,1151343.0,77.755418
2021-01-20 05:00:00+00:00,78.62,79.86,78.125,79.27,1328061.0,79.140367
2021-01-21 05:00:00+00:00,79.16,79.81,77.35,77.81,827918.0,78.140452
2021-01-22 05:00:00+00:00,77.56,78.12,76.64,77.66,1034633.0,77.541104
2021-01-25 05:00:00+00:00,77.54,77.7744,74.4133,75.72,697183.0,75.658981
2021-01-26 05:00:00+00:00,76.29,76.29,74.74,74.84,698438.0,75.393441
2021-01-27 05:00:00+00:00,73.17,73.365,70.38,71.67,1189569.0,71.922031
2021-01-28 05:00:00+00:00,72.93,73.43,71.6,72.55,996429.0,72.595157
2021-01-29 05:00:00+00:00,72.15,72.27,69.84,70.47,957009.0,70.757648
2021-02-01 05:00:00+00:00,71.56,73.1,70.465,72.88,1458677.0,71.932068
2021-02-02 05:00:00+00:00,73.93,76.79,73.56,75.82,1320927.0,75.73981
2021-02-03 05:00:00+00:00,75.63,75.63,74.06,74.12,861251.0,74.498857
2021-02-04 05:00:00+00:00,74.26,75.43,73.71,75.31,929492.0,75.035303
2021-02-05 05:00:00+00:00,76.14,76.21,74.8,75.95,687044.0,75.781922
2021-02-08 05:00:00+00:00,76.75,77.07,76.08,76.58,852724.0,76.557978
2021-02-09 05:00:00+00:00,76.65,77.89,76.1,77.17,772987.0,77.156438
2021-02-10 05:00:00+00:00,77.44,77.44,76.15,76.22,848751.0,76.522249
2021-02-11 05:00:00+00:00,76.57,78.53,76.12,77.01,876083.0,76.994976
2021-02-12 05:00:00+00:00,76.7,78.05,76.56,77.87,637268.0,77.337366
2021-02-16 05:00:00+00:00,78.75,79.55,77.34,77.61,629268.0,78.131866
2021-02-17 05:00:00+00:00,77.36,78.02,76.02,76.83,605074.0,76.748599
2021-02-18 05:00:00+00:00,76.36,76.5,73.9,75.88,793895.0,75.536816
