Datetime,Open,High,Low,Close,Volume,Weighted Volume
2021-01-04 05:00:00+00:00,53.22,53.47,51.93,52.76,8649960.0,52.715461
2021-01-05 05:00:00+00:00,51.96,52.95,51.94,52.77,7995727.0,52.584779
2021-01-06 05:00:00+00:00,54.37,57.83,54.04,57.41,16551756.0,56.713834
2021-01-07 05:00:00+00:00,57.89,59.4425,57.63,59.06,10949815.0,58.764725
2021-01-08 05:00:00+00:00,59.0,59.58,58.23,58.98,9165419.0,58.882307
2021-01-11 05:00:00+00:00,58.85,60.35,58.13,60.25,8767889.0,59.830558
2021-01-12 05:00:00+00:00,60.8,62.04,60.44,61.2,12194523.0,61.234077
2021-01-13 05:00:00+00:00,60.65,61.37,59.19,59.51,17171716.0,59.860277
2021-01-14 05:00:00+00:00,59.61,59.79,59.1323,59.33,9165765.0,59.369371
2021-01-15 05:00:00+00:00,58.56,59.17,57.96,58.75,9952427.0,58.710206
2021-01-19 05:00:00+00:00,59.24,59.59,57.83,59.23,8277199.0,59.137341
2021-01-20 05:00:00+00:00,59.35,59.45,58.11,58.61,9798238.0,58.638077
2021-01-21 05:00:00+00:00,58.86,58.97,58.34,58.7,6367143.0,58.715732
2021-01-22 05:00:00+00:00,58.16,58.92,57.9345,58.4,5472359.0,58.489297
2021-01-25 05:00:00+00:00,57.27,58.18,56.6,57.08,7888874.0,57.095397
2021-01-26 05:00:00+00:00,57.49,57.69,56.119,56.21,6786858.0,56.417247
2021-01-27 05:00:00+00:00,55.41,55.41,53.16,53.29,10579816.0,54.040485
2021-01-28 05:00:00+00:00,53.65,55.42,53.57,53.74,11278569.0,54.299752
2021-01-29 05:00:00+00:00,53.26,53.29,50.765,51.54,17772190.0,51.658491
2021-02-01 05:00:00+00:00,52.13,53.72,51.97,53.37,8601101.0,53.062012
2021-02-02 05:00:00+00:00,54.16,55.34,54.11,54.54,8720628.0,54.799613
2021-02-03 05:00:00+00:00,54.68,55.32,52.96,53.46,10230566.0,54.104164
2021-02-04 05:00:00+00:00,53.87,55.2,53.63,55.2,7891037.0,54.669632
2021-02-05 05:00:00+00:00,55.69,56.385,55.29,55.74,7994697.0,55.865789
2021-02-08 05:00:00+00:00,55.98,56.1075,55.22,55.85,5377144.0,55.696266
2021-02-09 05:00:00+00:00,55.89,56.53,54.98,56.27,5541197.0,56.038323
2021-02-10 05:00:00+00:00,56.6,56.89,55.37,55.7,7549406.0,55.818621
2021-02-11 05:00:00+00:00,55.65,56.37,55.41,55.93,6040402.0,55.917283
2021-02-12 05:00:00+00:00,55.93,58.26,55.81,58.19,8138119.0,57.782981
2021-02-16 05:00:00+00:00,58.93,61.35,58.64,60.95,11008933.0,60.727089
2021-02-17 05:00:00+00:00,60.61,61.385,60.36,61.3,9507567.0,60.949564
2021-02-18 05:00:00+00:00,60.99,62.23,60.64,61.93,6157666.0,61.575622
2021-02-19 05:00:00+00:00,62.44,63.45,61.14,61.91,8421356.0,61.997178
2021-02-22 05:00:00+00:00,62.65,63.09,62.08,62.95,8049364.0,62.760972
2021-02-23 05:00:00+00:00,63.45,63.45,61.44,62.67,8613271.0,62.497903
2021-02-24 05:00:00+00:00,63.0,65.43,62.49,64.44,11535329.0,64.647762
2021-02-25 05:00:00+00:00,64.35,65.24,62.97,63.1,10584110.0,63.831769
2021-02-26 05:00:00+00:00,63.08,63.28,61.25,61.72,9543676.0,62.149772
2021-03-01 05:00:00+00:00,62.59,64.93,62.57,64.1,5863697.0,63.950223
2021-03-02 05:00:00+00:00,63.71,64.78,63.43,63.8,6079650.0,63.971516
2021-03-03 05:00:00+00:00,64.26,66.23,63.91,64.96,8831092.0,65.396596
2021-03-04 05:00:00+00:00,64.82,65.17,63.03,64.77,11204326.0,64.290317
2021-03-05 05:00:00+00:00,66.1,66.61,63.04,65.02,10203951.0,64.849431
2021-03-08 05:00:00+00:00,65.32,65.625,64.3434,64.46,8663244.0,64.872858
2021-03-09 05:00:00+00:00,64.03,65.04,62.33,63.75,9761810.0,63.888544
2021-03-10 05:00:00+00:00,64.16,65.07,63.87,65.03,8865603.0,64.698013
2021-03-11 05:00:00+00:00,64.8,66.86,64.55,66.41,9233694.0,66.166482
2021-03-12 05:00:00+00:00,67.0,68.21,66.76,67.65,5643295.0,67.527672
2021-03-15 04:00:00+00:00,67.39,67.65,65.46,66.34,6856439.0,66.060903
2021-03-16 04:00:00+00:00,66.1,66.1,65.02,65.47,5632388.0,65.448327
2021-03-17 04:00:00+00:00,66.67,66.67,65.14,65.7,6881500.0,65.755602
2021-03-18 04:00:00+00:00,66.91,67.9,65.99,66.07,7417383.0,66.952088
2021-03-19 04:00:00+00:00,65.38,66.59,64.8,66.05,10670281.0,65.96827
2021-03-22 04:00:00+00:00,65.34,65.73,64.73,64.77,5138851.0,64.952586
2021-03-23 04:00:00+00:00,64.38,64.93,63.28,63.36,6259631.0,64.009178
2021-03-24 04:00:00+00:00,64.08,65.77,64.02,64.12,5796717.0,64.819839
2021-03-25 04:00:00+00:00,63.86,65.455,63.07,65.13,6220587.0,64.749231
2021-03-26 04:00:00+00:00,66.05,66.069,64.94,65.71,6082163.0,65.598875
2021-03-29 04:00:00+00:00,64.66,65.43,63.6,64.11,8113689.0,64.189302
2021-03-30 04:00:00+00:00,64.28,65.0686,63.98,64.76,6300170.0,64.647523
2021-03-31 04:00:00+00:00,65.41,65.645,64.34,65.18,7536130.0,65.124912
2021-04-01 04:00:00+00:00,65.14,66.49,65.035,66.44,5782989.0,65.915818
2021-04-05 04:00:00+00:00,68.21,68.89,67.77,68.15,8198209.0,68.27646
2021-04-06 04:00:00+00:00,67.88,68.63,67.11,67.3,7350480.0,67.603403
2021-04-07 04:00:00+00:00,67.16,67.6,66.4,67.05,7258715.0,66.844518
2021-04-08 04:00:00+00:00,66.54,66.94,66.08,66.84,6347469.0,66.653346
2021-04-09 04:00:00+00:00,68.32,68.825,67.19,67.57,6282543.0,67.572546
2021-04-12 04:00:00+00:00,67.32,67.92,67.32,67.71,4557243.0,67.674109
2021-04-13 04:00:00+00:00,67.67,67.67,66.195,66.6,4029448.0,66.74549
2021-04-14 04:00:00+00:00,66.99,68.42,66.7,67.43,5914576.0,67.807308
2021-04-15 04:00:00+00:00,66.85,67.49,64.59,65.5,9100850.0,65.255078
2021-04-16 04:00:00+00:00,65.74,65.83,64.34,64.74,9005076.0,64.815536
2021-04-19 04:00:00+00:00,65.03,66.62,64.9225,65.88,7850106.0,65.901437
2021-04-20 04:00:00+00:00,65.37,65.73,63.61,63.69,6730442.0,64.088759
2021-04-21 04:00:00+00:00,63.86,65.46,63.46,65.4,6433690.0,64.830525
2021-04-22 04:00:00+00:00,65.25,66.07,64.335,64.8,8571782.0,65.062358
2021-04-23 04:00:00+00:00,65.07,67.18,64.88,67.14,7260835.0,66.761359
2021-04-26 04:00:00+00:00,67.53,68.85,67.35,67.77,7371479.0,67.929623
2021-04-27 04:00:00+00:00,68.28,69.76,67.865,69.64,8702210.0,68.980191
2021-04-28 04:00:00+00:00,69.61,70.03,69.21,69.86,6311508.0,69.716615
2021-04-29 04:00:00+00:00,70.26,72.16,70.09,71.71,9954407.0,71.403479
2021-04-30 04:00:00+00:00,71.26,71.74,70.21,70.4,8063432.0,70.560387
2021-05-03 04:00:00+00:00,70.83,71.05,69.74,70.94,5376038.0,70.627053
2021-05-04 04:00:00+00:00,70.39,71.625,68.67,70.09,10958707.0,70.249616
2021-05-05 04:00:00+00:00,70.8,71.66,69.57,70.98,8696890.0,70.882387
2021-05-06 04:00:00+00:00,71.28,71.65,70.08,71.52,4757920.0,70.966269
2021-05-07 04:00:00+00:00,70.45,71.88,70.0,71.75,6226163.0,71.176211
2021-05-10 04:00:00+00:00,72.16,72.54,71.08,71.17,5009239.0,71.841421
2021-05-11 04:00:00+00:00,70.01,71.96,69.905,70.63,5345973.0,70.653861
2021-05-12 04:00:00+00:00,71.02,71.47,68.66,69.12,8429078.0,69.680155
2021-05-13 04:00:00+00:00,68.82,71.008,68.75,70.43,6191632.0,70.491846
2021-05-14 04:00:00+00:00,70.66,73.37,70.615,73.25,8112444.0,72.451981
2021-05-17 04:00:00+00:00,73.0,73.24,72.02,73.0,5207488.0,72.753329
2021-05-18 04:00:00+00:00,73.37,73.59,70.86,70.9,5829575.0,71.855679
2021-05-19 04:00:00+00:00,69.78,71.35,69.2,71.21,6552355.0,70.544244
2021-05-20 04:00:00+00:00,71.56,71.625,70.38,70.74,4606584.0,70.863224
2021-05-21 04:00:00+00:00,71.19,72.55,71.01,72.17,5414760.0,72.115101
2021-05-24 04:00:00+00:00,72.33,73.04,72.01,72.61,4538327.0,72.659702
2021-05-25 04:00:00+00:00,72.95,73.5,71.53,71.63,5920262.0,72.04372
2021-05-26 04:00:00+00:00,72.29,72.29,70.7,71.53,7370405.0,71.549544
2021-05-27 04:00:00+00:00,72.45,74.14,71.84,73.85,14693888.0,73.396083
2021-05-28 04:00:00+00:00,73.94,74.31,73.19,73.85,6205797.0,73.889913
2021-06-01 04:00:00+00:00,75.0,75.485,74.16,74.64,6175769.0,74.772504
2021-06-02 04:00:00+00:00,74.84,75.285,74.29,74.93,6881888.0,74.874377
2021-06-03 04:00:00+00:00,74.55,76.34,74.45,76.01,7623668.0,75.82138
2021-06-04 04:00:00+00:00,75.91,76.37,74.51,75.72,5587531.0,75.450573
2021-06-07 04:00:00+00:00,75.94,75.95,74.35,74.73,5661986.0,74.826298
2021-06-08 04:00:00+00:00,74.15,75.17,73.57,75.12,7317083.0,74.700325
2021-06-09 04:00:00+00:00,74.75,74.895,72.25,72.85,9634473.0,73.119513
2021-06-10 04:00:00+00:00,73.8,74.22,72.45,72.62,8713843.0,72.986235
2021-06-11 04:00:00+00:00,72.89,73.98,72.85,73.92,6887264.0,73.671003
2021-06-14 04:00:00+00:00,73.48,73.7299,71.16,72.01,7752640.0,72.122545
2021-06-15 04:00:00+00:00,72.5,73.31,72.03,72.54,7930134.0,72.592956
2021-06-16 04:00:00+00:00,72.07,74.535,71.13,73.75,8797716.0,72.977579
2021-06-17 04:00:00+00:00,74.14,74.33,70.86,72.14,8655514.0,72.043538
2021-06-18 04:00:00+00:00,71.06,71.8,69.28,69.83,17206566.0,70.579198
2021-06-21 04:00:00+00:00,70.83,72.96,70.19,72.74,9458011.0,72.501689
2021-06-22 04:00:00+00:00,72.6,72.75,71.52,72.5,6837504.0,72.287819
2021-06-23 04:00:00+00:00,72.75,73.265,72.47,72.89,7091960.0,72.942569
2021-06-24 04:00:00+00:00,73.07,73.64,72.16,73.39,5876623.0,73.135055
2021-06-25 04:00:00+00:00,73.56,74.27,73.16,73.78,12696060.0,73.820428
2021-06-28 04:00:00+00:00,73.6,73.8,72.58,73.28,4998200.0,73.087062
2021-06-29 04:00:00+00:00,74.15,74.6,73.16,73.22,5308540.0,73.433275
2021-06-30 04:00:00+00:00,72.86,73.1,72.29,72.81,6419928.0,72.791933
2021-07-01 04:00:00+00:00,73.46,73.64,72.94,73.57,4395693.0,73.342985
2021-07-02 04:00:00+00:00,73.13,73.33,71.6121,72.8,6099366.0,72.442739
2021-07-06 04:00:00+00:00,72.61,72.61,70.67,70.77,7675873.0,71.027426
2021-07-07 04:00:00+00:00,70.21,70.64,68.865,70.07,9818656.0,69.953332
2021-07-08 04:00:00+00:00,67.58,68.88,67.33,67.94,10879701.0,68.05232
2021-07-09 04:00:00+00:00,69.41,70.59,68.52,70.55,10303694.0,70.014339
2021-07-12 04:00:00+00:00,69.93,72.01,69.74,71.71,6186609.0,71.524715
2021-07-13 04:00:00+00:00,71.58,72.1,70.96,71.82,7463042.0,71.69003
2021-07-14 04:00:00+00:00,71.35,72.11,69.96,70.2,7550995.0,70.415725
2021-07-15 04:00:00+00:00,69.74,71.56,69.3604,70.55,5705360.0,70.642937
2021-07-16 04:00:00+00:00,70.53,70.65,68.3,68.89,10443726.0,68.857193
2021-07-19 04:00:00+00:00,67.36,68.115,66.2,66.68,8870921.0,66.960074
2021-07-20 04:00:00+00:00,66.6,68.26,65.73,67.94,5819506.0,67.760866
2021-07-21 04:00:00+00:00,68.79,70.01,68.42,69.56,5746150.0,69.631041
2021-07-22 04:00:00+00:00,69.31,69.67,67.14,67.25,8200033.0,67.605131
2021-07-23 04:00:00+00:00,67.52,68.41,67.245,67.91,6047153.0,67.772884
2021-07-26 04:00:00+00:00,67.94,68.63,67.65,68.04,5830389.0,68.013642
2021-07-27 04:00:00+00:00,67.45,67.821,66.6,67.37,3875622.0,67.262873
2021-07-28 04:00:00+00:00,67.65,68.335,67.1295,67.85,5189845.0,67.887882
2021-07-29 04:00:00+00:00,68.4,69.28,67.75,68.57,4462050.0,68.725131
2021-07-30 04:00:00+00:00,68.24,69.12,67.76,67.95,4070838.0,68.167414
2021-08-02 04:00:00+00:00,68.2,69.71,67.62,67.74,4919363.0,68.287425
2021-08-03 04:00:00+00:00,68.17,68.24,66.16,67.41,4831282.0,67.183125
2021-08-04 04:00:00+00:00,66.71,68.31,66.5,67.67,4602302.0,67.789312
2021-08-05 04:00:00+00:00,68.15,69.7,68.01,69.3,4812197.0,69.237957
2021-08-06 04:00:00+00:00,70.3,72.45,70.06,71.93,9355539.0,71.615841
2021-08-09 04:00:00+00:00,71.64,74.1,71.4,73.42,6072988.0,73.275324
2021-08-10 04:00:00+00:00,73.35,74.99,72.92,74.53,5774148.0,74.361678
2021-08-11 04:00:00+00:00,74.84,75.39,74.08,74.81,6272225.0,74.830809
2021-08-12 04:00:00+00:00,74.56,75.5,74.36,75.42,3423965.0,75.089378
2021-08-13 04:00:00+00:00,75.3,75.42,73.45,74.01,3549428.0,74.033061
