Datetime,Open,High,Low,Close,Volume,Weighted Volume
2021-01-04 05:00:00+00:00,64.55,64.65,62.66,63.5,2177446.0,63.33877
2021-01-05 05:00:00+00:00,63.2,64.115,62.89,63.45,2297062.0,63.482266
2021-01-06 05:00:00+00:00,63.7,65.8,63.6937,65.36,1942205.0,65.213276
2021-01-07 05:00:00+00:00,65.46,65.57,63.84,64.61,2969413.0,64.645755
2021-01-08 05:00:00+00:00,65.0,65.01,63.51,64.03,2672418.0,64.02991
2021-01-11 05:00:00+00:00,64.0,65.0,63.802,64.77,2022099.0,64.671512
2021-01-12 05:00:00+00:00,65.02,65.81,63.635,64.01,3261529.0,64.198848
2021-01-13 05:00:00+00:00,63.79,64.75,63.35,64.09,2496449.0,64.184176
2021-01-14 05:00:00+00:00,64.46,65.22,64.01,64.76,1720080.0,64.768283
2021-01-15 05:00:00+00:00,64.73,65.15,63.85,64.75,1653623.0,64.726051
2021-01-19 05:00:00+00:00,65.23,65.33,63.51,63.9,2639009.0,64.0544
2021-01-20 05:00:00+00:00,64.6,66.57,64.2538,66.25,2788083.0,65.823238
2021-01-21 05:00:00+00:00,66.39,67.46,65.74,65.9,2040665.0,66.263838
2021-01-22 05:00:00+00:00,65.88,67.07,65.5,66.52,1910993.0,66.476863
2021-01-25 05:00:00+00:00,66.32,67.25,65.95,66.6,1755829.0,66.586316
2021-01-26 05:00:00+00:00,66.65,67.095,65.34,66.57,1609100.0,66.088181
2021-01-27 05:00:00+00:00,65.82,66.6404,64.35,64.78,2227609.0,65.101006
2021-01-28 05:00:00+00:00,64.55,65.42,64.54,64.96,1391171.0,65.02825
2021-01-29 05:00:00+00:00,64.49,64.78,63.15,64.31,3402174.0,64.191812
2021-02-01 05:00:00+00:00,64.56,64.845,62.59,64.19,1918207.0,63.959019
2021-02-02 05:00:00+00:00,64.5,64.76,63.05,64.22,2028455.0,64.00258
2021-02-03 05:00:00+00:00,64.45,65.9,64.09,65.47,1597357.0,65.276284
2021-02-04 05:00:00+00:00,65.62,66.44,65.365,66.22,1324964.0,66.115058
2021-02-05 05:00:00+00:00,66.44,67.16,66.02,66.18,1667644.0,66.336052
2021-02-08 05:00:00+00:00,68.0,69.14,67.57,67.95,2478185.0,67.991207
2021-02-09 05:00:00+00:00,68.03,69.85,68.03,69.5,2515673.0,69.281579
2021-02-10 05:00:00+00:00,69.88,70.57,68.64,69.28,3333986.0,69.344629
2021-02-11 05:00:00+00:00,65.0,66.38,63.22,65.34,6044197.0,65.149358
2021-02-12 05:00:00+00:00,65.09,66.41,64.76,65.56,2705177.0,65.414982
2021-02-16 05:00:00+00:00,66.0,66.0392,64.8,65.67,2594520.0,65.509674
2021-02-17 05:00:00+00:00,65.6,67.655,65.38,67.22,2262174.0,66.920561
2021-02-18 05:00:00+00:00,67.26,68.38,67.1,67.63,1907794.0,67.795223
2021-02-19 05:00:00+00:00,67.78,68.2,67.23,67.52,1673275.0,67.627651
2021-02-22 05:00:00+00:00,67.83,68.99,67.53,68.36,1832258.0,68.450875
2021-02-23 05:00:00+00:00,68.78,69.05,67.915,68.19,2031136.0,68.340981
2021-02-24 05:00:00+00:00,68.35,69.38,68.29,68.87,1379243.0,68.940302
2021-02-25 05:00:00+00:00,68.85,69.51,67.43,68.31,1667762.0,68.429847
2021-02-26 05:00:00+00:00,68.19,68.53,67.32,67.67,2087820.0,67.865949
2021-03-01 05:00:00+00:00,68.28,69.19,68.28,68.54,1616011.0,68.686946
2021-03-02 05:00:00+00:00,68.86,69.25,68.255,68.68,1811130.0,68.724755
2021-03-03 05:00:00+00:00,69.0,70.61,68.6901,69.96,2573791.0,69.875263
2021-03-04 05:00:00+00:00,70.28,72.95,69.77,72.19,4588304.0,72.052929
2021-03-05 05:00:00+00:00,72.26,73.7897,71.51,72.71,3362940.0,72.584209
2021-03-08 05:00:00+00:00,73.7,74.38,72.77,73.69,2851033.0,73.85966
2021-03-09 05:00:00+00:00,73.48,73.97,72.11,72.39,3763758.0,72.735589
2021-03-10 05:00:00+00:00,72.79,74.52,72.22,74.05,2146631.0,73.748996
2021-03-11 05:00:00+00:00,73.0,75.11,73.0,73.98,2469369.0,74.45628
2021-03-12 05:00:00+00:00,74.5,75.99,74.38,75.51,1506299.0,75.496337
2021-03-15 04:00:00+00:00,75.6,76.82,75.48,76.58,2337029.0,76.430571
2021-03-16 04:00:00+00:00,75.86,76.992,75.5,76.26,2025669.0,76.381514
2021-03-17 04:00:00+00:00,76.76,76.8,75.85,76.38,1681999.0,76.372575
2021-03-18 04:00:00+00:00,76.43,78.14,76.37,76.93,1793140.0,76.996375
2021-03-19 04:00:00+00:00,76.47,77.27,76.21,76.75,5884459.0,76.754988
2021-03-22 04:00:00+00:00,76.36,76.43,74.87,75.47,1976765.0,75.337649
2021-03-23 04:00:00+00:00,75.62,75.63,73.07,73.41,2267361.0,73.857412
2021-03-24 04:00:00+00:00,73.11,74.38,72.71,73.57,1736941.0,73.761668
2021-03-25 04:00:00+00:00,73.92,75.43,72.87,75.35,2099709.0,74.849575
2021-03-26 04:00:00+00:00,75.3,76.13,74.36,75.98,1671839.0,75.454263
2021-03-29 04:00:00+00:00,75.99,76.75,75.67,76.4,1439924.0,76.273415
2021-03-30 04:00:00+00:00,76.59,76.87,75.74,75.95,1439501.0,76.164249
2021-03-31 04:00:00+00:00,75.68,76.04,74.28,74.3,2346939.0,74.731497
2021-04-01 04:00:00+00:00,74.18,75.2,73.3101,74.87,1982899.0,74.566897
2021-04-05 04:00:00+00:00,75.0,75.46,74.13,74.62,1829702.0,74.633794
2021-04-06 04:00:00+00:00,74.63,76.22,74.53,75.89,1853838.0,75.763591
2021-04-07 04:00:00+00:00,76.17,76.7254,75.29,75.72,1751018.0,75.781068
2021-04-08 04:00:00+00:00,75.31,76.37,74.87,76.33,1345719.0,76.038443
2021-04-09 04:00:00+00:00,76.54,76.92,75.97,76.56,1542953.0,76.385707
2021-04-12 04:00:00+00:00,76.76,77.73,76.702,77.56,1248548.0,77.436732
2021-04-13 04:00:00+00:00,77.29,77.54,76.7,76.97,1238891.0,77.233968
2021-04-14 04:00:00+00:00,77.41,78.5,77.39,78.26,1712198.0,78.207855
