Datetime,Open,High,Low,Close,Volume,Weighted Volume
2021-01-04 05:00:00+00:00,144.3,146.89,144.28,146.53,10727414.0,146.023439
2021-01-05 05:00:00+00:00,146.6,147.07,144.49,145.75,8832653.0,145.502094
2021-01-06 05:00:00+00:00,145.09,148.1,145.0111,146.66,7306302.0,147.064516
2021-01-07 05:00:00+00:00,147.37,147.76,146.04,146.65,6845971.0,146.870887
2021-01-08 05:00:00+00:00,146.88,147.0,145.81,146.63,8158750.0,146.401144
2021-01-11 05:00:00+00:00,146.28,147.99,146.0,147.29,8782414.0,147.525414
2021-01-12 05:00:00+00:00,149.0,149.93,148.32,148.97,7791143.0,149.171492
2021-01-13 05:00:00+00:00,148.75,149.07,147.43,147.45,5356541.0,148.103145
2021-01-14 05:00:00+00:00,147.82,148.0,146.035,146.97,7672366.0,146.796238
2021-01-15 05:00:00+00:00,145.14,145.9,143.671,144.64,11973493.0,144.805149
2021-01-19 05:00:00+00:00,144.64,145.07,142.67,143.39,8041153.0,143.52668
2021-01-20 05:00:00+00:00,143.5,145.66,142.89,145.51,7925237.0,144.653154
2021-01-21 05:00:00+00:00,145.36,145.73,144.21,144.85,4783285.0,144.979281
2021-01-22 05:00:00+00:00,145.6,147.34,145.12,146.33,6406452.0,146.350015
2021-01-25 05:00:00+00:00,145.36,146.25,144.27,146.2,6343721.0,145.483524
2021-01-26 05:00:00+00:00,145.63,147.81,145.47,147.51,5010495.0,147.169099
2021-01-27 05:00:00+00:00,146.96,147.86,143.55,143.84,9970114.0,145.093377
2021-01-28 05:00:00+00:00,144.19,146.26,143.63,143.75,7433875.0,144.599018
2021-01-29 05:00:00+00:00,143.18,143.75,140.35,140.49,10836374.0,141.380856
2021-02-01 05:00:00+00:00,140.71,141.49,139.19,139.27,8648363.0,139.718302
2021-02-02 05:00:00+00:00,139.76,142.15,139.4401,140.77,9000788.0,141.221311
2021-02-03 05:00:00+00:00,140.66,142.05,140.63,141.2,4988932.0,141.343567
2021-02-04 05:00:00+00:00,141.79,143.18,141.26,142.53,5782089.0,142.395057
2021-02-05 05:00:00+00:00,143.46,144.85,142.53,144.36,6817249.0,143.979099
2021-02-08 05:00:00+00:00,144.81,145.58,144.46,145.03,5275117.0,144.91252
2021-02-09 05:00:00+00:00,144.58,146.32,144.58,145.83,5302336.0,145.735987
2021-02-10 05:00:00+00:00,145.83,145.9,143.5388,144.13,6192319.0,144.350784
2021-02-11 05:00:00+00:00,144.14,144.95,143.71,144.02,4263820.0,144.256173
2021-02-12 05:00:00+00:00,144.16,144.61,143.67,144.47,4474531.0,144.246334
2021-02-16 05:00:00+00:00,145.94,146.39,144.93,145.66,9309029.0,145.526876
2021-02-17 05:00:00+00:00,144.65,147.5,144.5,147.2,8675565.0,146.340269
2021-02-18 05:00:00+00:00,139.0,140.7,137.5,137.66,32309598.0,138.812426
2021-02-19 05:00:00+00:00,137.69,139.42,137.67,138.34,12201992.0,138.46823
2021-02-22 05:00:00+00:00,137.74,138.34,136.25,137.69,10702210.0,137.265786
2021-02-23 05:00:00+00:00,136.94,137.39,135.06,135.47,10433397.0,135.653416
2021-02-24 05:00:00+00:00,135.87,136.16,133.05,133.21,15521905.0,133.66217
2021-02-25 05:00:00+00:00,133.0,134.01,131.484,131.95,11108232.0,132.637669
2021-02-26 05:00:00+00:00,131.48,131.81,129.86,129.92,14156930.0,130.615176
2021-03-01 05:00:00+00:00,131.58,132.57,131.13,131.37,11544848.0,131.924147
2021-03-02 05:00:00+00:00,131.51,132.75,130.01,130.11,9743566.0,131.115102
2021-03-03 05:00:00+00:00,129.4,129.93,127.55,127.59,13945761.0,128.48334
2021-03-04 05:00:00+00:00,127.86,129.58,126.28,127.53,15115971.0,127.880516
2021-03-05 05:00:00+00:00,126.83,129.7459,126.75,129.12,11357863.0,128.332934
2021-03-08 05:00:00+00:00,129.33,129.84,127.81,127.88,13662797.0,128.672873
2021-03-09 05:00:00+00:00,128.8,129.88,128.32,128.89,10662883.0,129.168685
2021-03-10 05:00:00+00:00,128.9,133.05,128.47,132.18,14976448.0,131.372551
2021-03-11 05:00:00+00:00,133.49,133.49,131.53,132.13,11829888.0,132.353594
2021-03-12 05:00:00+00:00,132.52,134.52,132.0801,134.12,9479187.0,133.475164
2021-03-15 04:00:00+00:00,134.74,134.75,132.825,133.43,8366025.0,133.470924
2021-03-16 04:00:00+00:00,132.86,134.28,132.82,133.39,6626953.0,133.687103
2021-03-17 04:00:00+00:00,132.5,133.14,131.98,132.28,8052060.0,132.363777
2021-03-18 04:00:00+00:00,131.16,131.95,129.93,130.01,9938471.0,130.601829
2021-03-19 04:00:00+00:00,130.13,132.5,129.9,131.74,19234521.0,131.565452
2021-03-22 04:00:00+00:00,131.01,132.45,130.99,132.37,8217950.0,131.986312
2021-03-23 04:00:00+00:00,131.71,134.3,131.63,133.94,9718262.0,133.270271
2021-03-24 04:00:00+00:00,134.4,134.43,133.05,133.11,7849144.0,133.641045
2021-03-25 04:00:00+00:00,133.26,134.5301,132.87,134.01,9375334.0,133.732689
2021-03-26 04:00:00+00:00,134.0,135.2,133.421,135.13,9551168.0,134.430813
2021-03-29 04:00:00+00:00,135.0,137.01,134.6,136.67,10048837.0,136.084955
2021-03-30 04:00:00+00:00,136.15,137.59,135.47,135.74,9076726.0,136.209366
2021-03-31 04:00:00+00:00,135.55,136.86,134.96,135.83,8182012.0,136.177278
