,score
2021-01-04 00:00:00+00:00,0.0
2021-01-06 00:00:00+00:00,-0.3612
2021-01-07 00:00:00+00:00,0.296
2021-01-08 00:00:00+00:00,0.0
2021-01-12 00:00:00+00:00,0.6124
2021-01-13 00:00:00+00:00,0.0
2021-01-20 00:00:00+00:00,0.0
2021-01-26 00:00:00+00:00,-0.3612
2021-02-16 00:00:00+00:00,0.0
2021-02-17 00:00:00+00:00,-0.296
2021-02-18 00:00:00+00:00,-0.7224
2021-02-19 00:00:00+00:00,0.0
2021-02-22 00:00:00+00:00,0.0
2021-03-04 00:00:00+00:00,0.4939
2021-03-26 00:00:00+00:00,0.0
2021-03-29 00:00:00+00:00,0.0
2021-04-07 00:00:00+00:00,0.0772
2021-04-30 00:00:00+00:00,0.0
2021-05-10 00:00:00+00:00,0.0
2021-05-18 00:00:00+00:00,0.0
2021-05-19 00:00:00+00:00,0.0
2021-05-20 00:00:00+00:00,0.0
2021-05-25 00:00:00+00:00,0.0
2021-06-01 00:00:00+00:00,0.0
2021-06-08 00:00:00+00:00,0.0
2021-06-10 00:00:00+00:00,0.0
2021-06-14 00:00:00+00:00,0.0
2021-06-15 00:00:00+00:00,0.0
2021-06-17 00:00:00+00:00,0.0
2021-06-21 00:00:00+00:00,0.3558
2021-06-24 00:00:00+00:00,0.6950000000000001
2021-06-25 00:00:00+00:00,0.0
2021-06-28 00:00:00+00:00,0.0
2021-06-29 00:00:00+00:00,0.0
2021-07-06 00:00:00+00:00,0.14109999999999995
2021-07-15 00:00:00+00:00,0.0
2021-07-21 00:00:00+00:00,0.0
2021-07-26 00:00:00+00:00,1.8894000000000002
2021-07-28 00:00:00+00:00,0.0
2021-08-04 00:00:00+00:00,0.0
2021-08-10 00:00:00+00:00,0.0
2021-08-13 00:00:00+00:00,-0.3612
2021-08-17 00:00:00+00:00,0.0
2021-08-18 00:00:00+00:00,0.0
2021-08-19 00:00:00+00:00,0.296
2021-08-20 00:00:00+00:00,0.0
2021-08-21 00:00:00+00:00,0.0
2021-08-23 00:00:00+00:00,0.296
2021-08-24 00:00:00+00:00,0.3732
2021-08-25 00:00:00+00:00,0.0
2021-08-26 00:00:00+00:00,0.4767
2021-09-08 00:00:00+00:00,0.296
2021-09-09 00:00:00+00:00,0.0
2021-09-13 00:00:00+00:00,0.0
2021-09-24 00:00:00+00:00,0.0
2021-09-29 00:00:00+00:00,-0.3612
2021-10-08 00:00:00+00:00,0.0
2021-10-09 00:00:00+00:00,0.0
2021-10-13 00:00:00+00:00,0.2023
2021-10-25 00:00:00+00:00,-0.296
2021-11-19 00:00:00+00:00,0.0
2021-11-22 00:00:00+00:00,0.0
2021-11-23 00:00:00+00:00,0.2758
2021-11-24 00:00:00+00:00,0.296
2021-12-03 00:00:00+00:00,0.0
2021-12-15 00:00:00+00:00,0.0
2022-01-12 00:00:00+00:00,-0.4588
2022-01-18 00:00:00+00:00,0.0
2022-01-24 00:00:00+00:00,0.0
2022-01-31 00:00:00+00:00,0.0
2022-02-03 00:00:00+00:00,0.0
2022-02-09 00:00:00+00:00,0.0
2022-02-15 00:00:00+00:00,0.0
2022-02-16 00:00:00+00:00,0.6908
2022-02-17 00:00:00+00:00,-0.6703
2022-02-18 00:00:00+00:00,0.0
2022-02-23 00:00:00+00:00,-0.1779
2022-03-02 00:00:00+00:00,-0.296
2022-03-14 00:00:00+00:00,0.0
2022-03-16 00:00:00+00:00,0.34
2022-03-23 00:00:00+00:00,0.0
2022-03-25 00:00:00+00:00,0.0
2022-03-28 00:00:00+00:00,-0.128
2022-03-30 00:00:00+00:00,0.0
2022-03-31 00:00:00+00:00,0.0
2022-04-05 00:00:00+00:00,0.3818
2022-04-06 00:00:00+00:00,0.0
2022-04-08 00:00:00+00:00,-0.0484
2022-04-18 00:00:00+00:00,0.0
2022-04-20 00:00:00+00:00,0.3794
2022-05-04 00:00:00+00:00,0.2263
2022-05-16 00:00:00+00:00,-0.128
2022-05-17 00:00:00+00:00,0.0
2022-05-18 00:00:00+00:00,0.7717
2022-05-19 00:00:00+00:00,0.592
2022-05-23 00:00:00+00:00,-0.296
2022-05-27 00:00:00+00:00,0.0
2022-06-06 00:00:00+00:00,0.0
2022-06-10 00:00:00+00:00,-0.128
2022-06-22 00:00:00+00:00,0.0
2022-06-24 00:00:00+00:00,0.2263
2022-06-29 00:00:00+00:00,0.1779
2022-07-01 00:00:00+00:00,-0.2023
2022-07-05 00:00:00+00:00,-0.4046
2022-07-07 00:00:00+00:00,0.0
2022-07-11 00:00:00+00:00,0.2263
2022-07-13 00:00:00+00:00,0.0
2022-07-14 00:00:00+00:00,0.3818
2022-07-15 00:00:00+00:00,0.0
2022-07-19 00:00:00+00:00,0.0
2022-07-20 00:00:00+00:00,0.3124
2022-07-21 00:00:00+00:00,0.0
2022-07-25 00:00:00+00:00,0.0
2022-07-26 00:00:00+00:00,0.1027
2022-07-27 00:00:00+00:00,0.5663
2022-08-02 00:00:00+00:00,0.8442
2022-08-03 00:00:00+00:00,0.0
2022-08-12 00:00:00+00:00,0.0
2022-08-15 00:00:00+00:00,0.0
2022-08-16 00:00:00+00:00,0.0
2022-08-17 00:00:00+00:00,0.2281
2022-08-18 00:00:00+00:00,-0.3571
2022-08-24 00:00:00+00:00,0.25
2022-08-30 00:00:00+00:00,0.0
2022-09-06 00:00:00+00:00,0.4019
2022-09-09 00:00:00+00:00,0.2732
2022-09-13 00:00:00+00:00,0.0
2022-09-15 00:00:00+00:00,0.4939
