,score
2021-01-29 00:00:00+00:00,0.2023
2021-01-30 00:00:00+00:00,0.0
2021-02-04 00:00:00+00:00,0.0
2021-02-05 00:00:00+00:00,0.1452
2021-02-10 00:00:00+00:00,-0.1779
2021-03-08 00:00:00+00:00,0.23820000000000002
2021-03-12 00:00:00+00:00,0.0
2021-04-21 00:00:00+00:00,0.3612
2021-04-24 00:00:00+00:00,0.0
2021-04-29 00:00:00+00:00,0.0
2021-04-30 00:00:00+00:00,0.0
2021-05-03 00:00:00+00:00,0.0
2021-05-10 00:00:00+00:00,0.0
2021-05-25 00:00:00+00:00,0.2023
2021-06-02 00:00:00+00:00,0.0
2021-06-21 00:00:00+00:00,0.0
2021-06-29 00:00:00+00:00,0.0
2021-07-12 00:00:00+00:00,0.0
2021-07-15 00:00:00+00:00,0.0
2021-07-28 00:00:00+00:00,0.296
2021-07-29 00:00:00+00:00,-0.1531
2021-08-02 00:00:00+00:00,-0.4588
2021-08-03 00:00:00+00:00,-0.128
2021-08-05 00:00:00+00:00,-0.0743
2021-08-06 00:00:00+00:00,0.4767
2021-08-11 00:00:00+00:00,-0.296
2021-08-12 00:00:00+00:00,-0.34
2021-08-13 00:00:00+00:00,0.0
2021-08-24 00:00:00+00:00,0.2023
2021-08-26 00:00:00+00:00,-0.2023
2021-08-30 00:00:00+00:00,0.25
2021-09-02 00:00:00+00:00,0.2023
2021-09-03 00:00:00+00:00,-0.1589
2021-09-13 00:00:00+00:00,0.2023
2021-09-23 00:00:00+00:00,0.5794
2021-10-05 00:00:00+00:00,0.6249
2021-10-14 00:00:00+00:00,0.7906
2021-10-21 00:00:00+00:00,0.0
2021-10-24 00:00:00+00:00,0.0
2021-10-28 00:00:00+00:00,-0.16610000000000003
2021-10-29 00:00:00+00:00,-0.128
2021-11-08 00:00:00+00:00,0.4404
2021-11-11 00:00:00+00:00,0.1779
2021-12-02 00:00:00+00:00,0.0
2022-01-04 00:00:00+00:00,-0.3612
2022-01-07 00:00:00+00:00,-0.3612
2022-01-11 00:00:00+00:00,0.0
2022-02-17 00:00:00+00:00,0.0
2022-02-18 00:00:00+00:00,-1.0455999999999999
2022-02-23 00:00:00+00:00,0.0772
2022-03-14 00:00:00+00:00,0.0
2022-03-22 00:00:00+00:00,0.4767
2022-04-04 00:00:00+00:00,0.0743
2022-04-05 00:00:00+00:00,0.3818
2022-04-21 00:00:00+00:00,-0.6705
2022-04-26 00:00:00+00:00,-0.2023
2022-04-27 00:00:00+00:00,-0.2023
2022-04-28 00:00:00+00:00,-0.33030000000000004
2022-04-29 00:00:00+00:00,-1.4979
2022-05-03 00:00:00+00:00,0.0
2022-05-17 00:00:00+00:00,-0.128
2022-05-23 00:00:00+00:00,-0.4588
2022-06-02 00:00:00+00:00,0.2023
2022-06-03 00:00:00+00:00,0.4939
2022-06-10 00:00:00+00:00,0.4588
2022-06-23 00:00:00+00:00,-0.6705
2022-06-24 00:00:00+00:00,0.3326
2022-06-27 00:00:00+00:00,0.128
2022-07-15 00:00:00+00:00,-0.4588
2022-07-18 00:00:00+00:00,-0.128
2022-07-28 00:00:00+00:00,-0.5348999999999999
2022-07-29 00:00:00+00:00,-0.5868
2022-08-02 00:00:00+00:00,0.0
2022-08-03 00:00:00+00:00,-0.33030000000000004
2022-08-04 00:00:00+00:00,0.4939
2022-08-05 00:00:00+00:00,-0.2023
2022-08-09 00:00:00+00:00,0.4939
2022-08-11 00:00:00+00:00,0.25
2022-08-31 00:00:00+00:00,0.4215
2022-09-06 00:00:00+00:00,-0.2023
2022-09-07 00:00:00+00:00,0.9878
2022-09-15 00:00:00+00:00,0.4939
