,score
2021-01-21 00:00:00+00:00,0.4215
2021-02-04 00:00:00+00:00,0.0
2021-02-05 00:00:00+00:00,0.0
2021-02-08 00:00:00+00:00,0.34
2021-02-10 00:00:00+00:00,0.0
2021-02-11 00:00:00+00:00,0.3818
2021-02-12 00:00:00+00:00,0.0
2021-02-15 00:00:00+00:00,0.34
2021-02-16 00:00:00+00:00,0.0
2021-02-23 00:00:00+00:00,0.0
2021-04-05 00:00:00+00:00,0.34
2021-04-24 00:00:00+00:00,0.0
2021-04-28 00:00:00+00:00,0.0
2021-04-29 00:00:00+00:00,0.0
2021-05-10 00:00:00+00:00,0.34
2021-06-02 00:00:00+00:00,0.0
2021-06-14 00:00:00+00:00,0.34
2021-06-30 00:00:00+00:00,0.0
2021-07-08 00:00:00+00:00,-0.2023
2021-07-25 00:00:00+00:00,0.0
2021-07-27 00:00:00+00:00,0.0
2021-07-28 00:00:00+00:00,0.0
2021-07-29 00:00:00+00:00,-0.4939
2021-07-30 00:00:00+00:00,-0.128
2021-08-03 00:00:00+00:00,-0.4019
2021-08-04 00:00:00+00:00,0.2732
2021-08-05 00:00:00+00:00,0.5574
2021-08-06 00:00:00+00:00,0.4767
2021-08-13 00:00:00+00:00,0.0
2021-08-16 00:00:00+00:00,0.0
2021-08-17 00:00:00+00:00,0.0
2021-08-19 00:00:00+00:00,-0.7845
2021-08-23 00:00:00+00:00,0.0
2021-08-24 00:00:00+00:00,-0.4588
2021-08-25 00:00:00+00:00,-0.3612
2021-08-26 00:00:00+00:00,0.8519
2021-08-27 00:00:00+00:00,0.0
2021-08-31 00:00:00+00:00,0.0
2021-09-01 00:00:00+00:00,0.5574
2021-09-02 00:00:00+00:00,0.0
2021-09-03 00:00:00+00:00,0.128
2021-09-08 00:00:00+00:00,-0.6808
2021-09-10 00:00:00+00:00,0.128
2021-09-27 00:00:00+00:00,0.34
2021-10-09 00:00:00+00:00,0.0
2021-10-24 00:00:00+00:00,0.0
2021-10-25 00:00:00+00:00,0.34
2021-10-27 00:00:00+00:00,0.0
2021-10-28 00:00:00+00:00,-0.6124
2021-10-29 00:00:00+00:00,-0.6597
2021-11-01 00:00:00+00:00,0.34
2021-12-13 00:00:00+00:00,0.0
2022-01-24 00:00:00+00:00,0.34
2022-02-06 00:00:00+00:00,0.0
2022-02-09 00:00:00+00:00,0.0
2022-02-10 00:00:00+00:00,0.4588
2022-02-11 00:00:00+00:00,-0.5574
2022-02-15 00:00:00+00:00,0.0
2022-03-08 00:00:00+00:00,-0.2023
2022-03-14 00:00:00+00:00,0.34
2022-03-28 00:00:00+00:00,0.34
2022-04-26 00:00:00+00:00,-0.2023
2022-04-28 00:00:00+00:00,0.3818
2022-05-02 00:00:00+00:00,0.34
2022-05-04 00:00:00+00:00,-0.2023
2022-07-01 00:00:00+00:00,-0.2023
2022-07-08 00:00:00+00:00,-0.128
2022-07-21 00:00:00+00:00,0.5994
2022-07-22 00:00:00+00:00,0.0
2022-07-28 00:00:00+00:00,0.5423
2022-08-03 00:00:00+00:00,0.0
2022-08-25 00:00:00+00:00,0.5841
2022-09-16 00:00:00+00:00,-0.2023
2022-09-19 00:00:00+00:00,-0.2023
2022-09-22 00:00:00+00:00,-0.2023
