,score
2021-01-26 00:00:00+00:00,0.0
2021-03-15 00:00:00+00:00,0.49829999999999997
2021-04-14 00:00:00+00:00,0.0
2021-04-19 00:00:00+00:00,0.0
2021-04-27 00:00:00+00:00,0.0
2021-05-04 00:00:00+00:00,0.0
2021-05-10 00:00:00+00:00,0.0
2021-05-18 00:00:00+00:00,0.0
2021-05-24 00:00:00+00:00,0.0
2021-05-26 00:00:00+00:00,0.0
2021-05-27 00:00:00+00:00,0.0
2021-06-01 00:00:00+00:00,0.0
2021-06-02 00:00:00+00:00,0.0
2021-06-04 00:00:00+00:00,0.0
2021-06-14 00:00:00+00:00,-0.1589
2021-06-17 00:00:00+00:00,0.296
2021-06-25 00:00:00+00:00,0.0
2021-07-14 00:00:00+00:00,0.0
2021-07-27 00:00:00+00:00,0.2023
2021-08-02 00:00:00+00:00,0.0
2021-09-01 00:00:00+00:00,-0.5201
2021-09-08 00:00:00+00:00,0.0
2021-10-26 00:00:00+00:00,0.0
2021-12-06 00:00:00+00:00,-0.36959999999999993
2022-01-03 00:00:00+00:00,0.2023
2022-01-07 00:00:00+00:00,0.2023
2022-01-20 00:00:00+00:00,0.4215
2022-01-24 00:00:00+00:00,0.0
2022-01-25 00:00:00+00:00,0.0
2022-03-03 00:00:00+00:00,0.2023
2022-03-25 00:00:00+00:00,0.0
2022-04-14 00:00:00+00:00,0.0
2022-04-22 00:00:00+00:00,0.2023
2022-05-02 00:00:00+00:00,0.0
2022-05-17 00:00:00+00:00,0.0
2022-05-24 00:00:00+00:00,-0.2023
2022-05-25 00:00:00+00:00,-0.128
2022-05-31 00:00:00+00:00,0.0
2022-06-01 00:00:00+00:00,-0.128
2022-06-09 00:00:00+00:00,-0.2023
2022-06-10 00:00:00+00:00,-0.35540000000000005
2022-06-14 00:00:00+00:00,-0.2023
2022-06-23 00:00:00+00:00,0.5841
2022-06-30 00:00:00+00:00,-0.1524
2022-07-01 00:00:00+00:00,-0.25
2022-07-06 00:00:00+00:00,-0.128
2022-07-11 00:00:00+00:00,-0.2023
2022-07-12 00:00:00+00:00,-0.2023
2022-07-13 00:00:00+00:00,-0.2023
2022-07-19 00:00:00+00:00,-0.128
2022-07-20 00:00:00+00:00,-0.128
2022-07-26 00:00:00+00:00,0.0
2022-07-28 00:00:00+00:00,-0.0537
2022-08-04 00:00:00+00:00,0.2023
2022-08-17 00:00:00+00:00,-0.4019
2022-08-22 00:00:00+00:00,-0.2023
2022-08-26 00:00:00+00:00,-0.2023
2022-08-29 00:00:00+00:00,-0.2023
2022-08-30 00:00:00+00:00,-0.25
2022-09-01 00:00:00+00:00,-0.2023
2022-09-06 00:00:00+00:00,-0.2023
2022-09-09 00:00:00+00:00,-0.128
2022-09-14 00:00:00+00:00,0.1779
2022-09-15 00:00:00+00:00,-0.33030000000000004
2022-09-22 00:00:00+00:00,-0.0537
2022-09-23 00:00:00+00:00,0.1779
