,score
2021-01-22 00:00:00+00:00,0.6369
2021-10-04 00:00:00+00:00,0.5859
2021-10-06 00:00:00+00:00,0.2732
2021-10-15 00:00:00+00:00,0.47550000000000003
2021-10-18 00:00:00+00:00,0.9861000000000001
2021-10-20 00:00:00+00:00,0.4588
2021-10-21 00:00:00+00:00,0.09960000000000001
2021-10-22 00:00:00+00:00,0.47550000000000003
2021-10-26 00:00:00+00:00,0.7487
2021-11-03 00:00:00+00:00,0.2732
2021-11-26 00:00:00+00:00,-0.3612
2021-12-02 00:00:00+00:00,0.5464
2022-01-10 00:00:00+00:00,1.4265
2022-01-25 00:00:00+00:00,0.1531
2022-02-23 00:00:00+00:00,0.3248
2022-03-02 00:00:00+00:00,0.0
2022-03-07 00:00:00+00:00,0.5106
2022-03-10 00:00:00+00:00,0.2023
2022-03-14 00:00:00+00:00,0.1531
2022-03-28 00:00:00+00:00,0.6249
2022-03-31 00:00:00+00:00,0.5464
2022-04-07 00:00:00+00:00,0.2732
2022-04-08 00:00:00+00:00,0.2732
2022-04-13 00:00:00+00:00,0.0
2022-04-22 00:00:00+00:00,0.5464
2022-04-25 00:00:00+00:00,0.7487
2022-05-02 00:00:00+00:00,0.2732
2022-05-03 00:00:00+00:00,0.4588
2022-05-04 00:00:00+00:00,0.2732
2022-05-31 00:00:00+00:00,0.2732
2022-06-06 00:00:00+00:00,0.8196
2022-06-07 00:00:00+00:00,0.2732
2022-06-08 00:00:00+00:00,0.2732
2022-06-13 00:00:00+00:00,1.5255999999999998
2022-06-14 00:00:00+00:00,0.2732
2022-06-21 00:00:00+00:00,0.4767
2022-06-24 00:00:00+00:00,0.6286
2022-07-02 00:00:00+00:00,0.4404
2022-07-11 00:00:00+00:00,0.4263
2022-07-12 00:00:00+00:00,0.1531
2022-07-19 00:00:00+00:00,0.3062
2022-07-20 00:00:00+00:00,0.2732
2022-07-22 00:00:00+00:00,0.1531
2022-08-02 00:00:00+00:00,0.2732
2022-08-18 00:00:00+00:00,0.5464
2022-08-31 00:00:00+00:00,0.2732
2022-09-01 00:00:00+00:00,0.4588
2022-09-14 00:00:00+00:00,0.3818
2022-09-20 00:00:00+00:00,0.3818
2022-09-21 00:00:00+00:00,0.8196
