,score
2021-01-04 00:00:00+00:00,0.0
2021-01-07 00:00:00+00:00,0.0
2021-01-08 00:00:00+00:00,0.0
2021-01-12 00:00:00+00:00,0.0
2021-01-13 00:00:00+00:00,-0.1589
2021-01-14 00:00:00+00:00,0.5703
2021-01-15 00:00:00+00:00,0.04069999999999996
2021-01-22 00:00:00+00:00,0.7439
2021-01-25 00:00:00+00:00,0.6962
2021-01-26 00:00:00+00:00,0.0
2021-01-27 00:00:00+00:00,0.0
2021-01-28 00:00:00+00:00,0.2023
2021-02-01 00:00:00+00:00,1.7324
2021-02-02 00:00:00+00:00,0.0
2021-02-03 00:00:00+00:00,0.2483
2021-02-09 00:00:00+00:00,0.0
2021-02-11 00:00:00+00:00,0.2023
2021-02-14 00:00:00+00:00,0.0
2021-02-22 00:00:00+00:00,0.0
2021-02-23 00:00:00+00:00,0.4019
2021-02-25 00:00:00+00:00,0.5859
2021-02-28 00:00:00+00:00,0.3612
2021-03-08 00:00:00+00:00,0.6486
2021-03-12 00:00:00+00:00,0.0
2021-03-17 00:00:00+00:00,0.0
2021-04-20 00:00:00+00:00,0.0
2021-04-22 00:00:00+00:00,0.0
2021-05-04 00:00:00+00:00,0.0
2021-05-05 00:00:00+00:00,-0.3612
2021-05-11 00:00:00+00:00,0.2023
2021-05-14 00:00:00+00:00,0.0
2021-05-16 00:00:00+00:00,0.0
2021-05-21 00:00:00+00:00,0.5859
2021-06-14 00:00:00+00:00,0.4939
2021-07-13 00:00:00+00:00,-0.4892
2021-07-14 00:00:00+00:00,0.0
2021-07-19 00:00:00+00:00,0.0
2021-07-27 00:00:00+00:00,0.0
2021-07-29 00:00:00+00:00,0.0
2021-08-02 00:00:00+00:00,0.0
2021-08-03 00:00:00+00:00,0.5267
2021-08-04 00:00:00+00:00,0.3818
2021-08-07 00:00:00+00:00,0.0
2021-08-09 00:00:00+00:00,0.0
2021-08-11 00:00:00+00:00,0.0
2021-09-03 00:00:00+00:00,0.0
2021-09-10 00:00:00+00:00,0.1779
2021-09-23 00:00:00+00:00,-0.0258
2021-10-04 00:00:00+00:00,-0.06239999999999999
2021-10-12 00:00:00+00:00,0.0
2021-10-13 00:00:00+00:00,0.2023
2021-10-20 00:00:00+00:00,-0.296
2021-10-27 00:00:00+00:00,0.4215
2021-11-02 00:00:00+00:00,0.3182
2021-11-03 00:00:00+00:00,0.5841
2021-12-09 00:00:00+00:00,0.8728
2021-12-20 00:00:00+00:00,0.6369
2021-12-27 00:00:00+00:00,0.5106
2022-01-10 00:00:00+00:00,-0.3612
2022-01-11 00:00:00+00:00,-0.128
2022-01-20 00:00:00+00:00,0.0
2022-01-31 00:00:00+00:00,0.3182
2022-02-08 00:00:00+00:00,-0.2263
2022-02-09 00:00:00+00:00,0.3818
2022-02-10 00:00:00+00:00,0.0
2022-02-18 00:00:00+00:00,0.296
2022-02-22 00:00:00+00:00,-0.3612
2022-03-03 00:00:00+00:00,0.4588
2022-03-16 00:00:00+00:00,0.4215
2022-03-18 00:00:00+00:00,0.0
2022-04-05 00:00:00+00:00,-0.4588
2022-04-13 00:00:00+00:00,-0.743
2022-04-14 00:00:00+00:00,-0.25
2022-04-21 00:00:00+00:00,0.0
2022-04-25 00:00:00+00:00,-0.2023
2022-04-28 00:00:00+00:00,-0.2023
2022-05-03 00:00:00+00:00,-0.3612
2022-05-04 00:00:00+00:00,0.1452
2022-05-06 00:00:00+00:00,0.128
2022-05-09 00:00:00+00:00,-0.128
2022-06-13 00:00:00+00:00,0.25649999999999995
2022-06-16 00:00:00+00:00,0.0743
2022-06-22 00:00:00+00:00,-0.2023
2022-07-05 00:00:00+00:00,-0.2023
2022-07-06 00:00:00+00:00,-0.3182
2022-07-08 00:00:00+00:00,-0.25
2022-07-11 00:00:00+00:00,-0.128
2022-07-20 00:00:00+00:00,-0.4588
2022-07-22 00:00:00+00:00,0.0
2022-08-02 00:00:00+00:00,0.3252
2022-08-03 00:00:00+00:00,0.017199999999999993
2022-08-08 00:00:00+00:00,0.0
2022-08-23 00:00:00+00:00,0.0
2022-09-22 00:00:00+00:00,-0.296
2022-09-23 00:00:00+00:00,-0.128
