,score
2021-01-07 00:00:00+00:00,0.0743
2021-01-12 00:00:00+00:00,0.0
2021-01-19 00:00:00+00:00,0.0
2021-01-20 00:00:00+00:00,0.0
2021-02-04 00:00:00+00:00,0.0
2021-02-12 00:00:00+00:00,0.0
2021-02-17 00:00:00+00:00,0.0
2021-02-25 00:00:00+00:00,-0.4858
2021-02-26 00:00:00+00:00,-0.4416
2021-03-03 00:00:00+00:00,-0.128
2021-03-23 00:00:00+00:00,0.0
2021-03-30 00:00:00+00:00,0.2023
2021-04-05 00:00:00+00:00,0.34
2021-04-12 00:00:00+00:00,-0.3527
2021-04-21 00:00:00+00:00,0.4588
2021-04-29 00:00:00+00:00,0.0
2021-04-30 00:00:00+00:00,0.02059999999999995
2021-05-04 00:00:00+00:00,0.2023
2021-05-05 00:00:00+00:00,0.0
2021-05-12 00:00:00+00:00,0.0
2021-05-13 00:00:00+00:00,0.0
2021-05-18 00:00:00+00:00,0.0
2021-05-19 00:00:00+00:00,0.4939
2021-05-22 00:00:00+00:00,-0.1027
2021-05-25 00:00:00+00:00,0.2023
2021-06-01 00:00:00+00:00,0.0
2021-06-11 00:00:00+00:00,0.0
2021-06-15 00:00:00+00:00,0.0
2021-06-17 00:00:00+00:00,0.0
2021-06-18 00:00:00+00:00,0.0
2021-06-23 00:00:00+00:00,0.4404
2021-06-24 00:00:00+00:00,0.0
2021-06-29 00:00:00+00:00,0.0
2021-06-30 00:00:00+00:00,0.0
2021-07-02 00:00:00+00:00,0.0
2021-07-06 00:00:00+00:00,0.2023
2021-07-07 00:00:00+00:00,0.0
2021-07-12 00:00:00+00:00,0.6249
2021-07-13 00:00:00+00:00,0.0
2021-07-14 00:00:00+00:00,0.25
2021-07-16 00:00:00+00:00,0.0
2021-07-19 00:00:00+00:00,0.7906
2021-07-21 00:00:00+00:00,0.0
2021-07-22 00:00:00+00:00,-0.09200000000000003
2021-07-23 00:00:00+00:00,2.694
2021-07-26 00:00:00+00:00,0.0
2021-07-27 00:00:00+00:00,0.2023
2021-07-29 00:00:00+00:00,0.0
2021-07-30 00:00:00+00:00,-0.3818
2021-08-10 00:00:00+00:00,-0.3182
2021-08-17 00:00:00+00:00,0.0
2021-08-21 00:00:00+00:00,0.0
2021-08-31 00:00:00+00:00,0.0
2021-09-01 00:00:00+00:00,0.0
2021-09-17 00:00:00+00:00,-0.3612
2021-10-01 00:00:00+00:00,0.0
2021-10-04 00:00:00+00:00,0.128
2021-10-06 00:00:00+00:00,0.2023
2021-10-08 00:00:00+00:00,0.2023
2021-10-11 00:00:00+00:00,0.0
2021-10-13 00:00:00+00:00,-0.4588
2021-10-14 00:00:00+00:00,-0.8603000000000001
2021-10-15 00:00:00+00:00,-0.128
2021-10-18 00:00:00+00:00,0.0
2021-11-12 00:00:00+00:00,0.2023
2021-11-19 00:00:00+00:00,0.2263
2021-12-15 00:00:00+00:00,0.2023
2021-12-16 00:00:00+00:00,-0.3612
2021-12-23 00:00:00+00:00,0.296
2021-12-27 00:00:00+00:00,0.0
2021-12-31 00:00:00+00:00,0.0
2022-01-03 00:00:00+00:00,0.0
2022-01-04 00:00:00+00:00,0.0
2022-01-05 00:00:00+00:00,0.4286
2022-01-11 00:00:00+00:00,-0.5719
2022-01-13 00:00:00+00:00,-0.34
2022-01-14 00:00:00+00:00,0.0743
2022-01-27 00:00:00+00:00,-0.128
2022-02-28 00:00:00+00:00,-0.128
2022-03-01 00:00:00+00:00,-0.09309999999999996
2022-03-02 00:00:00+00:00,-0.03649999999999998
2022-03-03 00:00:00+00:00,-0.256
2022-03-09 00:00:00+00:00,0.2023
2022-03-11 00:00:00+00:00,0.0
2022-03-16 00:00:00+00:00,0.6369
2022-03-28 00:00:00+00:00,0.3885
2022-03-29 00:00:00+00:00,-0.1027
2022-03-31 00:00:00+00:00,0.5255
2022-04-05 00:00:00+00:00,0.0743
2022-04-06 00:00:00+00:00,0.0
2022-04-12 00:00:00+00:00,0.2023
2022-04-14 00:00:00+00:00,-0.128
2022-04-20 00:00:00+00:00,-0.128
2022-04-22 00:00:00+00:00,-0.128
2022-04-25 00:00:00+00:00,-0.128
2022-04-27 00:00:00+00:00,0.0
2022-04-28 00:00:00+00:00,-0.3758000000000001
2022-04-29 00:00:00+00:00,-0.33940000000000003
2022-05-04 00:00:00+00:00,0.0
2022-05-06 00:00:00+00:00,-0.2023
2022-05-09 00:00:00+00:00,0.2023
2022-05-17 00:00:00+00:00,0.0
2022-06-09 00:00:00+00:00,-0.4588
2022-06-14 00:00:00+00:00,0.0
2022-06-30 00:00:00+00:00,0.0
2022-07-05 00:00:00+00:00,0.0
2022-07-18 00:00:00+00:00,0.0
2022-07-19 00:00:00+00:00,0.0
2022-07-20 00:00:00+00:00,0.0
2022-07-21 00:00:00+00:00,-0.5875
2022-07-22 00:00:00+00:00,0.8148
2022-07-25 00:00:00+00:00,0.0
2022-07-28 00:00:00+00:00,0.0
2022-08-04 00:00:00+00:00,0.0
2022-08-09 00:00:00+00:00,-0.5106
2022-08-16 00:00:00+00:00,0.2023
2022-08-22 00:00:00+00:00,-0.2144
2022-08-26 00:00:00+00:00,0.0
2022-08-29 00:00:00+00:00,-0.5423
2022-09-08 00:00:00+00:00,0.2023
2022-09-13 00:00:00+00:00,0.0
2022-09-22 00:00:00+00:00,-0.128
2022-09-23 00:00:00+00:00,-0.09369999999999998
