,score
2021-01-06 00:00:00+00:00,0.0
2021-01-11 00:00:00+00:00,0.0258
2021-01-12 00:00:00+00:00,-0.4588
2021-01-20 00:00:00+00:00,-0.128
2021-01-21 00:00:00+00:00,0.0
2021-01-27 00:00:00+00:00,-0.128
2021-02-02 00:00:00+00:00,-0.128
2021-02-18 00:00:00+00:00,-0.128
2021-02-24 00:00:00+00:00,0.0
2021-03-08 00:00:00+00:00,0.2023
2021-03-19 00:00:00+00:00,0.0
2021-03-30 00:00:00+00:00,0.0
2021-04-20 00:00:00+00:00,0.0
2021-04-28 00:00:00+00:00,0.0
2021-04-29 00:00:00+00:00,0.0743
2021-05-18 00:00:00+00:00,-0.128
2021-06-21 00:00:00+00:00,0.0
2021-07-20 00:00:00+00:00,-0.128
2021-08-04 00:00:00+00:00,-0.2263
2021-08-17 00:00:00+00:00,-0.128
2021-08-19 00:00:00+00:00,0.2023
2021-08-23 00:00:00+00:00,0.0
2021-08-30 00:00:00+00:00,0.0
2021-08-31 00:00:00+00:00,0.0
2021-09-03 00:00:00+00:00,-0.3612
2021-09-17 00:00:00+00:00,-0.128
2021-09-21 00:00:00+00:00,-0.128
2021-10-19 00:00:00+00:00,-0.128
2021-10-21 00:00:00+00:00,0.0
2021-11-03 00:00:00+00:00,0.0
2021-11-15 00:00:00+00:00,0.6249
2021-12-21 00:00:00+00:00,0.0
2022-01-06 00:00:00+00:00,0.2023
2022-01-10 00:00:00+00:00,0.0
2022-01-21 00:00:00+00:00,-0.128
2022-02-18 00:00:00+00:00,-0.128
2022-02-23 00:00:00+00:00,0.0
2022-04-20 00:00:00+00:00,0.0
2022-04-26 00:00:00+00:00,0.5841
2022-04-27 00:00:00+00:00,-0.2263
2022-05-23 00:00:00+00:00,-0.128
2022-06-07 00:00:00+00:00,-0.128
2022-06-14 00:00:00+00:00,-0.128
2022-06-17 00:00:00+00:00,-0.128
2022-06-21 00:00:00+00:00,0.40499999999999997
2022-06-29 00:00:00+00:00,-0.128
2022-07-13 00:00:00+00:00,0.2263
2022-07-21 00:00:00+00:00,0.0
2022-08-03 00:00:00+00:00,0.0
2022-08-04 00:00:00+00:00,-0.128
2022-08-08 00:00:00+00:00,0.0
2022-08-17 00:00:00+00:00,0.4767
2022-08-23 00:00:00+00:00,0.0
2022-09-06 00:00:00+00:00,0.0743
2022-09-21 00:00:00+00:00,0.4767
