,score
2021-01-08 00:00:00+00:00,0.0
2021-02-04 00:00:00+00:00,0.0
2021-02-25 00:00:00+00:00,0.0
2021-02-26 00:00:00+00:00,-0.296
2021-04-18 00:00:00+00:00,0.0
2021-04-19 00:00:00+00:00,0.2023
2021-05-06 00:00:00+00:00,0.0
2021-06-16 00:00:00+00:00,0.2023
2021-06-22 00:00:00+00:00,0.45230000000000004
2021-07-07 00:00:00+00:00,0.0
2021-07-27 00:00:00+00:00,0.0
2021-08-05 00:00:00+00:00,0.0
2021-08-13 00:00:00+00:00,0.0
2021-08-16 00:00:00+00:00,0.0
2021-08-17 00:00:00+00:00,0.0
2021-08-18 00:00:00+00:00,0.0
2021-08-23 00:00:00+00:00,0.0
2021-08-27 00:00:00+00:00,0.0
2021-09-20 00:00:00+00:00,0.4939
2021-09-22 00:00:00+00:00,0.128
2021-09-24 00:00:00+00:00,0.0
2021-09-27 00:00:00+00:00,0.0
2021-10-02 00:00:00+00:00,0.0
2021-10-07 00:00:00+00:00,0.0
2021-10-09 00:00:00+00:00,0.0
2021-10-11 00:00:00+00:00,0.296
2021-10-15 00:00:00+00:00,0.296
2021-10-18 00:00:00+00:00,0.2732
2021-11-03 00:00:00+00:00,0.0
2021-11-10 00:00:00+00:00,0.0
2021-11-12 00:00:00+00:00,0.0
2022-01-13 00:00:00+00:00,0.2023
2022-01-25 00:00:00+00:00,0.2023
2022-02-24 00:00:00+00:00,0.0
2022-02-25 00:00:00+00:00,0.0
2022-02-28 00:00:00+00:00,0.0
2022-03-01 00:00:00+00:00,0.25
2022-03-07 00:00:00+00:00,-0.1531
2022-04-19 00:00:00+00:00,0.25
2022-04-26 00:00:00+00:00,0.5841
2022-05-05 00:00:00+00:00,0.0
2022-05-27 00:00:00+00:00,0.0
2022-06-30 00:00:00+00:00,0.0743
2022-07-27 00:00:00+00:00,-0.5423
2022-08-04 00:00:00+00:00,0.0
2022-08-09 00:00:00+00:00,0.7096
2022-08-19 00:00:00+00:00,0.0
