,score
2021-01-20 00:00:00+00:00,0.2023
2021-01-22 00:00:00+00:00,0.1779
2021-01-25 00:00:00+00:00,2.0602
2021-01-26 00:00:00+00:00,-0.128
2021-03-03 00:00:00+00:00,-0.6597
2021-03-19 00:00:00+00:00,0.45999999999999996
2021-03-31 00:00:00+00:00,0.8121
2021-04-01 00:00:00+00:00,-0.128
2021-04-19 00:00:00+00:00,0.4215
2021-04-22 00:00:00+00:00,0.0
2021-04-23 00:00:00+00:00,-0.2585
2021-04-26 00:00:00+00:00,-0.4892
2021-05-05 00:00:00+00:00,0.0
2021-06-07 00:00:00+00:00,0.0
2021-06-09 00:00:00+00:00,0.296
2021-06-10 00:00:00+00:00,0.0
2021-06-24 00:00:00+00:00,0.0
2021-07-09 00:00:00+00:00,0.0
2021-07-16 00:00:00+00:00,0.0
2021-07-19 00:00:00+00:00,0.0
2021-07-21 00:00:00+00:00,-0.3612
2021-07-22 00:00:00+00:00,0.0
2021-07-23 00:00:00+00:00,-1.3144
2021-07-26 00:00:00+00:00,-0.128
2021-08-04 00:00:00+00:00,-0.5574
2021-08-26 00:00:00+00:00,0.0
2021-09-07 00:00:00+00:00,0.0
2021-09-09 00:00:00+00:00,0.2023
2021-10-07 00:00:00+00:00,0.0
2021-10-13 00:00:00+00:00,0.0
2021-10-21 00:00:00+00:00,0.0
2021-10-22 00:00:00+00:00,0.0
2021-10-25 00:00:00+00:00,-0.5900000000000001
2021-10-26 00:00:00+00:00,-0.1817
2021-11-10 00:00:00+00:00,-0.6705
2022-01-11 00:00:00+00:00,0.0
2022-01-21 00:00:00+00:00,0.0
2022-01-25 00:00:00+00:00,0.0
2022-01-26 00:00:00+00:00,-0.04300000000000004
2022-01-28 00:00:00+00:00,-0.128
2022-02-10 00:00:00+00:00,0.0
2022-02-24 00:00:00+00:00,0.2023
2022-02-25 00:00:00+00:00,0.0
2022-03-07 00:00:00+00:00,0.0
2022-03-08 00:00:00+00:00,-0.2023
2022-03-10 00:00:00+00:00,-0.2023
2022-03-14 00:00:00+00:00,-0.2023
2022-03-15 00:00:00+00:00,0.128
2022-03-16 00:00:00+00:00,0.0
2022-03-22 00:00:00+00:00,0.0
2022-04-21 00:00:00+00:00,0.0
2022-04-22 00:00:00+00:00,0.296
2022-04-25 00:00:00+00:00,0.25
2022-04-26 00:00:00+00:00,0.0
2022-05-23 00:00:00+00:00,-0.128
2022-06-16 00:00:00+00:00,0.128
2022-06-17 00:00:00+00:00,-0.424
2022-06-22 00:00:00+00:00,0.1027
2022-06-29 00:00:00+00:00,0.4767
2022-07-14 00:00:00+00:00,0.0
2022-07-26 00:00:00+00:00,0.0
2022-07-27 00:00:00+00:00,-0.128
2022-07-28 00:00:00+00:00,0.25
2022-09-22 00:00:00+00:00,0.743
