,score
2021-01-29 00:00:00+00:00,0.4019
2021-02-04 00:00:00+00:00,0.4019
2021-02-16 00:00:00+00:00,-0.4767
2021-02-22 00:00:00+00:00,0.6369
2021-02-23 00:00:00+00:00,-0.1531
2021-02-25 00:00:00+00:00,0.5719
2021-03-03 00:00:00+00:00,0.296
2021-03-10 00:00:00+00:00,-0.128
2021-03-26 00:00:00+00:00,0.0
2021-03-31 00:00:00+00:00,0.4019
2021-04-05 00:00:00+00:00,0.2023
2021-04-06 00:00:00+00:00,0.0
2021-04-07 00:00:00+00:00,-0.3612
2021-04-20 00:00:00+00:00,0.4019
2021-04-27 00:00:00+00:00,-0.2263
2021-05-04 00:00:00+00:00,0.4767
2021-05-06 00:00:00+00:00,0.8402
2021-05-13 00:00:00+00:00,0.0743
2021-05-27 00:00:00+00:00,0.6249
2021-06-02 00:00:00+00:00,0.0
2021-06-03 00:00:00+00:00,0.0
2021-06-11 00:00:00+00:00,0.0
2021-06-17 00:00:00+00:00,0.765
2021-06-22 00:00:00+00:00,0.7506
2021-06-23 00:00:00+00:00,0.7506
2021-06-25 00:00:00+00:00,0.6908
2021-06-28 00:00:00+00:00,0.6908
2021-06-30 00:00:00+00:00,0.7506
2021-07-23 00:00:00+00:00,0.0
2021-07-30 00:00:00+00:00,0.0
2021-08-02 00:00:00+00:00,0.6908
2021-08-03 00:00:00+00:00,-0.5223
2021-08-04 00:00:00+00:00,-0.128
2021-08-05 00:00:00+00:00,0.0
2021-08-19 00:00:00+00:00,0.6597
2021-08-20 00:00:00+00:00,0.2023
2021-09-14 00:00:00+00:00,0.6597
2021-09-27 00:00:00+00:00,0.5719
2021-09-29 00:00:00+00:00,0.7269
2021-09-30 00:00:00+00:00,0.34
2021-10-06 00:00:00+00:00,0.6597
2021-10-14 00:00:00+00:00,0.6369
2021-10-15 00:00:00+00:00,0.6597
2021-11-02 00:00:00+00:00,-0.1531
2021-11-03 00:00:00+00:00,-0.25
2021-11-08 00:00:00+00:00,0.7845
2021-11-10 00:00:00+00:00,0.4939
2021-11-11 00:00:00+00:00,0.6597
2021-12-13 00:00:00+00:00,0.5719
2021-12-14 00:00:00+00:00,0.8483
2022-01-24 00:00:00+00:00,-0.4588
2022-01-26 00:00:00+00:00,-0.4215
2022-02-08 00:00:00+00:00,0.34
2022-02-15 00:00:00+00:00,-0.2023
2022-02-28 00:00:00+00:00,0.6369
2022-03-01 00:00:00+00:00,0.0
2022-03-09 00:00:00+00:00,0.7783
2022-03-10 00:00:00+00:00,0.8286
2022-03-17 00:00:00+00:00,0.5994
2022-03-18 00:00:00+00:00,-0.128
2022-03-24 00:00:00+00:00,0.45230000000000004
2022-03-29 00:00:00+00:00,0.4767
2022-04-14 00:00:00+00:00,0.0
2022-05-03 00:00:00+00:00,0.0
2022-05-04 00:00:00+00:00,0.128
2022-05-06 00:00:00+00:00,0.128
2022-05-11 00:00:00+00:00,0.0
2022-05-31 00:00:00+00:00,0.0
2022-06-07 00:00:00+00:00,0.2023
2022-06-08 00:00:00+00:00,0.2023
2022-06-22 00:00:00+00:00,0.5859
2022-07-19 00:00:00+00:00,0.4588
2022-07-27 00:00:00+00:00,0.4019
2022-08-02 00:00:00+00:00,0.8607
2022-08-03 00:00:00+00:00,0.128
2022-08-18 00:00:00+00:00,0.34
2022-08-22 00:00:00+00:00,0.6166
2022-08-30 00:00:00+00:00,0.2023
2022-09-19 00:00:00+00:00,-0.296
2022-09-20 00:00:00+00:00,0.7783
2022-09-22 00:00:00+00:00,-0.743
