,score
2021-01-07 00:00:00+00:00,-0.25649999999999995
2021-01-26 00:00:00+00:00,0.7003
2021-01-27 00:00:00+00:00,0.4588
2021-01-28 00:00:00+00:00,0.0
2021-01-29 00:00:00+00:00,-0.1531
2021-02-01 00:00:00+00:00,0.5419
2021-02-04 00:00:00+00:00,0.0
2021-02-08 00:00:00+00:00,0.20089999999999997
2021-02-16 00:00:00+00:00,-0.3182
2021-02-23 00:00:00+00:00,0.4019
2021-02-25 00:00:00+00:00,0.5719
2021-02-26 00:00:00+00:00,0.0
2021-03-01 00:00:00+00:00,0.0
2021-03-02 00:00:00+00:00,0.3612
2021-03-22 00:00:00+00:00,-0.1531
2021-03-29 00:00:00+00:00,0.0
2021-03-31 00:00:00+00:00,-0.0772
2021-04-05 00:00:00+00:00,0.0
2021-04-08 00:00:00+00:00,0.2023
2021-04-13 00:00:00+00:00,0.3818
2021-04-14 00:00:00+00:00,0.6885000000000001
2021-04-16 00:00:00+00:00,0.0
2021-04-26 00:00:00+00:00,0.0
2021-04-27 00:00:00+00:00,0.2023
2021-04-30 00:00:00+00:00,0.5574
2021-05-03 00:00:00+00:00,-0.7224
2021-05-04 00:00:00+00:00,0.0
2021-05-06 00:00:00+00:00,0.0
2021-05-10 00:00:00+00:00,0.0
2021-05-13 00:00:00+00:00,0.45230000000000004
2021-06-04 00:00:00+00:00,0.0
2021-06-15 00:00:00+00:00,0.0
2021-06-29 00:00:00+00:00,0.4939
2021-07-13 00:00:00+00:00,0.0
2021-07-21 00:00:00+00:00,0.0
2021-07-27 00:00:00+00:00,0.0
2021-07-28 00:00:00+00:00,0.0
2021-07-29 00:00:00+00:00,0.0
2021-07-30 00:00:00+00:00,0.0
2021-08-03 00:00:00+00:00,0.21460000000000007
2021-08-04 00:00:00+00:00,1.4475
2021-08-06 00:00:00+00:00,0.0
2021-08-11 00:00:00+00:00,0.2023
2021-08-12 00:00:00+00:00,0.0
2021-08-18 00:00:00+00:00,1.2145
2021-08-25 00:00:00+00:00,0.1027
2021-09-07 00:00:00+00:00,0.0
2021-09-08 00:00:00+00:00,0.2023
2021-09-10 00:00:00+00:00,0.0
2021-09-14 00:00:00+00:00,0.3182
2021-09-16 00:00:00+00:00,0.7267
2021-09-23 00:00:00+00:00,0.47550000000000003
2021-09-27 00:00:00+00:00,0.25
2021-10-05 00:00:00+00:00,1.0773000000000001
2021-10-11 00:00:00+00:00,-0.296
2021-10-26 00:00:00+00:00,0.0
2021-10-27 00:00:00+00:00,-0.3612
2021-10-29 00:00:00+00:00,-1.3143
2021-11-02 00:00:00+00:00,0.25
2021-11-04 00:00:00+00:00,-0.128
2021-11-15 00:00:00+00:00,0.0
2021-12-02 00:00:00+00:00,0.4019
2021-12-14 00:00:00+00:00,0.34750000000000003
2021-12-20 00:00:00+00:00,0.25
2021-12-29 00:00:00+00:00,-0.743
2022-01-03 00:00:00+00:00,0.0
2022-01-06 00:00:00+00:00,0.2023
2022-01-10 00:00:00+00:00,0.4355
2022-01-11 00:00:00+00:00,0.2023
2022-01-24 00:00:00+00:00,0.0
2022-01-25 00:00:00+00:00,0.802
2022-01-26 00:00:00+00:00,0.0
2022-01-27 00:00:00+00:00,0.4588
2022-01-28 00:00:00+00:00,0.3182
2022-01-31 00:00:00+00:00,0.0
2022-02-01 00:00:00+00:00,0.20090000000000002
2022-02-02 00:00:00+00:00,-0.128
2022-02-03 00:00:00+00:00,0.0
2022-02-11 00:00:00+00:00,0.0
2022-02-14 00:00:00+00:00,-0.7
2022-02-15 00:00:00+00:00,0.4939
2022-02-25 00:00:00+00:00,0.0
2022-03-02 00:00:00+00:00,0.0
2022-03-07 00:00:00+00:00,0.7224
2022-03-15 00:00:00+00:00,0.2263
2022-03-16 00:00:00+00:00,0.7346
2022-03-22 00:00:00+00:00,0.4588
2022-03-29 00:00:00+00:00,0.424
2022-04-01 00:00:00+00:00,0.0
