,score
2021-01-07 00:00:00+00:00,0.6808
2021-01-08 00:00:00+00:00,0.0
2021-01-11 00:00:00+00:00,0.0
2021-01-12 00:00:00+00:00,0.0
2021-01-13 00:00:00+00:00,0.5574
2021-01-14 00:00:00+00:00,0.0
2021-01-19 00:00:00+00:00,0.0
2021-01-20 00:00:00+00:00,0.0
2021-01-22 00:00:00+00:00,0.3818
2021-01-29 00:00:00+00:00,0.0
2021-02-01 00:00:00+00:00,0.0
2021-02-02 00:00:00+00:00,0.0
2021-02-06 00:00:00+00:00,0.0
2021-02-11 00:00:00+00:00,0.5106
2021-02-12 00:00:00+00:00,0.0
2021-02-17 00:00:00+00:00,0.4019
2021-02-18 00:00:00+00:00,0.0
2021-02-23 00:00:00+00:00,0.592
2021-02-24 00:00:00+00:00,0.6142
2021-03-08 00:00:00+00:00,0.0
2021-03-15 00:00:00+00:00,0.296
2021-03-16 00:00:00+00:00,0.1531
2021-03-24 00:00:00+00:00,0.5574
2021-03-31 00:00:00+00:00,0.0
2021-04-01 00:00:00+00:00,0.0
2021-04-14 00:00:00+00:00,0.296
2021-04-19 00:00:00+00:00,0.0
2021-04-20 00:00:00+00:00,0.7096
2021-04-22 00:00:00+00:00,0.0
2021-04-24 00:00:00+00:00,0.0
2021-04-29 00:00:00+00:00,0.0
2021-05-03 00:00:00+00:00,0.19790000000000002
2021-05-04 00:00:00+00:00,0.0
2021-05-06 00:00:00+00:00,0.0
2021-05-07 00:00:00+00:00,0.0
2021-05-10 00:00:00+00:00,0.0
2021-05-12 00:00:00+00:00,0.0
2021-05-13 00:00:00+00:00,-0.3818
2021-05-18 00:00:00+00:00,0.0
2021-05-20 00:00:00+00:00,0.0
2021-05-24 00:00:00+00:00,0.0
2021-06-08 00:00:00+00:00,0.0
2021-06-14 00:00:00+00:00,0.0
2021-07-01 00:00:00+00:00,-0.6597
2021-07-02 00:00:00+00:00,0.0
2021-07-08 00:00:00+00:00,-0.2023
2021-07-12 00:00:00+00:00,0.0
2021-07-23 00:00:00+00:00,0.0
2021-07-29 00:00:00+00:00,-0.4939
2021-07-30 00:00:00+00:00,0.0
2021-08-04 00:00:00+00:00,0.0
2021-08-05 00:00:00+00:00,0.5574
2021-08-13 00:00:00+00:00,0.0
2021-08-17 00:00:00+00:00,0.0
2021-08-19 00:00:00+00:00,0.0
2021-08-20 00:00:00+00:00,0.3818
2021-08-31 00:00:00+00:00,-0.3612
2021-09-03 00:00:00+00:00,0.0
2021-10-01 00:00:00+00:00,-1.0187
2021-10-14 00:00:00+00:00,-0.6597
2021-10-24 00:00:00+00:00,0.0
2021-10-28 00:00:00+00:00,-0.5352
2021-10-29 00:00:00+00:00,-0.3612
2021-11-01 00:00:00+00:00,0.3818
2021-11-12 00:00:00+00:00,-0.5938000000000001
2021-11-18 00:00:00+00:00,-0.296
2021-11-30 00:00:00+00:00,0.3182
2021-12-09 00:00:00+00:00,0.0
2021-12-14 00:00:00+00:00,-0.128
2021-12-17 00:00:00+00:00,-0.3612
2021-12-20 00:00:00+00:00,0.0
2021-12-23 00:00:00+00:00,-0.3612
2022-01-24 00:00:00+00:00,0.34
2022-01-28 00:00:00+00:00,0.2023
2022-02-04 00:00:00+00:00,0.4404
2022-02-06 00:00:00+00:00,0.0
2022-02-07 00:00:00+00:00,0.0
2022-02-09 00:00:00+00:00,0.25
2022-02-10 00:00:00+00:00,0.8406
2022-02-11 00:00:00+00:00,0.3818
2022-02-14 00:00:00+00:00,-0.4588
2022-02-25 00:00:00+00:00,0.0
2022-03-07 00:00:00+00:00,-0.296
2022-03-09 00:00:00+00:00,-0.296
2022-03-30 00:00:00+00:00,0.5267
2022-04-07 00:00:00+00:00,0.0
2022-04-08 00:00:00+00:00,0.6808
2022-04-19 00:00:00+00:00,0.4019
2022-04-25 00:00:00+00:00,-0.25
2022-04-26 00:00:00+00:00,-0.2023
2022-04-28 00:00:00+00:00,-0.1531
2022-05-02 00:00:00+00:00,0.2732
2022-05-03 00:00:00+00:00,-0.128
2022-05-09 00:00:00+00:00,-0.296
2022-05-16 00:00:00+00:00,0.0
2022-05-17 00:00:00+00:00,-0.4845
2022-05-18 00:00:00+00:00,-1.2966
2022-05-25 00:00:00+00:00,-0.4588
2022-06-02 00:00:00+00:00,-0.4588
2022-06-14 00:00:00+00:00,-0.2023
2022-06-23 00:00:00+00:00,0.305
2022-07-06 00:00:00+00:00,0.0
2022-07-11 00:00:00+00:00,-0.4767
2022-07-18 00:00:00+00:00,0.1027
2022-07-19 00:00:00+00:00,0.2263
2022-07-20 00:00:00+00:00,0.0
2022-07-28 00:00:00+00:00,-0.35540000000000005
2022-07-29 00:00:00+00:00,-0.128
2022-08-01 00:00:00+00:00,0.2732
2022-08-09 00:00:00+00:00,0.0
2022-08-22 00:00:00+00:00,-0.3612
2022-08-23 00:00:00+00:00,0.2732
2022-08-29 00:00:00+00:00,0.3384
2022-09-22 00:00:00+00:00,-0.2023
2022-09-23 00:00:00+00:00,-0.1027
