,score
2021-01-05 00:00:00+00:00,0.2023
2021-01-12 00:00:00+00:00,0.0
2021-01-13 00:00:00+00:00,0.0
2021-01-19 00:00:00+00:00,-0.25
2021-01-20 00:00:00+00:00,0.0
2021-01-21 00:00:00+00:00,0.0
2021-02-05 00:00:00+00:00,1.4275
2021-02-09 00:00:00+00:00,0.4939
2021-02-11 00:00:00+00:00,0.516
2021-02-16 00:00:00+00:00,-0.7906
2021-02-18 00:00:00+00:00,-0.1531
2021-02-22 00:00:00+00:00,-0.2869
2021-02-23 00:00:00+00:00,0.25
2021-02-24 00:00:00+00:00,0.0
2021-02-25 00:00:00+00:00,0.0
2021-03-01 00:00:00+00:00,-0.3182
2021-03-02 00:00:00+00:00,0.4939
2021-03-03 00:00:00+00:00,0.7906
2021-03-04 00:00:00+00:00,0.4939
2021-03-15 00:00:00+00:00,0.7948999999999999
2021-03-19 00:00:00+00:00,0.296
2021-03-22 00:00:00+00:00,0.0
2021-03-26 00:00:00+00:00,0.0
2021-04-06 00:00:00+00:00,0.0
2021-04-12 00:00:00+00:00,0.6369
2021-04-14 00:00:00+00:00,0.0
2021-04-15 00:00:00+00:00,0.0
2021-04-19 00:00:00+00:00,0.2023
2021-04-20 00:00:00+00:00,0.7603
2021-04-22 00:00:00+00:00,0.0
2021-04-29 00:00:00+00:00,0.1779
2021-05-10 00:00:00+00:00,1.2664
2021-05-12 00:00:00+00:00,0.0
2021-05-13 00:00:00+00:00,0.0
2021-05-17 00:00:00+00:00,0.0
2021-06-16 00:00:00+00:00,-0.5574
2021-06-28 00:00:00+00:00,0.0
2021-06-29 00:00:00+00:00,0.0
2021-07-01 00:00:00+00:00,0.0
2021-07-02 00:00:00+00:00,0.0
2021-07-06 00:00:00+00:00,0.0
2021-07-08 00:00:00+00:00,0.0
2021-07-12 00:00:00+00:00,-0.5106
2021-07-14 00:00:00+00:00,0.5106
2021-07-19 00:00:00+00:00,0.0
2021-07-20 00:00:00+00:00,0.0
2021-07-28 00:00:00+00:00,0.1027
2021-07-30 00:00:00+00:00,0.0
2021-08-02 00:00:00+00:00,0.0
2021-08-03 00:00:00+00:00,0.35750000000000004
2021-08-04 00:00:00+00:00,0.1108
2021-08-09 00:00:00+00:00,0.5267
2021-08-10 00:00:00+00:00,0.0
2021-08-13 00:00:00+00:00,0.0
2021-08-20 00:00:00+00:00,-0.3612
2021-09-03 00:00:00+00:00,0.0
2021-09-13 00:00:00+00:00,-0.296
2021-09-20 00:00:00+00:00,0.0
2021-09-23 00:00:00+00:00,0.0
2021-09-28 00:00:00+00:00,0.0
2021-10-01 00:00:00+00:00,0.296
2021-10-06 00:00:00+00:00,0.2023
2021-10-07 00:00:00+00:00,0.0
2021-10-14 00:00:00+00:00,-0.2023
2021-10-15 00:00:00+00:00,1.0206
2021-10-19 00:00:00+00:00,0.729
2021-10-20 00:00:00+00:00,0.0
2021-11-01 00:00:00+00:00,0.0
2021-11-03 00:00:00+00:00,0.0
2021-11-04 00:00:00+00:00,0.0
2021-11-08 00:00:00+00:00,-0.128
2021-11-29 00:00:00+00:00,0.0
2021-12-05 00:00:00+00:00,0.4466
2021-12-09 00:00:00+00:00,0.0
2021-12-14 00:00:00+00:00,0.0
2021-12-22 00:00:00+00:00,0.4215
2022-01-07 00:00:00+00:00,0.7603
2022-01-18 00:00:00+00:00,0.0
2022-01-20 00:00:00+00:00,-0.4767
2022-02-14 00:00:00+00:00,0.4939
2022-02-15 00:00:00+00:00,-0.27759999999999996
2022-02-16 00:00:00+00:00,0.0
2022-02-17 00:00:00+00:00,0.0
2022-02-22 00:00:00+00:00,0.0
2022-03-08 00:00:00+00:00,0.3089
2022-03-10 00:00:00+00:00,0.4767
2022-03-16 00:00:00+00:00,0.4767
2022-03-17 00:00:00+00:00,0.0
2022-03-18 00:00:00+00:00,0.0
2022-03-22 00:00:00+00:00,0.4939
2022-04-08 00:00:00+00:00,0.0
2022-04-13 00:00:00+00:00,0.368
2022-04-14 00:00:00+00:00,0.2263
2022-04-20 00:00:00+00:00,0.0
2022-04-21 00:00:00+00:00,0.0
2022-04-22 00:00:00+00:00,0.4588
2022-04-25 00:00:00+00:00,0.0
2022-04-26 00:00:00+00:00,0.2732
2022-04-28 00:00:00+00:00,-0.7184
2022-05-02 00:00:00+00:00,0.0
2022-05-03 00:00:00+00:00,0.2263
2022-05-04 00:00:00+00:00,0.6808
2022-05-05 00:00:00+00:00,0.0
2022-05-11 00:00:00+00:00,0.4588
2022-05-16 00:00:00+00:00,0.0
2022-05-23 00:00:00+00:00,0.0
2022-05-26 00:00:00+00:00,0.0
2022-06-02 00:00:00+00:00,0.0
2022-06-03 00:00:00+00:00,-0.3182
2022-06-04 00:00:00+00:00,0.1779
2022-06-06 00:00:00+00:00,0.0
2022-06-07 00:00:00+00:00,0.0
2022-06-14 00:00:00+00:00,0.0
2022-06-17 00:00:00+00:00,0.4588
2022-06-22 00:00:00+00:00,0.0
2022-06-23 00:00:00+00:00,0.0
2022-06-28 00:00:00+00:00,0.0
2022-06-29 00:00:00+00:00,-0.1589
2022-06-30 00:00:00+00:00,0.2263
2022-07-05 00:00:00+00:00,0.0
2022-07-06 00:00:00+00:00,0.34
2022-07-11 00:00:00+00:00,0.0
2022-07-14 00:00:00+00:00,0.2263
2022-07-20 00:00:00+00:00,0.128
2022-07-26 00:00:00+00:00,0.0
2022-07-27 00:00:00+00:00,0.8227
2022-08-01 00:00:00+00:00,0.5106
2022-08-02 00:00:00+00:00,-0.023999999999999994
2022-08-10 00:00:00+00:00,0.3248
2022-08-11 00:00:00+00:00,0.4012
2022-08-22 00:00:00+00:00,0.0
2022-09-02 00:00:00+00:00,0.4588
2022-09-06 00:00:00+00:00,0.2263
2022-09-09 00:00:00+00:00,0.0
2022-09-12 00:00:00+00:00,0.0
2022-09-15 00:00:00+00:00,0.2023
2022-09-21 00:00:00+00:00,0.7003
2022-09-22 00:00:00+00:00,0.128
