,score
2021-01-04 00:00:00+00:00,0.2023
2021-01-08 00:00:00+00:00,0.0
2021-01-20 00:00:00+00:00,0.0
2021-02-03 00:00:00+00:00,0.0
2021-02-04 00:00:00+00:00,0.0
2021-02-16 00:00:00+00:00,0.34
2021-03-24 00:00:00+00:00,0.0
2021-04-16 00:00:00+00:00,0.0
2021-04-21 00:00:00+00:00,0.0
2021-04-22 00:00:00+00:00,0.0
2021-05-06 00:00:00+00:00,0.0
2021-06-15 00:00:00+00:00,0.0
2021-06-16 00:00:00+00:00,0.0
2021-06-18 00:00:00+00:00,0.0
2021-07-06 00:00:00+00:00,0.0
2021-07-12 00:00:00+00:00,0.0
2021-07-14 00:00:00+00:00,0.0
2021-07-23 00:00:00+00:00,0.0
2021-07-27 00:00:00+00:00,0.0
2021-07-28 00:00:00+00:00,0.0
2021-07-29 00:00:00+00:00,0.0
2021-07-30 00:00:00+00:00,0.25
2021-08-05 00:00:00+00:00,0.0
2021-08-10 00:00:00+00:00,0.0
2021-08-16 00:00:00+00:00,0.0
2021-08-20 00:00:00+00:00,0.0
2021-08-27 00:00:00+00:00,0.0
2021-11-04 00:00:00+00:00,0.0
2021-11-12 00:00:00+00:00,0.0
2022-02-08 00:00:00+00:00,0.0
2022-02-10 00:00:00+00:00,0.0
2022-03-10 00:00:00+00:00,0.2023
2022-03-11 00:00:00+00:00,-0.1531
2022-04-25 00:00:00+00:00,-0.04769999999999999
2022-05-04 00:00:00+00:00,0.0
2022-05-05 00:00:00+00:00,0.0
2022-06-01 00:00:00+00:00,0.0
2022-06-07 00:00:00+00:00,0.1779
2022-06-14 00:00:00+00:00,-0.2023
2022-06-15 00:00:00+00:00,0.2263
2022-06-22 00:00:00+00:00,-0.2023
2022-06-30 00:00:00+00:00,0.2263
2022-07-14 00:00:00+00:00,-0.128
2022-07-15 00:00:00+00:00,0.2263
2022-07-18 00:00:00+00:00,0.0
2022-07-19 00:00:00+00:00,0.4588
2022-07-20 00:00:00+00:00,0.2023
2022-07-27 00:00:00+00:00,0.0
2022-07-28 00:00:00+00:00,0.128
2022-08-01 00:00:00+00:00,0.0
2022-08-02 00:00:00+00:00,0.0
2022-08-04 00:00:00+00:00,0.128
2022-09-06 00:00:00+00:00,0.2023
