,score
2021-01-02 00:00:00+00:00,0.0
2021-01-06 00:00:00+00:00,0.296
2021-01-07 00:00:00+00:00,-0.0258
2021-01-19 00:00:00+00:00,0.0
2021-01-21 00:00:00+00:00,0.0
2021-01-25 00:00:00+00:00,-0.3612
2021-02-03 00:00:00+00:00,0.0
2021-02-05 00:00:00+00:00,0.0
2021-02-08 00:00:00+00:00,0.0
2021-02-10 00:00:00+00:00,0.0
2021-02-16 00:00:00+00:00,0.0
2021-02-17 00:00:00+00:00,0.0
2021-02-19 00:00:00+00:00,0.0
2021-02-23 00:00:00+00:00,-1.5562
2021-02-24 00:00:00+00:00,0.3612
2021-02-25 00:00:00+00:00,0.2023
2021-03-02 00:00:00+00:00,0.0
2021-03-03 00:00:00+00:00,0.6705
2021-03-09 00:00:00+00:00,0.0
2021-03-10 00:00:00+00:00,0.0
2021-03-11 00:00:00+00:00,-0.4588
2021-03-15 00:00:00+00:00,-0.3612
2021-03-16 00:00:00+00:00,0.0
2021-03-17 00:00:00+00:00,0.0
2021-03-18 00:00:00+00:00,0.2625
2021-03-19 00:00:00+00:00,0.0
2021-03-20 00:00:00+00:00,0.0
2021-03-22 00:00:00+00:00,0.9769000000000001
2021-03-24 00:00:00+00:00,-0.7096
2021-03-25 00:00:00+00:00,0.8791
2021-03-26 00:00:00+00:00,-0.1589
2021-03-27 00:00:00+00:00,0.0
2021-03-28 00:00:00+00:00,-0.4215
2021-03-29 00:00:00+00:00,0.0
2021-03-30 00:00:00+00:00,-0.34
2021-03-31 00:00:00+00:00,0.0
2021-04-03 00:00:00+00:00,0.0
2021-04-06 00:00:00+00:00,0.0
2021-04-08 00:00:00+00:00,0.4767
2021-04-12 00:00:00+00:00,0.0
2021-04-13 00:00:00+00:00,0.0
2021-04-14 00:00:00+00:00,-0.3527
2021-04-19 00:00:00+00:00,0.0258
2021-04-20 00:00:00+00:00,0.3598
2021-04-22 00:00:00+00:00,0.3124
2021-04-23 00:00:00+00:00,0.0
2021-04-28 00:00:00+00:00,0.4927
2021-05-07 00:00:00+00:00,0.592
2021-05-09 00:00:00+00:00,0.0
2021-05-11 00:00:00+00:00,1.0199
2021-05-13 00:00:00+00:00,0.296
2021-05-14 00:00:00+00:00,-0.29159999999999997
2021-05-15 00:00:00+00:00,0.6369
2021-05-18 00:00:00+00:00,0.0
2021-05-25 00:00:00+00:00,0.0
2021-05-28 00:00:00+00:00,-0.7096
2021-06-01 00:00:00+00:00,0.0258
2021-06-04 00:00:00+00:00,0.0
2021-06-08 00:00:00+00:00,0.32470000000000004
2021-06-09 00:00:00+00:00,-0.1027
2021-06-10 00:00:00+00:00,0.0
2021-06-14 00:00:00+00:00,-0.128
2021-06-15 00:00:00+00:00,0.0
2021-06-16 00:00:00+00:00,0.8974
2021-06-17 00:00:00+00:00,1.1049
2021-06-21 00:00:00+00:00,0.5982
2021-06-22 00:00:00+00:00,-0.128
2021-06-23 00:00:00+00:00,0.0
2021-06-24 00:00:00+00:00,0.954
2021-06-25 00:00:00+00:00,0.6399999999999999
2021-06-28 00:00:00+00:00,0.0
2021-06-29 00:00:00+00:00,0.0
2021-06-30 00:00:00+00:00,0.0
2021-07-01 00:00:00+00:00,0.0
2021-07-02 00:00:00+00:00,0.4588
2021-07-04 00:00:00+00:00,0.4019
2021-07-06 00:00:00+00:00,-0.296
2021-07-07 00:00:00+00:00,0.0
2021-07-08 00:00:00+00:00,-0.0258
2021-07-09 00:00:00+00:00,0.0
2021-07-12 00:00:00+00:00,0.0
2021-07-13 00:00:00+00:00,0.4215
2021-07-14 00:00:00+00:00,0.7948999999999999
2021-07-15 00:00:00+00:00,0.0
2021-07-16 00:00:00+00:00,0.6369
2021-07-19 00:00:00+00:00,-0.25060000000000004
2021-07-20 00:00:00+00:00,-0.4588
2021-07-21 00:00:00+00:00,0.0
2021-07-22 00:00:00+00:00,0.0
2021-07-23 00:00:00+00:00,0.4404
2021-07-26 00:00:00+00:00,0.0
2021-07-27 00:00:00+00:00,0.0
2021-07-28 00:00:00+00:00,0.0
2021-07-29 00:00:00+00:00,0.4404
2021-07-30 00:00:00+00:00,0.0
2021-08-02 00:00:00+00:00,0.2023
2021-08-03 00:00:00+00:00,0.2263
2021-08-04 00:00:00+00:00,0.0
2021-08-05 00:00:00+00:00,0.0
2021-08-06 00:00:00+00:00,0.0
2021-08-11 00:00:00+00:00,0.0
2021-08-12 00:00:00+00:00,0.3612
2021-08-17 00:00:00+00:00,0.0
2021-08-18 00:00:00+00:00,0.3182
2021-08-21 00:00:00+00:00,0.0
2021-08-23 00:00:00+00:00,0.0
2021-08-27 00:00:00+00:00,0.7003
2021-08-30 00:00:00+00:00,0.0
2021-08-31 00:00:00+00:00,0.0
2021-09-01 00:00:00+00:00,0.0
2021-09-07 00:00:00+00:00,-0.3612
2021-09-09 00:00:00+00:00,-0.296
2021-09-10 00:00:00+00:00,0.0
2021-09-12 00:00:00+00:00,0.25
2021-09-13 00:00:00+00:00,0.2023
2021-09-15 00:00:00+00:00,0.0
2021-09-16 00:00:00+00:00,0.4927
2021-09-18 00:00:00+00:00,0.0
2021-09-19 00:00:00+00:00,0.0
2021-09-20 00:00:00+00:00,-0.128
2021-09-21 00:00:00+00:00,0.0
2021-09-23 00:00:00+00:00,-0.4213
2021-09-24 00:00:00+00:00,-0.2899
2021-09-25 00:00:00+00:00,0.0
2021-09-27 00:00:00+00:00,-0.6611
2021-09-28 00:00:00+00:00,0.0
2021-09-29 00:00:00+00:00,0.3612
2021-09-30 00:00:00+00:00,0.27909999999999996
2021-10-02 00:00:00+00:00,0.2732
2021-10-05 00:00:00+00:00,0.16379999999999997
2021-10-06 00:00:00+00:00,0.0
2021-10-07 00:00:00+00:00,0.7845
2021-10-11 00:00:00+00:00,0.3612
2021-10-12 00:00:00+00:00,0.2023
2021-10-13 00:00:00+00:00,0.0
2021-10-20 00:00:00+00:00,0.0
2021-10-22 00:00:00+00:00,0.0
2021-10-26 00:00:00+00:00,-0.296
2021-10-27 00:00:00+00:00,0.0
2021-10-28 00:00:00+00:00,0.0
2021-10-29 00:00:00+00:00,0.0
2021-10-31 00:00:00+00:00,0.0
2021-11-02 00:00:00+00:00,0.6778
2021-11-03 00:00:00+00:00,0.2702
2021-11-04 00:00:00+00:00,0.0
2021-11-07 00:00:00+00:00,-0.2732
2021-11-11 00:00:00+00:00,-0.0258
