,score
2021-01-11 00:00:00+00:00,-0.2023
2021-02-01 00:00:00+00:00,0.0
2021-02-02 00:00:00+00:00,0.3818
2021-02-10 00:00:00+00:00,0.0
2021-03-16 00:00:00+00:00,0.2023
2021-03-17 00:00:00+00:00,0.0
2021-03-29 00:00:00+00:00,0.2023
2021-04-15 00:00:00+00:00,0.0
2021-04-19 00:00:00+00:00,0.296
2021-04-20 00:00:00+00:00,0.0
2021-04-23 00:00:00+00:00,0.0
2021-04-26 00:00:00+00:00,0.3818
2021-04-27 00:00:00+00:00,0.3818
2021-04-28 00:00:00+00:00,0.0
2021-05-18 00:00:00+00:00,0.0
2021-06-01 00:00:00+00:00,0.0
2021-06-07 00:00:00+00:00,0.0
2021-06-10 00:00:00+00:00,0.0
2021-06-29 00:00:00+00:00,0.0
2021-07-02 00:00:00+00:00,0.0
2021-07-07 00:00:00+00:00,0.2023
2021-07-08 00:00:00+00:00,0.0
2021-07-14 00:00:00+00:00,0.0
2021-07-16 00:00:00+00:00,0.0
2021-07-21 00:00:00+00:00,0.0
2021-07-22 00:00:00+00:00,0.0
2021-07-23 00:00:00+00:00,0.0
2021-07-26 00:00:00+00:00,0.0
2021-07-27 00:00:00+00:00,1.1397
2021-07-29 00:00:00+00:00,0.296
2021-08-02 00:00:00+00:00,0.0
2021-08-12 00:00:00+00:00,0.0
2021-08-27 00:00:00+00:00,0.0
2021-09-17 00:00:00+00:00,0.296
2021-09-23 00:00:00+00:00,0.9176
2021-10-04 00:00:00+00:00,0.0
2021-10-07 00:00:00+00:00,0.0
2021-10-08 00:00:00+00:00,0.7023
2021-10-25 00:00:00+00:00,0.0
2021-10-26 00:00:00+00:00,0.25379999999999997
2021-11-19 00:00:00+00:00,0.0
2021-12-08 00:00:00+00:00,0.0
2021-12-17 00:00:00+00:00,0.0
2021-12-21 00:00:00+00:00,0.8831
2022-01-28 00:00:00+00:00,0.0
2022-01-31 00:00:00+00:00,0.34
2022-02-17 00:00:00+00:00,-0.6705
2022-03-16 00:00:00+00:00,0.34
2022-04-08 00:00:00+00:00,0.7506
2022-04-14 00:00:00+00:00,0.0
2022-04-22 00:00:00+00:00,0.0
2022-04-25 00:00:00+00:00,0.050999999999999934
2022-04-26 00:00:00+00:00,0.017199999999999993
2022-05-04 00:00:00+00:00,0.0
2022-05-24 00:00:00+00:00,-0.1589
2022-06-13 00:00:00+00:00,-0.2023
2022-06-14 00:00:00+00:00,-0.2023
2022-06-22 00:00:00+00:00,-0.128
2022-06-27 00:00:00+00:00,0.296
2022-06-29 00:00:00+00:00,0.128
2022-07-06 00:00:00+00:00,0.128
2022-07-07 00:00:00+00:00,0.5703
2022-07-08 00:00:00+00:00,-0.4588
2022-07-13 00:00:00+00:00,0.0
2022-07-26 00:00:00+00:00,0.0
2022-07-27 00:00:00+00:00,-0.2811
2022-07-28 00:00:00+00:00,1.0906
2022-08-03 00:00:00+00:00,0.296
2022-09-12 00:00:00+00:00,0.0
