,score
2021-01-01 00:00:00+00:00,-0.6249
2021-01-05 00:00:00+00:00,0.2732
2021-01-12 00:00:00+00:00,0.2732
2021-01-15 00:00:00+00:00,0.0
2021-02-11 00:00:00+00:00,0.0
2021-02-12 00:00:00+00:00,0.1531
2021-02-15 00:00:00+00:00,0.0
2021-02-16 00:00:00+00:00,0.4511
2021-02-17 00:00:00+00:00,0.0
2021-02-19 00:00:00+00:00,0.0
2021-02-22 00:00:00+00:00,-0.2263
2021-02-23 00:00:00+00:00,-0.1326
2021-03-02 00:00:00+00:00,0.0
2021-03-11 00:00:00+00:00,0.2023
2021-03-25 00:00:00+00:00,-0.2732
2021-04-05 00:00:00+00:00,0.0
2021-04-06 00:00:00+00:00,-0.07089999999999999
2021-04-12 00:00:00+00:00,0.2023
2021-04-13 00:00:00+00:00,0.0
2021-04-14 00:00:00+00:00,0.2023
2021-04-15 00:00:00+00:00,0.2023
2021-04-19 00:00:00+00:00,0.0
2021-05-10 00:00:00+00:00,-0.3182
2021-05-11 00:00:00+00:00,0.3818
2021-05-17 00:00:00+00:00,0.2023
2021-05-18 00:00:00+00:00,0.0
2021-05-25 00:00:00+00:00,0.2732
2021-05-27 00:00:00+00:00,0.2023
2021-05-29 00:00:00+00:00,0.0
2021-06-01 00:00:00+00:00,0.0
2021-06-03 00:00:00+00:00,-0.1589
2021-06-10 00:00:00+00:00,0.2732
2021-06-15 00:00:00+00:00,-0.296
2021-06-16 00:00:00+00:00,0.6555
2021-06-18 00:00:00+00:00,0.9445
2021-06-21 00:00:00+00:00,0.0
2021-06-22 00:00:00+00:00,0.0
2021-06-30 00:00:00+00:00,0.25
2021-07-01 00:00:00+00:00,0.0
2021-07-02 00:00:00+00:00,0.6369
2021-07-06 00:00:00+00:00,-0.0026
2021-07-07 00:00:00+00:00,0.0
2021-07-08 00:00:00+00:00,0.0
2021-07-09 00:00:00+00:00,0.0
2021-07-12 00:00:00+00:00,0.0
2021-07-13 00:00:00+00:00,0.0
2021-07-14 00:00:00+00:00,0.0
2021-07-15 00:00:00+00:00,0.0
2021-07-16 00:00:00+00:00,-0.296
2021-07-19 00:00:00+00:00,0.0
2021-07-20 00:00:00+00:00,0.0
2021-07-21 00:00:00+00:00,0.0
2021-07-22 00:00:00+00:00,0.0
2021-07-23 00:00:00+00:00,0.4215
2021-07-29 00:00:00+00:00,0.0
2021-07-30 00:00:00+00:00,0.0
2021-08-02 00:00:00+00:00,0.0
2021-08-03 00:00:00+00:00,0.0
2021-08-04 00:00:00+00:00,0.25
2021-08-05 00:00:00+00:00,0.0
2021-08-10 00:00:00+00:00,0.0
2021-08-11 00:00:00+00:00,0.0
2021-08-17 00:00:00+00:00,0.0
2021-08-20 00:00:00+00:00,0.0
2021-08-23 00:00:00+00:00,0.0
2021-08-24 00:00:00+00:00,0.4215
2021-08-30 00:00:00+00:00,0.5223
2021-08-31 00:00:00+00:00,0.2023
2021-09-02 00:00:00+00:00,0.0
2021-09-03 00:00:00+00:00,0.0
2021-09-08 00:00:00+00:00,-0.4939
2021-09-13 00:00:00+00:00,0.2732
2021-09-15 00:00:00+00:00,0.0
2021-09-23 00:00:00+00:00,0.0
2021-09-27 00:00:00+00:00,0.2732
2021-09-28 00:00:00+00:00,0.0
2021-09-29 00:00:00+00:00,0.2023
2021-10-04 00:00:00+00:00,0.2732
2021-10-06 00:00:00+00:00,-0.3612
2021-10-12 00:00:00+00:00,0.2023
2021-10-13 00:00:00+00:00,0.4215
2021-10-14 00:00:00+00:00,0.6112
2021-10-18 00:00:00+00:00,0.7943
2021-10-26 00:00:00+00:00,0.5106
2021-11-04 00:00:00+00:00,0.0
2021-11-05 00:00:00+00:00,0.7847999999999999
2021-11-08 00:00:00+00:00,0.1531
2021-11-11 00:00:00+00:00,0.4767
2021-12-08 00:00:00+00:00,-0.0516
2021-12-09 00:00:00+00:00,0.5703
2021-12-15 00:00:00+00:00,0.0
2022-01-04 00:00:00+00:00,0.0
2022-01-05 00:00:00+00:00,0.2023
2022-01-10 00:00:00+00:00,0.4404
2022-01-24 00:00:00+00:00,0.0
2022-01-25 00:00:00+00:00,0.14940000000000003
2022-01-26 00:00:00+00:00,0.0
2022-02-01 00:00:00+00:00,0.0
2022-02-10 00:00:00+00:00,0.0
2022-02-14 00:00:00+00:00,0.4019
2022-02-15 00:00:00+00:00,0.0
2022-02-22 00:00:00+00:00,0.0
2022-02-24 00:00:00+00:00,0.296
2022-02-25 00:00:00+00:00,0.0
2022-02-26 00:00:00+00:00,0.2023
2022-02-28 00:00:00+00:00,0.25
2022-03-01 00:00:00+00:00,0.0
2022-03-03 00:00:00+00:00,0.4215
2022-03-04 00:00:00+00:00,-0.7497
2022-03-05 00:00:00+00:00,0.3182
2022-03-07 00:00:00+00:00,1.0189
2022-03-08 00:00:00+00:00,1.8605
2022-03-09 00:00:00+00:00,1.0466
2022-03-10 00:00:00+00:00,0.296
2022-03-11 00:00:00+00:00,0.25
2022-03-13 00:00:00+00:00,0.3597
2022-03-14 00:00:00+00:00,0.4983
2022-03-15 00:00:00+00:00,0.4588
2022-03-16 00:00:00+00:00,0.07529999999999998
2022-03-17 00:00:00+00:00,1.1555
2022-03-18 00:00:00+00:00,0.3612
2022-03-21 00:00:00+00:00,0.49829999999999997
2022-03-22 00:00:00+00:00,0.01200000000000001
2022-03-23 00:00:00+00:00,0.3595
2022-03-29 00:00:00+00:00,0.296
2022-03-30 00:00:00+00:00,0.5106
2022-03-31 00:00:00+00:00,0.0
2022-04-01 00:00:00+00:00,-0.7224
2022-04-04 00:00:00+00:00,0.7384
2022-04-05 00:00:00+00:00,0.0
2022-04-06 00:00:00+00:00,0.2023
2022-04-07 00:00:00+00:00,0.296
2022-04-08 00:00:00+00:00,0.296
2022-04-11 00:00:00+00:00,1.0712000000000002
2022-04-12 00:00:00+00:00,-0.7184
2022-04-13 00:00:00+00:00,0.296
2022-04-14 00:00:00+00:00,0.0
2022-04-21 00:00:00+00:00,0.0
2022-04-22 00:00:00+00:00,-0.3612
2022-04-25 00:00:00+00:00,0.23740000000000006
2022-04-28 00:00:00+00:00,0.0
2022-04-30 00:00:00+00:00,0.0
2022-05-01 00:00:00+00:00,0.0
2022-05-02 00:00:00+00:00,0.0
2022-05-03 00:00:00+00:00,0.5464
2022-05-05 00:00:00+00:00,0.5115
2022-05-06 00:00:00+00:00,0.2023
2022-05-08 00:00:00+00:00,0.2023
2022-05-10 00:00:00+00:00,0.2732
2022-05-11 00:00:00+00:00,-0.2381
2022-05-12 00:00:00+00:00,0.8074
2022-05-13 00:00:00+00:00,0.11079999999999998
2022-05-16 00:00:00+00:00,-0.424
2022-05-17 00:00:00+00:00,-0.1375
2022-05-23 00:00:00+00:00,0.2732
2022-05-31 00:00:00+00:00,0.0
2022-06-01 00:00:00+00:00,0.2732
2022-06-03 00:00:00+00:00,0.2263
2022-06-06 00:00:00+00:00,0.0
2022-06-07 00:00:00+00:00,0.47550000000000003
2022-06-08 00:00:00+00:00,0.2732
2022-06-14 00:00:00+00:00,-0.23320000000000002
2022-06-16 00:00:00+00:00,0.5423
2022-06-21 00:00:00+00:00,-0.4019
2022-06-22 00:00:00+00:00,0.5106
2022-06-23 00:00:00+00:00,0.7483
2022-06-28 00:00:00+00:00,0.9188
2022-07-01 00:00:00+00:00,0.6908
2022-07-02 00:00:00+00:00,0.4404
2022-07-03 00:00:00+00:00,0.296
2022-07-05 00:00:00+00:00,-0.9456
2022-07-07 00:00:00+00:00,0.296
2022-07-08 00:00:00+00:00,1.2982
2022-07-11 00:00:00+00:00,0.8392000000000001
2022-07-12 00:00:00+00:00,0.9254
2022-07-13 00:00:00+00:00,0.2023
2022-07-14 00:00:00+00:00,-0.0772
2022-07-18 00:00:00+00:00,0.9304
2022-07-19 00:00:00+00:00,-0.23520000000000002
2022-07-20 00:00:00+00:00,0.0
2022-07-26 00:00:00+00:00,-0.5868
2022-07-27 00:00:00+00:00,-0.128
2022-07-29 00:00:00+00:00,0.6719
2022-08-01 00:00:00+00:00,-0.8786
2022-08-02 00:00:00+00:00,0.0
2022-08-03 00:00:00+00:00,-0.1589
2022-08-04 00:00:00+00:00,0.25
2022-08-06 00:00:00+00:00,-0.30960000000000004
2022-08-08 00:00:00+00:00,0.6705
2022-08-09 00:00:00+00:00,0.592
2022-08-10 00:00:00+00:00,0.0
2022-08-16 00:00:00+00:00,0.5267
2022-08-17 00:00:00+00:00,-0.014499999999999957
2022-08-19 00:00:00+00:00,2.1719
2022-08-20 00:00:00+00:00,0.5267
2022-08-21 00:00:00+00:00,0.4767
2022-08-22 00:00:00+00:00,2.307
2022-08-23 00:00:00+00:00,0.4046
2022-08-24 00:00:00+00:00,0.8801000000000001
2022-08-25 00:00:00+00:00,0.2023
2022-08-29 00:00:00+00:00,0.5498000000000001
2022-08-30 00:00:00+00:00,0.5842
2022-08-31 00:00:00+00:00,-0.4588
2022-09-06 00:00:00+00:00,0.0
2022-09-07 00:00:00+00:00,0.0
2022-09-09 00:00:00+00:00,0.4588
2022-09-12 00:00:00+00:00,-0.25649999999999995
2022-09-15 00:00:00+00:00,0.0
2022-09-16 00:00:00+00:00,0.5574
2022-09-19 00:00:00+00:00,0.0
2022-09-21 00:00:00+00:00,0.0
2022-09-23 00:00:00+00:00,0.4215
