,score
2021-01-05 00:00:00+00:00,0.2732
2021-01-07 00:00:00+00:00,0.0
2021-01-14 00:00:00+00:00,0.0
2021-01-21 00:00:00+00:00,0.0
2021-02-04 00:00:00+00:00,0.3612
2021-02-08 00:00:00+00:00,0.3612
2021-02-19 00:00:00+00:00,0.0
2021-02-22 00:00:00+00:00,0.3612
2021-02-23 00:00:00+00:00,1.0836000000000001
2021-02-24 00:00:00+00:00,0.5719
2021-02-25 00:00:00+00:00,0.5719
2021-02-26 00:00:00+00:00,0.0
2021-03-01 00:00:00+00:00,0.9247000000000001
2021-03-05 00:00:00+00:00,0.0
2021-03-09 00:00:00+00:00,0.5635
2021-03-11 00:00:00+00:00,0.3612
2021-03-12 00:00:00+00:00,0.0
2021-03-17 00:00:00+00:00,0.0
2021-03-18 00:00:00+00:00,0.0
2021-03-23 00:00:00+00:00,0.3612
2021-04-05 00:00:00+00:00,3.2223
2021-04-06 00:00:00+00:00,0.8189000000000001
2021-04-08 00:00:00+00:00,0.0
2021-04-15 00:00:00+00:00,0.45230000000000004
2021-04-19 00:00:00+00:00,0.5719
2021-04-23 00:00:00+00:00,0.45230000000000004
2021-04-27 00:00:00+00:00,0.0516
2021-05-03 00:00:00+00:00,0.3612
2021-05-04 00:00:00+00:00,0.3612
2021-05-06 00:00:00+00:00,0.7742
2021-05-10 00:00:00+00:00,0.0
2021-05-13 00:00:00+00:00,0.2023
2021-05-14 00:00:00+00:00,0.0
2021-05-17 00:00:00+00:00,0.3612
2021-05-19 00:00:00+00:00,1.555
2021-05-21 00:00:00+00:00,0.5635
2021-05-23 00:00:00+00:00,0.296
2021-06-03 00:00:00+00:00,0.0
2021-06-06 00:00:00+00:00,0.0
2021-06-10 00:00:00+00:00,0.3612
2021-06-18 00:00:00+00:00,0.7224
2021-06-21 00:00:00+00:00,0.3612
2021-07-01 00:00:00+00:00,0.3612
2021-07-15 00:00:00+00:00,0.7224
2021-07-19 00:00:00+00:00,0.25
2021-07-21 00:00:00+00:00,0.3612
2021-07-27 00:00:00+00:00,1.2577
2021-07-30 00:00:00+00:00,0.3612
2021-08-02 00:00:00+00:00,1.4448
2021-08-03 00:00:00+00:00,0.296
2021-08-10 00:00:00+00:00,0.3612
2021-08-16 00:00:00+00:00,0.3612
2021-08-23 00:00:00+00:00,0.8612
2021-09-13 00:00:00+00:00,0.2732
2021-09-15 00:00:00+00:00,0.0
2021-09-19 00:00:00+00:00,0.6908
2021-09-23 00:00:00+00:00,0.5859
2021-10-04 00:00:00+00:00,0.3612
2021-10-06 00:00:00+00:00,0.7224
2021-10-07 00:00:00+00:00,0.9330999999999999
2021-10-14 00:00:00+00:00,0.3612
2021-10-19 00:00:00+00:00,0.25
2021-10-20 00:00:00+00:00,0.4588
2021-10-21 00:00:00+00:00,0.3612
2021-10-26 00:00:00+00:00,1.0615
2021-11-03 00:00:00+00:00,1.6057000000000001
2021-11-04 00:00:00+00:00,0.5719
2021-11-05 00:00:00+00:00,0.6112
2021-11-13 00:00:00+00:00,0.0
2021-11-19 00:00:00+00:00,0.9724
2021-11-23 00:00:00+00:00,0.5719
2021-11-24 00:00:00+00:00,0.4588
2021-11-26 00:00:00+00:00,0.7224
2021-12-13 00:00:00+00:00,0.6112
2021-12-29 00:00:00+00:00,0.0
2022-01-07 00:00:00+00:00,0.6705
2022-01-10 00:00:00+00:00,1.5758
2022-01-13 00:00:00+00:00,0.0
2022-01-20 00:00:00+00:00,0.0
2022-01-25 00:00:00+00:00,0.3612
2022-02-03 00:00:00+00:00,0.3612
2022-02-09 00:00:00+00:00,0.4588
2022-02-15 00:00:00+00:00,0.3612
2022-02-16 00:00:00+00:00,0.3612
2022-02-17 00:00:00+00:00,0.8272
2022-02-18 00:00:00+00:00,0.3612
2022-02-23 00:00:00+00:00,0.3612
2022-02-24 00:00:00+00:00,1.0615
2022-03-01 00:00:00+00:00,0.6705
2022-03-02 00:00:00+00:00,0.7224
2022-03-03 00:00:00+00:00,0.0
2022-03-04 00:00:00+00:00,-0.16849999999999998
2022-03-14 00:00:00+00:00,0.25
2022-03-15 00:00:00+00:00,0.5423
2022-03-24 00:00:00+00:00,0.0
2022-03-29 00:00:00+00:00,0.5267
2022-03-31 00:00:00+00:00,0.7224
2022-04-04 00:00:00+00:00,0.836
2022-04-07 00:00:00+00:00,0.0
2022-04-12 00:00:00+00:00,0.6705
2022-04-18 00:00:00+00:00,0.9247000000000001
2022-04-19 00:00:00+00:00,0.3612
2022-04-22 00:00:00+00:00,0.3612
2022-04-25 00:00:00+00:00,1.4272
2022-05-03 00:00:00+00:00,0.7224
2022-05-04 00:00:00+00:00,1.1812
2022-05-06 00:00:00+00:00,0.6908
2022-05-09 00:00:00+00:00,0.7224
2022-05-10 00:00:00+00:00,0.6112
2022-05-12 00:00:00+00:00,0.6486
2022-05-20 00:00:00+00:00,0.6705
2022-05-24 00:00:00+00:00,0.5267
2022-05-25 00:00:00+00:00,0.0
2022-05-26 00:00:00+00:00,0.0
2022-05-27 00:00:00+00:00,0.2732
2022-05-31 00:00:00+00:00,1.2456
2022-06-01 00:00:00+00:00,0.296
2022-06-06 00:00:00+00:00,0.3612
