,score
2021-01-07 00:00:00+00:00,0.0
2021-01-08 00:00:00+00:00,0.0
2021-01-12 00:00:00+00:00,0.49829999999999997
2021-01-15 00:00:00+00:00,0.0
2021-01-19 00:00:00+00:00,0.2732
2021-01-20 00:00:00+00:00,0.3818
2021-01-21 00:00:00+00:00,0.26259999999999994
2021-02-04 00:00:00+00:00,0.0
2021-02-09 00:00:00+00:00,0.0
2021-02-15 00:00:00+00:00,0.0
2021-02-16 00:00:00+00:00,0.9431
2021-02-17 00:00:00+00:00,0.0
2021-02-18 00:00:00+00:00,0.0
2021-02-22 00:00:00+00:00,0.3612
2021-02-23 00:00:00+00:00,0.0
2021-03-10 00:00:00+00:00,-0.4588
2021-03-19 00:00:00+00:00,1.0105
2021-04-01 00:00:00+00:00,0.296
2021-04-06 00:00:00+00:00,0.0
2021-04-20 00:00:00+00:00,-0.4588
2021-04-22 00:00:00+00:00,0.2023
2021-04-30 00:00:00+00:00,0.0
2021-05-03 00:00:00+00:00,-0.2263
2021-05-04 00:00:00+00:00,-0.005599999999999994
2021-05-05 00:00:00+00:00,0.0
2021-05-10 00:00:00+00:00,0.2023
2021-05-20 00:00:00+00:00,0.0743
2021-06-03 00:00:00+00:00,0.2023
2021-06-08 00:00:00+00:00,0.0
2021-06-21 00:00:00+00:00,-0.07700000000000001
2021-06-24 00:00:00+00:00,-0.2263
2021-06-25 00:00:00+00:00,0.44050000000000006
2021-07-02 00:00:00+00:00,0.0
2021-07-15 00:00:00+00:00,-0.3612
2021-07-19 00:00:00+00:00,0.296
2021-07-21 00:00:00+00:00,0.5191
2021-07-30 00:00:00+00:00,0.0
2021-08-02 00:00:00+00:00,0.296
2021-08-03 00:00:00+00:00,0.3517
2021-08-04 00:00:00+00:00,0.5574
2021-08-09 00:00:00+00:00,0.0
2021-08-10 00:00:00+00:00,0.0
2021-08-17 00:00:00+00:00,0.0
2021-08-18 00:00:00+00:00,0.1119
2021-08-19 00:00:00+00:00,-0.3612
2021-09-01 00:00:00+00:00,0.2023
2021-09-02 00:00:00+00:00,0.0
2021-09-14 00:00:00+00:00,0.0
2021-10-01 00:00:00+00:00,0.2023
2021-10-05 00:00:00+00:00,0.0
2021-10-12 00:00:00+00:00,0.0
2021-10-14 00:00:00+00:00,-0.4019
2021-10-20 00:00:00+00:00,0.2023
2021-10-27 00:00:00+00:00,0.296
2021-10-28 00:00:00+00:00,0.0
2021-11-01 00:00:00+00:00,0.0
2021-11-02 00:00:00+00:00,-0.1531
2021-11-16 00:00:00+00:00,0.0
2021-11-23 00:00:00+00:00,0.0743
2021-11-30 00:00:00+00:00,0.2023
2021-12-07 00:00:00+00:00,0.0
2021-12-13 00:00:00+00:00,0.3383
2021-12-21 00:00:00+00:00,-0.128
2022-01-10 00:00:00+00:00,0.2023
2022-01-13 00:00:00+00:00,0.0743
2022-01-24 00:00:00+00:00,0.1779
2022-01-25 00:00:00+00:00,0.2263
2022-02-03 00:00:00+00:00,-0.46819999999999995
2022-02-04 00:00:00+00:00,0.6885000000000001
2022-02-08 00:00:00+00:00,0.0
2022-02-09 00:00:00+00:00,0.2732
2022-02-14 00:00:00+00:00,0.0
2022-02-15 00:00:00+00:00,-0.2263
2022-02-16 00:00:00+00:00,0.3014
2022-02-17 00:00:00+00:00,0.0
2022-02-22 00:00:00+00:00,-0.128
2022-03-02 00:00:00+00:00,0.4019
2022-03-10 00:00:00+00:00,0.07319999999999999
2022-03-11 00:00:00+00:00,0.296
2022-03-14 00:00:00+00:00,-0.3612
2022-03-17 00:00:00+00:00,0.592
2022-03-18 00:00:00+00:00,0.296
2022-03-22 00:00:00+00:00,0.0
2022-03-23 00:00:00+00:00,0.4588
2022-03-24 00:00:00+00:00,0.0
2022-03-30 00:00:00+00:00,0.296
2022-03-31 00:00:00+00:00,0.2263
2022-04-05 00:00:00+00:00,-0.128
2022-04-08 00:00:00+00:00,0.4588
2022-04-14 00:00:00+00:00,-0.1589
2022-04-22 00:00:00+00:00,0.0
2022-04-27 00:00:00+00:00,0.296
2022-04-29 00:00:00+00:00,0.0
2022-05-02 00:00:00+00:00,0.5803
2022-05-03 00:00:00+00:00,0.0983
2022-05-19 00:00:00+00:00,0.34
2022-05-25 00:00:00+00:00,0.0
2022-06-02 00:00:00+00:00,0.2023
2022-06-06 00:00:00+00:00,1.4099
2022-06-13 00:00:00+00:00,-0.128
2022-07-07 00:00:00+00:00,0.0
2022-07-15 00:00:00+00:00,0.5106
2022-07-18 00:00:00+00:00,0.0
2022-07-20 00:00:00+00:00,0.4673
2022-07-27 00:00:00+00:00,0.0
2022-08-02 00:00:00+00:00,-0.2263
2022-08-03 00:00:00+00:00,-0.9959
2022-08-04 00:00:00+00:00,0.0
2022-08-08 00:00:00+00:00,0.7984
2022-08-09 00:00:00+00:00,-0.8519
2022-08-15 00:00:00+00:00,-0.3182
2022-08-18 00:00:00+00:00,0.0
2022-08-24 00:00:00+00:00,0.296
2022-08-29 00:00:00+00:00,0.4767
2022-09-06 00:00:00+00:00,0.1531
2022-09-07 00:00:00+00:00,0.5223
2022-09-08 00:00:00+00:00,0.0
2022-09-13 00:00:00+00:00,0.0
