,score
2021-01-28 00:00:00+00:00,0.1531
2021-01-29 00:00:00+00:00,0.3903
2021-02-03 00:00:00+00:00,0.0
2021-02-09 00:00:00+00:00,0.0
2021-02-17 00:00:00+00:00,0.296
2021-03-01 00:00:00+00:00,-0.296
2021-03-15 00:00:00+00:00,0.3818
2021-03-17 00:00:00+00:00,0.2023
2021-03-23 00:00:00+00:00,0.0
2021-03-29 00:00:00+00:00,0.0
2021-04-01 00:00:00+00:00,-0.2023
2021-04-21 00:00:00+00:00,0.0
2021-04-27 00:00:00+00:00,0.0
2021-04-28 00:00:00+00:00,-0.4892
2021-05-02 00:00:00+00:00,0.0
2021-05-03 00:00:00+00:00,0.0
2021-05-04 00:00:00+00:00,0.0
2021-05-17 00:00:00+00:00,-0.3612
2021-05-18 00:00:00+00:00,0.0
2021-06-08 00:00:00+00:00,-0.4511
2021-06-09 00:00:00+00:00,-0.128
2021-06-10 00:00:00+00:00,0.49829999999999997
2021-06-22 00:00:00+00:00,-0.3182
2021-06-24 00:00:00+00:00,0.0
2021-07-20 00:00:00+00:00,0.0
2021-07-23 00:00:00+00:00,0.0
2021-07-26 00:00:00+00:00,0.0
2021-07-27 00:00:00+00:00,-0.2263
2021-07-28 00:00:00+00:00,-0.128
2021-08-02 00:00:00+00:00,-0.3612
2021-08-19 00:00:00+00:00,-0.296
2021-08-20 00:00:00+00:00,-0.3612
2021-09-08 00:00:00+00:00,-0.592
2021-09-09 00:00:00+00:00,-0.0537
2021-09-10 00:00:00+00:00,-0.128
2021-09-28 00:00:00+00:00,-0.256
2021-09-30 00:00:00+00:00,-0.378
2021-10-12 00:00:00+00:00,0.0
2021-10-13 00:00:00+00:00,0.2023
2021-10-26 00:00:00+00:00,0.15549999999999997
2021-10-27 00:00:00+00:00,-0.3612
2021-10-28 00:00:00+00:00,0.0
2021-10-29 00:00:00+00:00,0.0
2021-11-29 00:00:00+00:00,0.0
2021-12-09 00:00:00+00:00,-0.3612
2021-12-15 00:00:00+00:00,0.2023
2022-01-04 00:00:00+00:00,0.2023
2022-01-05 00:00:00+00:00,0.0
2022-01-11 00:00:00+00:00,-0.3612
2022-01-12 00:00:00+00:00,0.4588
2022-01-14 00:00:00+00:00,0.0
2022-01-18 00:00:00+00:00,0.33030000000000004
2022-01-19 00:00:00+00:00,-0.128
2022-01-26 00:00:00+00:00,0.0
2022-01-27 00:00:00+00:00,-0.3612
2022-01-28 00:00:00+00:00,-0.128
2022-01-31 00:00:00+00:00,-0.4588
2022-02-08 00:00:00+00:00,0.6705
2022-02-17 00:00:00+00:00,0.0
2022-03-04 00:00:00+00:00,-0.1531
2022-03-09 00:00:00+00:00,-0.128
2022-03-10 00:00:00+00:00,0.2732
2022-03-17 00:00:00+00:00,0.0
2022-03-22 00:00:00+00:00,0.9162
2022-04-06 00:00:00+00:00,-0.128
2022-04-07 00:00:00+00:00,0.4588
2022-04-18 00:00:00+00:00,0.128
2022-04-21 00:00:00+00:00,0.2263
2022-04-26 00:00:00+00:00,0.0
2022-04-27 00:00:00+00:00,0.6739999999999999
2022-04-28 00:00:00+00:00,0.0
2022-05-02 00:00:00+00:00,-0.128
2022-05-31 00:00:00+00:00,0.5841
2022-06-02 00:00:00+00:00,0.2263
2022-06-09 00:00:00+00:00,-0.4767
2022-06-14 00:00:00+00:00,0.4346
2022-06-16 00:00:00+00:00,0.0
2022-07-01 00:00:00+00:00,0.6851
2022-07-12 00:00:00+00:00,0.2023
2022-07-13 00:00:00+00:00,0.3802
2022-07-14 00:00:00+00:00,-0.128
2022-07-18 00:00:00+00:00,0.128
2022-07-19 00:00:00+00:00,0.4588
2022-07-27 00:00:00+00:00,-0.3982
2022-07-28 00:00:00+00:00,-0.6444
2022-07-29 00:00:00+00:00,0.0
2022-08-04 00:00:00+00:00,0.6851
2022-08-10 00:00:00+00:00,0.0
2022-09-22 00:00:00+00:00,-0.2023
