,score
2021-01-20 00:00:00+00:00,0.0
2021-01-21 00:00:00+00:00,-0.0688
2021-01-22 00:00:00+00:00,-0.09369999999999998
2021-01-25 00:00:00+00:00,0.0
2021-01-27 00:00:00+00:00,0.0
2021-02-17 00:00:00+00:00,0.0
2021-02-26 00:00:00+00:00,-0.3612
2021-03-05 00:00:00+00:00,0.4215
2021-03-16 00:00:00+00:00,0.6597
2021-03-17 00:00:00+00:00,0.2023
2021-04-05 00:00:00+00:00,0.0
2021-04-08 00:00:00+00:00,-0.3612
2021-04-09 00:00:00+00:00,0.0
2021-04-11 00:00:00+00:00,0.3818
2021-04-12 00:00:00+00:00,0.0
2021-04-15 00:00:00+00:00,0.0
2021-04-16 00:00:00+00:00,0.0
2021-04-20 00:00:00+00:00,0.0
2021-04-21 00:00:00+00:00,0.0
2021-04-22 00:00:00+00:00,0.0
2021-04-23 00:00:00+00:00,-0.3612
2021-04-26 00:00:00+00:00,-0.34
2021-04-27 00:00:00+00:00,0.0
2021-04-28 00:00:00+00:00,0.0
2021-04-29 00:00:00+00:00,0.0
2021-05-09 00:00:00+00:00,0.0
2021-05-11 00:00:00+00:00,0.2023
2021-05-12 00:00:00+00:00,0.0
2021-05-14 00:00:00+00:00,0.0
2021-05-17 00:00:00+00:00,0.0
2021-05-18 00:00:00+00:00,0.0
2021-05-20 00:00:00+00:00,0.19329999999999997
2021-05-21 00:00:00+00:00,0.2023
2021-05-25 00:00:00+00:00,0.4404
2021-06-08 00:00:00+00:00,0.0
2021-06-09 00:00:00+00:00,-0.3612
2021-06-11 00:00:00+00:00,0.2023
2021-06-14 00:00:00+00:00,0.6124
2021-06-24 00:00:00+00:00,0.0
2021-06-29 00:00:00+00:00,-0.128
2021-06-30 00:00:00+00:00,0.2023
2021-07-12 00:00:00+00:00,0.0
2021-07-15 00:00:00+00:00,0.0
2021-07-16 00:00:00+00:00,0.0
2021-07-19 00:00:00+00:00,-0.3612
2021-07-20 00:00:00+00:00,0.0
2021-07-21 00:00:00+00:00,0.5106
2021-07-22 00:00:00+00:00,-0.256
2021-07-30 00:00:00+00:00,0.0
2021-08-04 00:00:00+00:00,0.0
2021-08-12 00:00:00+00:00,0.2023
2021-08-16 00:00:00+00:00,0.2023
2021-08-26 00:00:00+00:00,0.0
2021-09-21 00:00:00+00:00,0.4404
2021-09-23 00:00:00+00:00,0.03760000000000002
2021-09-28 00:00:00+00:00,-0.296
2021-10-06 00:00:00+00:00,-0.22169999999999998
2021-10-07 00:00:00+00:00,0.0
2021-10-14 00:00:00+00:00,0.296
2021-10-18 00:00:00+00:00,-0.25349999999999995
2021-10-22 00:00:00+00:00,0.0
2021-10-26 00:00:00+00:00,-0.3818
2021-10-28 00:00:00+00:00,-0.1531
2021-11-16 00:00:00+00:00,0.0
2021-11-30 00:00:00+00:00,0.2023
2021-12-06 00:00:00+00:00,0.2023
2021-12-29 00:00:00+00:00,0.296
2022-01-24 00:00:00+00:00,0.0
2022-01-25 00:00:00+00:00,0.0
2022-01-26 00:00:00+00:00,0.25
2022-01-27 00:00:00+00:00,0.296
2022-01-28 00:00:00+00:00,0.0
2022-02-24 00:00:00+00:00,-0.6369
2022-03-02 00:00:00+00:00,0.0
2022-03-08 00:00:00+00:00,-0.19869999999999993
2022-03-10 00:00:00+00:00,0.2732
2022-03-11 00:00:00+00:00,0.2023
2022-03-22 00:00:00+00:00,-0.128
2022-03-23 00:00:00+00:00,-0.128
2022-03-31 00:00:00+00:00,-0.3543
2022-04-14 00:00:00+00:00,-0.8164
2022-04-19 00:00:00+00:00,0.025800000000000003
2022-04-21 00:00:00+00:00,-0.2057
2022-04-22 00:00:00+00:00,-0.5423
2022-04-25 00:00:00+00:00,-0.128
2022-04-26 00:00:00+00:00,0.0
2022-04-27 00:00:00+00:00,-0.5875
2022-04-28 00:00:00+00:00,-0.8279
2022-04-29 00:00:00+00:00,0.2023
2022-05-03 00:00:00+00:00,0.2023
2022-05-06 00:00:00+00:00,0.1779
2022-05-10 00:00:00+00:00,0.34
2022-05-23 00:00:00+00:00,-0.1466
2022-06-14 00:00:00+00:00,-0.2023
2022-06-21 00:00:00+00:00,-0.128
2022-06-23 00:00:00+00:00,-0.2023
2022-07-05 00:00:00+00:00,-0.128
2022-07-14 00:00:00+00:00,0.0
2022-07-15 00:00:00+00:00,-0.0537
2022-07-20 00:00:00+00:00,0.0
2022-07-21 00:00:00+00:00,-0.08740000000000003
2022-07-22 00:00:00+00:00,-2.5624
2022-07-25 00:00:00+00:00,0.1531
2022-08-05 00:00:00+00:00,0.2023
2022-08-17 00:00:00+00:00,0.5841
2022-08-19 00:00:00+00:00,0.2263
2022-08-30 00:00:00+00:00,0.34
2022-08-31 00:00:00+00:00,0.4148
2022-09-01 00:00:00+00:00,-1.5632000000000001
2022-09-02 00:00:00+00:00,0.4019
2022-09-07 00:00:00+00:00,-0.424
2022-09-08 00:00:00+00:00,0.0
2022-09-13 00:00:00+00:00,-0.4226
2022-09-15 00:00:00+00:00,-0.2023
2022-09-16 00:00:00+00:00,-0.6124
2022-09-20 00:00:00+00:00,-0.2023
2022-09-21 00:00:00+00:00,0.4588
