,score
2021-01-20 00:00:00+00:00,0.2023
2021-02-09 00:00:00+00:00,-0.1531
2021-02-11 00:00:00+00:00,0.2023
2021-02-18 00:00:00+00:00,-0.3612
2021-02-22 00:00:00+00:00,-0.3612
2021-03-15 00:00:00+00:00,-0.3612
2021-03-18 00:00:00+00:00,0.0
2021-03-30 00:00:00+00:00,0.296
2021-03-31 00:00:00+00:00,-0.023999999999999994
2021-04-07 00:00:00+00:00,0.0
2021-04-21 00:00:00+00:00,0.0
2021-04-22 00:00:00+00:00,0.0
2021-04-26 00:00:00+00:00,0.0
2021-04-27 00:00:00+00:00,0.0
2021-05-06 00:00:00+00:00,-0.3612
2021-05-26 00:00:00+00:00,-0.3612
2021-06-02 00:00:00+00:00,0.0
2021-06-07 00:00:00+00:00,0.0
2021-06-08 00:00:00+00:00,0.0
2021-06-11 00:00:00+00:00,-0.3612
2021-06-15 00:00:00+00:00,0.2023
2021-06-21 00:00:00+00:00,0.296
2021-07-09 00:00:00+00:00,0.0
2021-07-12 00:00:00+00:00,0.0
2021-07-15 00:00:00+00:00,-0.7224
2021-07-16 00:00:00+00:00,0.0
2021-07-20 00:00:00+00:00,0.0
2021-07-21 00:00:00+00:00,0.0
2021-07-26 00:00:00+00:00,0.0
2021-07-27 00:00:00+00:00,0.0
2021-07-28 00:00:00+00:00,0.0
2021-07-29 00:00:00+00:00,0.0
2021-07-30 00:00:00+00:00,0.0
2021-08-02 00:00:00+00:00,0.6369
2021-08-05 00:00:00+00:00,-0.3612
2021-08-26 00:00:00+00:00,-0.128
2021-09-01 00:00:00+00:00,-0.1589
2021-09-13 00:00:00+00:00,0.2023
2021-09-15 00:00:00+00:00,0.296
2021-09-23 00:00:00+00:00,0.0
2021-09-28 00:00:00+00:00,0.2023
2021-09-29 00:00:00+00:00,0.0
2021-10-12 00:00:00+00:00,-0.3612
2021-10-18 00:00:00+00:00,0.0
2021-10-26 00:00:00+00:00,0.0
2021-11-08 00:00:00+00:00,0.2023
2021-11-16 00:00:00+00:00,-0.3612
2021-12-07 00:00:00+00:00,-0.3612
2022-01-04 00:00:00+00:00,0.0
2022-01-13 00:00:00+00:00,0.0
2022-02-08 00:00:00+00:00,0.0
2022-02-16 00:00:00+00:00,-0.128
2022-03-15 00:00:00+00:00,0.2023
2022-03-29 00:00:00+00:00,0.296
2022-03-30 00:00:00+00:00,-0.2263
2022-04-25 00:00:00+00:00,0.0
2022-04-26 00:00:00+00:00,-0.1531
2022-04-27 00:00:00+00:00,0.6597
2022-05-05 00:00:00+00:00,-0.128
2022-05-10 00:00:00+00:00,-0.4588
2022-05-17 00:00:00+00:00,0.0
2022-05-19 00:00:00+00:00,-0.128
2022-05-23 00:00:00+00:00,0.0
2022-05-24 00:00:00+00:00,0.1779
2022-05-25 00:00:00+00:00,-0.128
2022-06-01 00:00:00+00:00,-0.2023
2022-06-13 00:00:00+00:00,-0.2023
2022-06-14 00:00:00+00:00,-0.2023
2022-06-23 00:00:00+00:00,0.5841
2022-06-24 00:00:00+00:00,0.1779
2022-06-27 00:00:00+00:00,-0.128
2022-06-28 00:00:00+00:00,-0.4588
2022-06-30 00:00:00+00:00,-0.128
2022-07-15 00:00:00+00:00,-0.128
2022-07-20 00:00:00+00:00,-0.128
2022-07-22 00:00:00+00:00,0.2023
2022-07-25 00:00:00+00:00,0.0
2022-07-26 00:00:00+00:00,0.0
2022-08-11 00:00:00+00:00,0.0
2022-08-16 00:00:00+00:00,0.0
2022-08-19 00:00:00+00:00,0.2023
2022-09-19 00:00:00+00:00,-0.0537
