,score
2021-01-06 00:00:00+00:00,0.2023
2021-01-08 00:00:00+00:00,0.2023
2021-02-18 00:00:00+00:00,0.0
2021-03-15 00:00:00+00:00,0.0
2021-04-08 00:00:00+00:00,0.2023
2021-05-07 00:00:00+00:00,0.0
2021-05-13 00:00:00+00:00,-0.1589
2021-05-24 00:00:00+00:00,0.0
2021-05-25 00:00:00+00:00,0.0
2021-06-11 00:00:00+00:00,-0.1589
2021-06-14 00:00:00+00:00,0.0
2021-06-15 00:00:00+00:00,-0.1589
2021-06-28 00:00:00+00:00,0.4404
2021-06-30 00:00:00+00:00,0.0
2021-07-01 00:00:00+00:00,0.3802
2021-07-14 00:00:00+00:00,0.0
2021-07-16 00:00:00+00:00,0.0
2021-07-21 00:00:00+00:00,0.0
2021-08-06 00:00:00+00:00,0.0
2021-08-26 00:00:00+00:00,0.2023
2021-08-30 00:00:00+00:00,0.3595
2021-09-07 00:00:00+00:00,0.2023
2021-09-23 00:00:00+00:00,0.7129000000000001
2021-10-04 00:00:00+00:00,0.0
2021-10-05 00:00:00+00:00,0.0
2021-10-15 00:00:00+00:00,-0.1779
2021-11-03 00:00:00+00:00,-0.3612
2021-11-05 00:00:00+00:00,0.0
2021-11-11 00:00:00+00:00,-0.6705
2021-11-22 00:00:00+00:00,0.2023
2021-12-23 00:00:00+00:00,0.0
2022-01-10 00:00:00+00:00,0.4215
2022-01-20 00:00:00+00:00,0.2023
2022-02-01 00:00:00+00:00,0.3818
2022-02-15 00:00:00+00:00,-0.3612
2022-02-17 00:00:00+00:00,0.0
2022-03-06 00:00:00+00:00,0.0
2022-03-07 00:00:00+00:00,0.0
2022-03-09 00:00:00+00:00,0.0
2022-03-11 00:00:00+00:00,0.2023
2022-03-18 00:00:00+00:00,0.5106
2022-03-21 00:00:00+00:00,0.2263
2022-03-29 00:00:00+00:00,0.0
2022-03-31 00:00:00+00:00,0.0
2022-04-18 00:00:00+00:00,0.0
2022-05-05 00:00:00+00:00,-0.1531
2022-05-18 00:00:00+00:00,0.5841
2022-05-20 00:00:00+00:00,0.0
2022-06-01 00:00:00+00:00,-0.128
2022-06-30 00:00:00+00:00,0.2023
2022-07-01 00:00:00+00:00,-0.128
2022-07-06 00:00:00+00:00,-0.743
2022-07-07 00:00:00+00:00,-0.4588
2022-07-13 00:00:00+00:00,-0.128
2022-07-15 00:00:00+00:00,-0.128
2022-07-25 00:00:00+00:00,-0.4588
2022-07-26 00:00:00+00:00,0.4215
2022-08-04 00:00:00+00:00,0.0
2022-08-31 00:00:00+00:00,0.9321
2022-09-06 00:00:00+00:00,-0.2023
2022-09-22 00:00:00+00:00,-0.2023
