,score
2021-01-06 00:00:00+00:00,0.0
2021-01-07 00:00:00+00:00,0.0
2021-01-08 00:00:00+00:00,0.0
2021-01-12 00:00:00+00:00,0.0
2021-01-14 00:00:00+00:00,-0.3612
2021-02-10 00:00:00+00:00,0.0
2021-02-18 00:00:00+00:00,-0.3612
2021-02-19 00:00:00+00:00,-0.4588
2021-02-22 00:00:00+00:00,-0.4588
2021-03-23 00:00:00+00:00,0.0
2021-03-26 00:00:00+00:00,0.4215
2021-04-23 00:00:00+00:00,0.0
2021-04-28 00:00:00+00:00,0.0
2021-04-29 00:00:00+00:00,-0.2732
2021-06-02 00:00:00+00:00,0.0
2021-06-15 00:00:00+00:00,0.1779
2021-06-16 00:00:00+00:00,0.25
2021-06-24 00:00:00+00:00,-0.0516
2021-07-13 00:00:00+00:00,-0.3612
2021-07-29 00:00:00+00:00,0.0
2021-07-30 00:00:00+00:00,-0.3612
2021-08-02 00:00:00+00:00,-0.3612
2021-08-09 00:00:00+00:00,0.0
2021-08-11 00:00:00+00:00,0.0
2021-08-19 00:00:00+00:00,-0.3612
2021-08-27 00:00:00+00:00,0.0
2021-09-01 00:00:00+00:00,0.0
2021-09-10 00:00:00+00:00,0.6908
2021-09-13 00:00:00+00:00,0.0
2021-09-27 00:00:00+00:00,0.0
2021-10-04 00:00:00+00:00,0.0
2021-10-05 00:00:00+00:00,0.4019
2021-10-13 00:00:00+00:00,0.0
2021-10-20 00:00:00+00:00,-0.128
2021-10-21 00:00:00+00:00,0.3612
2021-10-27 00:00:00+00:00,-0.4491
2021-10-28 00:00:00+00:00,-0.128
2021-11-02 00:00:00+00:00,0.25
2021-11-08 00:00:00+00:00,-0.296
2022-01-04 00:00:00+00:00,0.0
2022-01-06 00:00:00+00:00,0.0
2022-01-10 00:00:00+00:00,0.122
2022-01-28 00:00:00+00:00,0.0
2022-02-04 00:00:00+00:00,0.5859
2022-02-14 00:00:00+00:00,0.0
2022-02-16 00:00:00+00:00,0.43829999999999997
2022-02-17 00:00:00+00:00,-0.3612
2022-02-22 00:00:00+00:00,0.0
2022-03-08 00:00:00+00:00,0.0
2022-03-09 00:00:00+00:00,0.7269
2022-03-23 00:00:00+00:00,0.3182
2022-03-31 00:00:00+00:00,0.128
2022-04-14 00:00:00+00:00,0.6486
2022-04-18 00:00:00+00:00,0.0
2022-04-27 00:00:00+00:00,0.22869999999999996
2022-04-28 00:00:00+00:00,0.2023
2022-05-02 00:00:00+00:00,-0.3612
2022-05-16 00:00:00+00:00,0.25
2022-05-23 00:00:00+00:00,-0.1589
2022-06-01 00:00:00+00:00,-0.1531
2022-06-16 00:00:00+00:00,0.0499
2022-06-23 00:00:00+00:00,0.0743
2022-07-18 00:00:00+00:00,-0.128
2022-07-25 00:00:00+00:00,0.34
2022-08-04 00:00:00+00:00,0.0
2022-08-05 00:00:00+00:00,-0.1531
2022-08-08 00:00:00+00:00,-0.3612
2022-08-17 00:00:00+00:00,0.4588
2022-08-18 00:00:00+00:00,0.5841
2022-08-25 00:00:00+00:00,0.0
2022-09-15 00:00:00+00:00,0.5719
2022-09-20 00:00:00+00:00,0.3612
