,score
2021-01-04 00:00:00+00:00,0.0
2021-01-05 00:00:00+00:00,0.5719
2021-01-06 00:00:00+00:00,0.33999999999999997
2021-01-10 00:00:00+00:00,0.1779
2021-01-11 00:00:00+00:00,0.0
2021-01-12 00:00:00+00:00,0.0772
2021-01-14 00:00:00+00:00,0.0
2021-01-15 00:00:00+00:00,0.0
2021-01-19 00:00:00+00:00,0.4939
2021-01-20 00:00:00+00:00,0.0
2021-01-21 00:00:00+00:00,1.1943000000000001
2021-01-22 00:00:00+00:00,0.5423
2021-01-25 00:00:00+00:00,0.2023
2021-01-26 00:00:00+00:00,0.0
2021-01-27 00:00:00+00:00,0.4767
2021-01-29 00:00:00+00:00,0.5267
2021-02-01 00:00:00+00:00,0.5106
2021-02-03 00:00:00+00:00,-0.3818
2021-02-04 00:00:00+00:00,0.296
2021-02-05 00:00:00+00:00,0.6597
2021-02-08 00:00:00+00:00,0.0
2021-02-09 00:00:00+00:00,0.5766
2021-02-10 00:00:00+00:00,0.7615000000000001
2021-02-11 00:00:00+00:00,0.7171
2021-02-15 00:00:00+00:00,0.2732
2021-02-16 00:00:00+00:00,0.7487
2021-02-17 00:00:00+00:00,0.0
2021-02-18 00:00:00+00:00,0.45709999999999995
2021-02-19 00:00:00+00:00,0.10760000000000006
2021-02-20 00:00:00+00:00,0.4019
2021-02-22 00:00:00+00:00,-0.4588
2021-02-23 00:00:00+00:00,0.2732
2021-02-24 00:00:00+00:00,0.788
2021-02-25 00:00:00+00:00,0.5735
2021-02-26 00:00:00+00:00,-0.5445
2021-02-28 00:00:00+00:00,0.296
2021-03-01 00:00:00+00:00,-0.4767
2021-03-02 00:00:00+00:00,0.34
2021-03-03 00:00:00+00:00,1.341
2021-03-04 00:00:00+00:00,0.6359
2021-03-05 00:00:00+00:00,0.0
2021-03-08 00:00:00+00:00,0.21930000000000005
2021-03-09 00:00:00+00:00,0.4209
2021-03-10 00:00:00+00:00,0.2023
2021-03-11 00:00:00+00:00,0.2504
2021-03-12 00:00:00+00:00,0.30039999999999994
2021-03-13 00:00:00+00:00,0.0
2021-03-16 00:00:00+00:00,0.6904
2021-03-17 00:00:00+00:00,-0.296
2021-03-19 00:00:00+00:00,0.5191
2021-03-20 00:00:00+00:00,-0.38880000000000003
2021-03-22 00:00:00+00:00,0.4215
2021-03-23 00:00:00+00:00,0.0
2021-03-24 00:00:00+00:00,0.4215
2021-03-25 00:00:00+00:00,0.1779
2021-03-30 00:00:00+00:00,0.0
2021-03-31 00:00:00+00:00,0.7224
2021-04-06 00:00:00+00:00,0.296
2021-04-07 00:00:00+00:00,0.4019
2021-04-08 00:00:00+00:00,0.418
2021-04-09 00:00:00+00:00,0.0
2021-04-12 00:00:00+00:00,0.41780000000000006
2021-04-13 00:00:00+00:00,0.3034
2021-04-14 00:00:00+00:00,-0.546
2021-04-15 00:00:00+00:00,0.2263
2021-04-16 00:00:00+00:00,0.1779
2021-04-21 00:00:00+00:00,0.0
2021-04-22 00:00:00+00:00,0.0
2021-04-23 00:00:00+00:00,-0.296
2021-04-27 00:00:00+00:00,0.1779
2021-04-28 00:00:00+00:00,0.4927
2021-04-29 00:00:00+00:00,0.128
2021-04-30 00:00:00+00:00,0.0
2021-05-03 00:00:00+00:00,0.0
