,score
2021-01-08 00:00:00+00:00,0.0
2021-02-14 00:00:00+00:00,0.4824
2021-02-18 00:00:00+00:00,0.0
2021-04-16 00:00:00+00:00,0.0
2021-04-19 00:00:00+00:00,0.0
2021-04-20 00:00:00+00:00,0.0
2021-04-21 00:00:00+00:00,0.5106
2021-04-22 00:00:00+00:00,0.5719
2021-04-23 00:00:00+00:00,-0.0258
2021-04-24 00:00:00+00:00,0.0
2021-04-29 00:00:00+00:00,0.0
2021-04-30 00:00:00+00:00,0.0
2021-05-04 00:00:00+00:00,0.5106
2021-05-11 00:00:00+00:00,0.0
2021-05-12 00:00:00+00:00,0.6597
2021-05-25 00:00:00+00:00,0.0
2021-05-26 00:00:00+00:00,-0.3182
2021-05-27 00:00:00+00:00,0.4215
2021-05-28 00:00:00+00:00,0.0
2021-06-02 00:00:00+00:00,0.2732
2021-06-18 00:00:00+00:00,-0.0516
2021-06-21 00:00:00+00:00,0.0
2021-06-22 00:00:00+00:00,-0.6249
2021-06-24 00:00:00+00:00,0.0772
2021-06-25 00:00:00+00:00,0.0
2021-06-28 00:00:00+00:00,0.0
2021-06-29 00:00:00+00:00,0.0
2021-07-06 00:00:00+00:00,0.0
2021-07-07 00:00:00+00:00,0.4019
2021-07-08 00:00:00+00:00,-0.2023
2021-07-09 00:00:00+00:00,0.5574
2021-07-12 00:00:00+00:00,0.0
2021-07-13 00:00:00+00:00,0.5574
2021-07-19 00:00:00+00:00,0.0
2021-07-23 00:00:00+00:00,0.0
2021-07-25 00:00:00+00:00,0.0
2021-07-28 00:00:00+00:00,0.0
2021-07-29 00:00:00+00:00,-0.4939
2021-07-30 00:00:00+00:00,-0.3612
2021-08-03 00:00:00+00:00,-0.4019
2021-08-04 00:00:00+00:00,0.0
2021-08-06 00:00:00+00:00,0.4767
2021-08-10 00:00:00+00:00,0.0
2021-08-11 00:00:00+00:00,0.4215
2021-08-16 00:00:00+00:00,0.0
2021-08-17 00:00:00+00:00,0.0
2021-08-18 00:00:00+00:00,0.2732
2021-08-19 00:00:00+00:00,-0.7845
2021-08-20 00:00:00+00:00,0.4215
2021-08-24 00:00:00+00:00,-0.4588
2021-08-31 00:00:00+00:00,0.0
2021-09-01 00:00:00+00:00,0.5574
2021-09-03 00:00:00+00:00,0.128
2021-09-09 00:00:00+00:00,-0.8316
2021-09-10 00:00:00+00:00,0.128
2021-10-27 00:00:00+00:00,0.0
2021-10-28 00:00:00+00:00,0.0
2021-11-08 00:00:00+00:00,0.5719
2021-11-09 00:00:00+00:00,0.0
2021-11-17 00:00:00+00:00,0.2263
2022-01-05 00:00:00+00:00,0.296
2022-01-13 00:00:00+00:00,0.0
2022-01-25 00:00:00+00:00,0.0
2022-02-13 00:00:00+00:00,0.0
2022-02-17 00:00:00+00:00,0.2924
2022-02-28 00:00:00+00:00,-0.743
2022-04-28 00:00:00+00:00,-0.059400000000000036
2022-04-29 00:00:00+00:00,-0.4588
2022-05-04 00:00:00+00:00,-0.2023
2022-05-12 00:00:00+00:00,0.0
2022-07-28 00:00:00+00:00,-0.128
2022-08-02 00:00:00+00:00,0.128
2022-08-03 00:00:00+00:00,0.0
2022-08-05 00:00:00+00:00,0.2263
2022-09-19 00:00:00+00:00,-0.2023
