,score
2021-01-04 00:00:00+00:00,0.2023
2021-01-07 00:00:00+00:00,0.0
2021-01-19 00:00:00+00:00,0.0
2021-01-20 00:00:00+00:00,0.5106
2021-01-28 00:00:00+00:00,0.0
2021-02-09 00:00:00+00:00,0.2023
2021-02-22 00:00:00+00:00,0.0
2021-02-23 00:00:00+00:00,0.0
2021-02-24 00:00:00+00:00,0.0
2021-02-25 00:00:00+00:00,0.0
2021-03-12 00:00:00+00:00,0.0
2021-04-07 00:00:00+00:00,0.5106
2021-04-16 00:00:00+00:00,0.0
2021-04-19 00:00:00+00:00,0.0
2021-05-10 00:00:00+00:00,0.0
2021-05-17 00:00:00+00:00,0.2023
2021-05-18 00:00:00+00:00,0.0
2021-06-29 00:00:00+00:00,-0.3612
2021-07-16 00:00:00+00:00,0.0
2021-07-19 00:00:00+00:00,0.0
2021-07-20 00:00:00+00:00,0.2023
2021-07-23 00:00:00+00:00,0.0
2021-08-26 00:00:00+00:00,0.5106
2021-08-27 00:00:00+00:00,0.0
2021-08-30 00:00:00+00:00,0.5106
2021-10-18 00:00:00+00:00,0.0
2021-10-19 00:00:00+00:00,0.0
2021-10-20 00:00:00+00:00,0.0
2021-10-22 00:00:00+00:00,0.0
2021-11-02 00:00:00+00:00,0.2263
2021-11-17 00:00:00+00:00,0.0
2022-01-06 00:00:00+00:00,1.0089000000000001
2022-01-14 00:00:00+00:00,0.0
2022-01-21 00:00:00+00:00,0.0
2022-01-24 00:00:00+00:00,0.0
2022-01-25 00:00:00+00:00,0.5106
2022-02-14 00:00:00+00:00,0.2023
2022-03-04 00:00:00+00:00,0.5106
2022-03-17 00:00:00+00:00,0.49829999999999997
2022-04-04 00:00:00+00:00,0.0
2022-04-18 00:00:00+00:00,0.2023
2022-04-22 00:00:00+00:00,0.0
2022-04-25 00:00:00+00:00,0.0
2022-04-26 00:00:00+00:00,0.3802
2022-05-26 00:00:00+00:00,-0.128
2022-05-31 00:00:00+00:00,-0.128
2022-06-15 00:00:00+00:00,0.1779
2022-07-01 00:00:00+00:00,0.2577
2022-07-25 00:00:00+00:00,0.0
2022-07-26 00:00:00+00:00,-0.2263
2022-07-27 00:00:00+00:00,-0.128
2022-07-29 00:00:00+00:00,0.4019
2022-09-14 00:00:00+00:00,0.592
